word_nguyen_mau,frequency,cac_dang_gap,example_files
allegedly,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 325 - Crime Fiction Puzzle Board.md
allegiance,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 358 - Teacher Neutrality Referee.md
alleviation,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 367 - Poverty Aid Medicine.md
allotment,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 467 - World Government Garden.md
aloft,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 441 - Climate Reforms Changing Winds.md
alp,1,alps,📖 Reading/📗 NNA/📝 02 - Science and Investigation.md
alternation,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 274 - Physical Mental Relaxation.md
amass,1,amassed,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 254 - Internet Fame Open Stage.md
ambiguous,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 321 - Jury Criminal Record Photograph.md
amiably,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 432 - Teachers Role Fire Keeper.md
amplification,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 275 - Crime Fear Fog Harbor.md
amputation,1,,📖 Reading/📗 NNA/📝 08 - Medical Innovations.md
ana,1,,📖 Reading/📘 VB2/📝 09 - Uncovering the past.md
analyst,1,analysts,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 434 - Marketing Success Aroma.md
andalusian,1,,📖 Reading/📗 NNA/📝 08 - Medical Innovations.md
android,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 481 - Technology Crime Streetlight.md
anecdote,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 303 - Job Interview Trailer.md
annotation,1,annotations,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 292 - House History Manuscript.md
anonymity,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 481 - Technology Crime Streetlight.md
answerable,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 474 - Surveillance Monitoring One Way Mirror.md
antibody,1,antibodies,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 406 - Childrens Effort Message Dosage.md
apologize,1,apologized,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 416 - Politicians Honesty Lighthouse.md
apology,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 344 - Environmental Sacrifice Trust Fund.md
appal,1,appalling,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 489 - Animal Rights Woven Net.md
appraise,1,appraising,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 290 - Art Masterpiece Currency.md
appreciative,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 349 - Celebrity Imitation Moonlight.md
approachable,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 327 - Tour Guide Training Wheels.md
approximate,1,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 674 - The Last March of the Emperor Penguins.md
apron,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 409 - Eating Out Home Cooking Outsourcing.md
arab,1,arabs,📖 Reading/📗 NNA/📝 06 - Information Design.md
arbiter,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 358 - Teacher Neutrality Referee.md
architectural,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 459 - Best Time Alive Tower.md
argentina,1,,📖 Reading/📗 NNA/📝 10 - Survival Instinct.md
aristocrat,1,aristocrats,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 833 - Mrs Carlill and the Carbolic Smoke Ball.md
arthritis,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 266 - Retirement Extra Time.md
ascertain,1,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 762 - How Deserts Are Formed.md
ashore,1,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 679 - History of Telegraph in Communication.md
asleep,1,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 725 - The Concept of Childhood in Western Countries.md
aspire,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 306 - Women in Tech Pipeline.md
assassination,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 436 - Fixed Punishments Prescription.md
assimilate,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 432 - Teachers Role Fire Keeper.md
asymmetrical,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 473 - Traditional Music Mother Tongue.md
athletic,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 283 - Musical Instrument Garden.md
attendant,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 411 - Workplace Uniform Theater.md
attentively,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 401 - City Countryside Children Greenhouse.md
attire,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 411 - Workplace Uniform Theater.md
audiovisual,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 397 - Childrens Reading Tree Roots.md
audition,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 395 - Social Media Opinions Open Mic.md
aug,1,,📖 Reading/📗 NNA/📝 10 - Survival Instinct.md
austrian,1,,✍️ Writing/✍️ 12 - Descriptive narrative essay.md
authorize,1,authorized,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 350 - Abortion Legality Scale.md
autobiographical,1,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 980 - Musical Maladies.md
autobiography,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 466 - Ex Prisoners Teens Shipwreck Chart.md
automotive,1,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 673 - Inspired By Mimicking Mother Nature.md
autonomous,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 432 - Teachers Role Fire Keeper.md
avert,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 308 - Endangered Species Library.md
await,1,awaiting,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 278 - Private School Funding Bridges.md
awaken,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 516 - Teacher vs Student Attitude Two Oars.md
awesome,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 462 - School Entertainment Bricks Mortar.md
awful,1,,📖 Reading/📗 NNA/📝 07 - Global Challenges.md
ayala,1,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 830 - Eco Resort Management Practices.md
backer,1,backers,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 288 - City Building Design Control.md
balkan,1,,📖 Reading/📗 NNA/📝 06 - Information Design.md
bandage,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 367 - Poverty Aid Medicine.md
banquet,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 512 - Job Enjoyment vs Salary Daily Meal.md
barbecue,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 272 - Community Forest.md
barley,1,,"📖 Reading/📘 VB2/📝 05 - Making a living, making a difference.md"
barn,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 382 - Luck Effort Harvest.md
barrel,1,barrelled,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 670 - Mass Production.md
basically,1,,📖 Reading/📗 NNA/📝 03 - City Solutions.md
beard,1,,📖 Reading/📗 NNA/📝 08 - Medical Innovations.md
bedside,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 269 - Teachers Parents Roots Weather.md
betterment,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 448 - Early Tech House Foundations.md
bidirectional,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 407 - Foreign Investment Orchard Graft.md
bitterness,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 404 - Subject Choice Menu.md
blender,1,blenders,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 439 - Technology Complexity Horse.md
blindly,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 349 - Celebrity Imitation Moonlight.md
blogger,1,bloggers,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 502 - Travel Increase Frog in the Well.md
blowtorch,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 372 - Dangerous Sports Playing With Fire.md
bluntness,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 335 - Friends Who Agree Mirror Whetstone.md
boardroom,1,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 673 - Inspired By Mimicking Mother Nature.md
boastful,1,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 980 - Musical Maladies.md
bob,1,,📖 Reading/📗 NNA/📝 04 - Danger Zones.md
boldly,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 427 - Elders Youth Tree Roots.md
boldness,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 455 - Generations Workplace Warp Weft.md
bombay,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 303 - Job Interview Trailer.md
bong,1,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 859 - Insects and Inspired Artificial Robots.md
booster,1,boosters,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 460 - Recycling Education Vaccination.md
bowel,1,bowels,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 967 - Accidental Scientists.md
bra,1,,📖 Reading/📘 VB2/📝 06 - Design with purpose.md
bracket,1,brackets,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 726 - The Study of Chimpanzee Culture.md
brainwash,1,brainwashed,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 444 - Graduate Unemployment Harvest.md
bravery,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 349 - Celebrity Imitation Moonlight.md
breathtaking,1,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 674 - The Last March of the Emperor Penguins.md
brevity,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 446 - Teenage Adult Happiness Fireworks.md
bricklayer,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 398 - Job Training Funding Blade.md
brim,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 370 - Failure Rocket Launch.md
brisk,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 457 - Stress Doing Nothing Backpack.md
brittleness,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 403 - Work Social Life Alloy.md
broke,1,broker,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 474 - Surveillance Monitoring One Way Mirror.md
brute,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 490 - Mental Physical Sport Bow Arrow.md
bryce,1,,📖 Reading/📘 VB2/📝 04 - Our changing planet.md
buckle,1,buckling,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 342 - Extreme Tourism Frontier.md
buildup,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 338 - Reducing Need to Travel Traffic.md
bulldozer,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 451 - Natural Beauty Endowment.md
bulletin,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 381 - Advertising Lighthouse Harbor.md
bumper,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 305 - School Purpose Orchard.md
bureaucratic,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 360 - Housing Shortage Bathtub.md
busily,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 498 - Children Leisure Educational Fallow Field.md
bust,1,,🎯 IELTS/📖 Reading/📖 Practice test log - IELTS Academic Reading (BHV nguồn mới).md
bustle,1,bustling,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 511 - Urban Neighbours Crowded Islands.md
bystander,1,bystanders,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 363 - Tobacco Road Safety.md
cab,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 341 - Borrowing Money Crane.md
caesar,1,,📖 Reading/📘 VB2/📝 09 - Uncovering the past.md
calculus,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 404 - Subject Choice Menu.md
calf,1,calves,📖 Reading/📗 NNA/📝 01 - Social Relationships.md
callous,1,calloused,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 267 - Art Talent Garden.md
camber,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 327 - Tour Guide Training Wheels.md
cambodia,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 311 - Tourist Pricing Club.md
camper,1,campers,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 433 - Rewarding Improvement Mountain.md
candy,1,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 978 - New Zealand Seaweed.md
cannery,1,,📖 Reading/📗 NNA/📝 05 - The Travel Business.md
canoeist,1,canoeists,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 295 - Cyclists Drivers River Channel.md
canteen,1,canteens,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 483 - Junk Food Fishing Lure.md
captivate,1,captivates,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 327 - Tour Guide Training Wheels.md
carbohydrate,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 437 - Public Health Garden.md
carcinogen,1,carcinogens,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 469 - Food Technology Printing Press.md
cardiologist,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 352 - Traffic Congestion Bloodstream.md
caretaker,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 263 - Artefacts Custody Battle.md
carpenter,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 470 - Child Play Workshop.md
cashier,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 465 - Long Commutes Toll.md
casually,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 264 - Dress Code Storefront.md
catastrophically,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 369 - Endangered Languages Seedvault.md
catcher,1,catchers,"📖 Reading/📘 VB2/📝 05 - Making a living, making a difference.md"
cauliflower,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 326 - Hot Cold Climate Palette.md
causal,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 406 - Childrens Effort Message Dosage.md
caveat,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 481 - Technology Crime Streetlight.md
ceaseless,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 378 - Printed Media Filtration Plant.md
cellar,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 459 - Best Time Alive Tower.md
cellist,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 293 - Open Plan Office Ensemble.md
cellular,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 449 - Mobile Phone Pocket Door.md
censor,1,censoring,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 474 - Surveillance Monitoring One Way Mirror.md
centralization,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 467 - World Government Garden.md
charger,1,chargers,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 439 - Technology Complexity Horse.md
cheapness,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 503 - Price vs Value Cheapest Bridge.md
checkup,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 468 - Future Health Levee.md
chen,1,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 732 - Bestcom Considerate Computing.md
cherish,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 462 - School Entertainment Bricks Mortar.md
chilly,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 435 - Taxes Contribution Household.md
chorus,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 473 - Traditional Music Mother Tongue.md
christmas,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 409 - Eating Out Home Cooking Outsourcing.md
chronically,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 352 - Traffic Congestion Bloodstream.md
circa,1,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 665 - The Mozart Effect.md
circuitry,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 410 - Education Funding Workshop.md
clarify,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 481 - Technology Crime Streetlight.md
claudius,1,,📖 Reading/📗 NNA/📝 04 - Danger Zones.md
cleaner,1,cleaners,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 413 - Job Satisfaction Security Vessel.md
cleanse,1,cleansing,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 672 - The Conquest of Malaria in Italy 1900 1962.md
cleverly,1,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 833 - Mrs Carlill and the Carbolic Smoke Ball.md
climatic,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 441 - Climate Reforms Changing Winds.md
cloak,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 411 - Workplace Uniform Theater.md
clone,1,cloning,📖 Reading/📘 VB2/📝 02 - Mother nature.md
cloudless,1,,📖 Reading/📗 NNA/📝 10 - Survival Instinct.md
coarse,1,coarser,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 351 - Healthcare Funding Safety Net.md
coax,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 339 - Imported Food Walled Garden.md
cobra,1,cobras,"📖 Reading/📘 VB2/📝 05 - Making a living, making a difference.md"
cocktail,1,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 671 - Koalas.md
coerce,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 417 - Rules and Laws Playing Field.md
coercive,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 463 - Reward vs Punishment Wind Sun.md
coffin,1,,📖 Reading/📗 NNA/📝 02 - Science and Investigation.md
coldness,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 511 - Urban Neighbours Crowded Islands.md
collar,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 463 - Reward vs Punishment Wind Sun.md
colombia,1,,📖 Reading/📘 VB2/📝 10 - Emotions and personality.md
colonial,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 263 - Artefacts Custody Battle.md
colonist,1,colonists,📖 Reading/📘 VB2/📝 03 - On the move.md
colossal,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 473 - Traditional Music Mother Tongue.md
columbia,1,,📖 Reading/📗 NNA/📝 08 - Medical Innovations.md
com,1,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 830 - Eco Resort Management Practices.md
combative,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 472 - Violent Sports Hearth.md
commencement,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 448 - Early Tech House Foundations.md
commentator,1,commentators,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 333 - Environmental Responsibility Ballot.md
comparative,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 400 - Gender Quota Scale.md
compassionate,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 416 - Politicians Honesty Lighthouse.md
competently,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 271 - University Skills Pool Ocean.md
compliance,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 363 - Tobacco Road Safety.md
compliment,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 400 - Gender Quota Scale.md
conceptually,1,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 667 - The Myth of the Five Senses.md
conclusive,1,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 672 - The Conquest of Malaria in Italy 1900 1962.md
concurrently,1,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 863 - From a Novice to an Expert.md
conducive,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 380 - Tidiness River Channel.md
confirmation,1,,📖 Reading/📘 VB2/📝 07 - Inspired to protect.md
confront,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 328 - Gender Temperament Seed Soil.md
cong,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 388 - Recidivism Revolving Door.md
conglomerate,1,conglomerates,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 479 - Teamwork Leadership Sled Team.md
conjugate,1,conjugated,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 307 - Language Fluency Open Water.md
consensual,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 472 - Violent Sports Hearth.md
conservator,1,conservators,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 263 - Artefacts Custody Battle.md
consolation,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 340 - Value of Art Telescope Mirror.md
consolidate,1,consolidates,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 484 - Organized Activities Scaffolding.md
conspire,1,conspires,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 490 - Mental Physical Sport Bow Arrow.md
constancy,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 332 - Media Comparison Well.md
constituent,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 265 - Happiness Recipe.md
constitution,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 485 - Teen Stress Overloaded Circuit.md
consummate,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 479 - Teamwork Leadership Sled Team.md
contaminant,1,contaminants,📖 Reading/📗 NNA/📝 05 - The Travel Business.md
contingent,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 304 - Motorsport Controlled Burn.md
continuation,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 489 - Animal Rights Woven Net.md
contractual,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 398 - Job Training Funding Blade.md
conundrum,1,conundrums,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 486 - Traditions Tourism Sanctuary.md
converge,1,converging,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 486 - Traditions Tourism Sanctuary.md
convergence,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 323 - Global Media Cultural Diversity.md
conversational,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 303 - Job Interview Trailer.md
conversely,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 412 - Multinational Companies Invasive Species.md
conveyer,1,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 676 - Roller Coaster.md
convincingly,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 411 - Workplace Uniform Theater.md
cooker,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 450 - Rush Hour Fee Grid.md
corinth,1,,📖 Reading/📗 NNA/📝 04 - Danger Zones.md
correctable,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 444 - Graduate Unemployment Harvest.md
correctness,1,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 732 - Bestcom Considerate Computing.md
correlate,1,correlated,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 337 - University Major vs Broadening.md
corrode,1,corrodes,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 291 - Community Policing Family Doctor.md
corruptible,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 436 - Fixed Punishments Prescription.md
cosmetically,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 390 - Advertising Novelty Shop Window.md
countable,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 437 - Public Health Garden.md
county,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 298 - Charity Without Borders.md
covet,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 348 - Ambition Fire.md
coyote,1,coyotes,📖 Reading/📗 NNA/📝 01 - Social Relationships.md
crackdown,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 415 - Road Safety Security Panel.md
cradle,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 473 - Traditional Music Mother Tongue.md
cram,1,crammed,📖 Reading/📗 NNA/📝 10 - Survival Instinct.md
creak,1,creaking,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 471 - Family Friends Roots.md
creatives,1,,📖 Reading/📗 NNA/📝 06 - Information Design.md
crevasse,1,,📖 Reading/📖 09 - Adverbial phrases.md
crook,1,crooked,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 400 - Gender Quota Scale.md
crowbar,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 481 - Technology Crime Streetlight.md
cruellest,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 370 - Failure Rocket Launch.md
crunchy,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 483 - Junk Food Fishing Lure.md
cubic,1,,📖 Reading/📗 NNA/📝 04 - Danger Zones.md
cubicle,1,cubicles,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 293 - Open Plan Office Ensemble.md
culpability,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 368 - Climate Debt Firebrigade.md
cultivator,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 432 - Teachers Role Fire Keeper.md
cumberland,1,,📖 Reading/📗 NNA/📝 04 - Danger Zones.md
cunning,1,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 981 - How to Spot a Liar.md
cupful,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 378 - Printed Media Filtration Plant.md
curable,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 468 - Future Health Levee.md
curdle,1,curdles,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 495 - Routine Change Spring Fed Lake.md
curl,1,,🎯 IELTS/✍️ Writing/📝 Demo essays/✍️ Demo 420 - History Tree Roots.md
cyanide,1,,🎯 IELTS/📖 Reading/📝 Simplified passages/📖 Passage 671 - Koalas.md
