word,pos,structure,meaning_en,meaning_vi
regime,noun,[regime],"a government, especially an authoritarian one",chế độ (chính trị)
renowned,adjective,re-[nown]-ed,known and talked about by many people; famous,"nổi tiếng, lừng danh"
reptile,noun,[reptile],"a cold-blooded, air-breathing vertebrate animal such as a snake or lizard",loài bò sát
reschedule,verb,re-[schedule],to change the time at which a planned event is due to take place,"sắp xếp lại lịch, dời lịch"
residential,adjective,re-[sid]-ential,designed for people to live in; relating to housing,"thuộc khu dân cư, dùng để ở"
respectively,adverb,re-[spect]-ively,"separately, in the order already mentioned","tương ứng, theo thứ tự đã nêu"
revise,verb,re-[vise],"to re-examine and change or correct something, especially a text or plan","sửa đổi, ôn tập lại"
revolutionary,adjective,[revolut]-ionary,involving or causing a complete or dramatic change,"mang tính cách mạng, đột phá"
revolutionary,noun,[revolut]-ionary,a person who advocates or takes part in political revolution,nhà cách mạng
reynolds,noun,[Reynolds],an English surname,họ Reynolds (một họ người Anh)
rig,noun,[rig],"a piece of equipment used for a particular purpose, especially for drilling oil or gas","giàn khoan, thiết bị chuyên dụng"
rig,verb,[rig],to manage or manipulate something fraudulently for personal advantage,"gian lận, làm giả kết quả (một cách gian lận)"
rita,noun,[Rita],a common female given name,tên riêng nữ giới
rockefeller,noun,[Rockefeller],"an American surname, notably associated with the wealthy Rockefeller family",họ Rockefeller (gia tộc giàu có nổi tiếng ở Mỹ)
sahara,noun,[Sahara],a vast desert in North Africa,sa mạc Sahara
samuel,noun,[Samuel],a common male given name,tên riêng nam giới
sanction,noun,[sanction],"an official penalty imposed for violating a law, rule, or policy","biện pháp trừng phạt, chế tài"
sanction,verb,[sanction],to give official permission or approval for an action,"phê chuẩn, chính thức cho phép"
scandinavian,adjective,[Scandinavia]-n,"relating to Scandinavia (Denmark, Norway, and Sweden)",thuộc vùng Scandinavia (Bắc Âu)
scarf,noun,[scarf],a piece of fabric worn around the neck or head for warmth or decoration,khăn quàng cổ
scary,adjective,[scare]-y,causing fear; frightening,đáng sợ
scent,noun,[scent],"a distinctive smell, especially a pleasant one",mùi hương
scrutiny,noun,[scrutin]-y,"critical observation or careful, thorough examination","sự xem xét kỹ lưỡng, giám sát chặt chẽ"
seam,noun,[seam],a line where two pieces of fabric or material are sewn or joined together,"đường may, đường nối"
senegal,noun,[Senegal],a country in West Africa,một quốc gia ở Tây Phi
sever,verb,[sever],to cut off or divide something by cutting,"cắt đứt, chia cắt"
shelton,noun,[Shelton],an English surname and place name,một họ/địa danh tiếng Anh
shortcoming,noun,[short]-[coming],a fault or weakness in someone's character or in a plan,"khuyết điểm, thiếu sót"
shrub,noun,[shrub],"a woody plant smaller than a tree, with several stems",cây bụi
sideline,noun,[side]-[line],an activity pursued in addition to one's main job,"công việc phụ, việc làm thêm ngoài công việc chính"
sideline,verb,[side]-[line],"to remove someone from their usual role or job, often temporarily","gạt ra ngoài lề, loại khỏi vai trò chính (thường tạm thời)"
signature,noun,[sign]-ature,a person's name written in their own distinctive way to identify them,chữ ký
simplicity,noun,[simple]-ity,the quality of being easy to understand or do,sự đơn giản
skyscraper,noun,[sky]-[scrape]-er,a very tall building of many storeys,tòa nhà chọc trời
slimy,adjective,[slime]-y,covered with or resembling slime; unpleasantly ingratiating,"nhầy nhụa, nhớt; (nghĩa bóng) xu nịnh, đáng ghét"
smallpox,noun,[small]-[pox],"a serious contagious viral disease causing fever and pustules, now eradicated",bệnh đậu mùa
son,noun,[son],a male child in relation to his parents,con trai
sonata,noun,[sonata],"a musical composition for one or a few instruments, typically in several movements",bản xô-nát (nhạc)
spanish,adjective,[Spain]-ish,"relating to Spain, its people, or its language",thuộc về Tây Ban Nha
spanish,noun,[Spain]-ish,the Romance language spoken in Spain and much of Latin America,tiếng Tây Ban Nha
spectrum,noun,[spectrum],"a band of colors, or a broad range of related qualities or ideas","quang phổ; phạm vi, dải (nghĩa rộng)"
speculate,verb,[speculate],to form opinions or theories about something without firm evidence,"suy đoán, phỏng đoán"
sprout,verb,[sprout],"to begin to grow or emerge, as a plant does","nảy mầm, mọc lên"
sprout,noun,[sprout],"a new shoot growing from a seed or plant, especially eaten as food","mầm cây, giá đỗ"
squall,noun,[squall],a sudden violent gust of wind or a brief storm,"cơn gió giật, trận bão ngắn"
stag,noun,[stag],an adult male deer,hươu đực trưởng thành
staircase,noun,[stair]-[case],a set of stairs together with its surrounding structure,cầu thang
starvation,noun,[starve]-ation,suffering or death caused by lack of food,"sự chết đói, tình trạng đói khát"
stride,verb,[stride],"to walk with long, decisive steps","sải bước, bước dài"
stride,noun,[stride],"a long, decisive step, or an instance of progress made","bước tiến, bước đi dài"
strut,verb,[strut],"to walk in a proud, confident manner","đi vênh váo, đi ưỡn ngực"
strut,noun,[strut],a supporting bar or rod in a framework,"thanh chống, thanh giằng"
sturdy,adjective,[sturdy],strongly and solidly built,"chắc chắn, vững chãi"
subtract,verb,sub-[tract],to take away a number or amount from another,trừ (toán học)
suburb,noun,sub-[urb],a residential area on the outskirts of a city,ngoại ô
supplementary,adjective,[supplement]-ary,added to complete something or make up for a lack,"bổ sung, phụ thêm"
susan,noun,[Susan],a female given name,tên riêng nữ giới
symbiotic,adjective,sym-[biotic],"involving close, mutually beneficial interaction between two different organisms",cộng sinh (thuộc về mối quan hệ cộng sinh)
symphony,noun,sym-[phon]-y,"an elaborate musical composition for full orchestra, typically in four movements",bản giao hưởng
synthesis,noun,syn-[thesis],the combination of ideas or components to form a coherent whole,sự tổng hợp
synthetic,adjective,syn-[thetic],made by chemical synthesis to imitate a natural product; not genuine,"tổng hợp (nhân tạo), không phải tự nhiên"
telegram,noun,tele-[gram],a message sent by telegraph and then printed and delivered,điện tín
terminal,adjective,[termin]-al,"occurring at the end of something, especially a fatal illness in its final stage",(thuộc) giai đoạn cuối
terminal,noun,[termin]-al,"a station at the end of a transport route, or a device for input/output to a computer",bến (xe/tàu/sân bay); thiết bị đầu cuối
theoretical,adjective,[theory]-etical,concerned with or based on theory rather than practice,"(thuộc) lý thuyết, có tính lý thuyết"
tiger,noun,[tiger],a large predatory wild cat with orange fur and black stripes,con hổ
tolerant,adjective,[tolerate]-ant,"willing to accept or endure something, especially differing views, without objecting","khoan dung, dễ chấp nhận"
tony,adjective,[tone]-y,"fashionable and expensive; high-toned, posh (informal)","sang trọng, thời thượng (thân mật)"
toothpaste,noun,[tooth]-[paste],a paste used for cleaning the teeth,kem đánh răng
torrent,noun,[torrent],"a strong, fast-moving stream of water; a large outpouring of something","dòng nước xiết; (nghĩa bóng) một loạt (lời nói, chỉ trích...)"
tremor,noun,[tremor],"a slight involuntary shaking movement, or a small earthquake","cơn rung, chấn động nhẹ"
truthfully,adverb,[truth]-ful-ly,in a manner that tells the truth; honestly,"một cách trung thực, thật thà"
tugboat,noun,[tug]-[boat],a small powerful boat used for towing larger ships,tàu kéo
twin,noun,[twin],one of two children or animals born at the same birth,một trong hai đứa trẻ/con vật sinh đôi
undeveloped,adjective,un-[develop]-ed,not yet developed; not fully grown or economically advanced,"chưa phát triển, kém phát triển"
undo,verb,un-[do],to reverse or cancel an action; to unfasten something,"hủy bỏ (thao tác); tháo, cởi ra"
undocumented,adjective,un-[document]-ed,"not officially recorded or authorized, especially of immigration status","không có giấy tờ hợp lệ, không được ghi nhận chính thức"
uneasy,adjective,un-[easy],causing or feeling anxiety; not comfortable or relaxed,"bồn chồn, lo lắng, không thoải mái"
unemployed,adjective,un-[employ]-ed,not having a paid job; out of work,thất nghiệp
uninformed,adjective,un-[inform]-ed,not having knowledge of a particular subject or situation,"thiếu hiểu biết, không được thông tin đầy đủ"
unprotected,adjective,un-[protect]-ed,not protected; vulnerable to harm or danger,không được bảo vệ
unspoiled,adjective,un-[spoil]-ed,"not spoiled; retaining its original good qualities, especially of nature","chưa bị tàn phá, còn nguyên vẹn"
unwillingness,noun,un-[will]-ing-ness,the state of being reluctant to do something,"sự miễn cưỡng, không sẵn lòng"
upcoming,adjective,up-[come]-ing,about to happen; forthcoming,"sắp tới, sắp diễn ra"
upheaval,noun,up-[heave]-al,a violent or sudden change or disruption,"sự biến động, xáo trộn lớn"
venus,noun,[Venus],the second planet from the sun; the Roman goddess of love,sao Kim; nữ thần tình yêu La Mã
verde,adjective,[verde],"green (Spanish/Portuguese/Italian word, used in place names)","xanh lá (từ tiếng Tây Ban Nha/Bồ Đào Nha, thường dùng trong địa danh)"
