word,pos,structure,meaning_en,meaning_vi
stronghold,noun,[strong+hold],a strongly fortified defensive structure,strong+hold(mạnh mẽ + giữ)
strongrooms,adjective,[strong+room],"strong+room(having a lot of physical power so that you can lift heavy weights, do hard physical work, etc. + a part of a building that has its own walls, floor and ceiling and is usually used for a particular purpose)",strong+room(mạnh mẽ + căn phòng)
stylemark,noun,[style+mark],a distinctive characteristic or attribute,"style+mark(phong cách + dấu, đánh dấu)"
suchlike,adjective,[such+like],of the same kind,"such+like(như vậy + thích, giống như)"
suitcase,noun,[suit+case],a portable rectangular container for carrying clothes,"suit+case(bộ vest, phù hợp + trường hợp, vali)"
summate,verb,[sum+mate],determine the sum of,"sum+mate(tổng số + bạn đời, bạn bè)"
summerhouse,noun,[summer+house],a small roofed building affording shade and rest,summer+house(mùa hè + ngôi nhà)
summertime,noun,[summer+time],the warmest season of the year,summer+time(mùa hè + thời gian)
sunbaked,adjective,[sun+bake],baked or hardened by exposure to sunlight,sun+bake(mặt trời + nướng bánh)
sunbathe,verb,[sun+bath],expose one's body to the sun,sun+bath(mặt trời + bồn tắm)
sunbather,noun,[sun+bath]-er,someone who basks in the sunshine in order to get a suntan,sun+bath(mặt trời + bồn tắm) + -er(người làm việc gì; so sánh hơn)
sunbeam,noun,[sun+beam],a ray of sunlight,"sun+beam(mặt trời + chùm tia, dầm)"
sunblind,noun,[sun+blind],a canopy made of canvas to shelter people or things from rain or sun,sun+blind(mặt trời + mù lòa)
sunburnt,adjective,[sun+burn]-t,suffering from overexposure to direct sunlight,"sun+burn(mặt trời + đốt cháy) + -t([NGỮ PHÁP] đuôi chia động từ bất quy tắc (VD burnt, dealt) — không mang nghĩa riêng)"
sunburn,noun,[sun+burn],redness of the skin caused by exposure to the rays of the sun,sun+burn(mặt trời + đốt cháy)
sunburst,noun,[sun+burst],a jeweled brooch with a pattern resembling the sun,sun+burst(mặt trời + nổ tung)
sunday,noun,[sun+day],"the day of the week after Saturday and before Monday, thought of as either the first or the last day of the week",sun+day(mặt trời + ngày)
sundeck,noun,[sun+deck],sun+deck(the star that shines in the sky during the day and gives the earth heat and light + the top outside floor of a ship or boat),"sun+deck(mặt trời + boong tàu, sàn)"
sundown,noun,[sun+down],the time in the evening at which the sun begins to fall below the horizon,sun+down(mặt trời + xuống)
sunfish,noun,[sun+fish],small carnivorous freshwater percoid fishes of North America usually having a laterally compressed body and metallic luster: crappies,sun+fish(mặt trời + cá)
sunflower,noun,[sun+flower],any plant of the genus Helianthus having large flower heads with dark disk florets and showy yellow rays,sun+flower(mặt trời + hoa)
sunglasses,noun,[sun+glass],spectacles that are darkened or polarized to protect the eyes from the glare of the sun,"sun+glass(mặt trời + kính, ly)"
sunlamp,noun,[sun+lamp],a mercury-vapor lamp used in medical or cosmetic treatments,sun+lamp(mặt trời + đèn)
sunlight,noun,[sun+light],the rays of the sun,"sun+light(mặt trời + ánh sáng, nhẹ)"
sunray,noun,[sun+ray],a ray of sunlight,sun+ray(mặt trời + tia sáng)
sunrise,adjective,[sun+rise],of an industry or technology,sun+rise(mặt trời + tăng lên)
sunroof,noun,[sun+roof],an automobile roof having a sliding or raisable panel,sun+roof(mặt trời + mái nhà)
sunset,adjective,[sun+set],providing for termination,"sun+set(mặt trời + đặt, bộ)"
sunshade,noun,[sun+shade],a canopy made of canvas to shelter people or things from rain or sun,sun+shade(mặt trời + bóng râm)
sunshiny,adjective,[sun+shine]-y,sun+shine(the star that shines in the sky during the day and gives the earth heat and light + to produce or reflect light; to be bright) + -y(having quality of; noun/adjective),sun+shine(mặt trời + tỏa sáng) + -y(có tính chất; danh từ/tính từ)
sunshine,noun,[sun+shine],moderate weather,sun+shine(mặt trời + tỏa sáng)
sunspot,noun,[sun+spot],a cooler darker spot appearing periodically on the sun's photosphere,"sun+spot(mặt trời + vết đốm, địa điểm)"
sunstroke,noun,[sun+stroke],sudden prostration due to exposure to the sun or excessive heat,"sun+stroke(mặt trời + cú đánh, đột quỵ)"
suntrap,noun,[sun+trap],a terrace or garden oriented to take advantage of the sun while protected from cold winds,sun+trap(mặt trời + cái bẫy)
surefire,adjective,[sure+fire],"sure+fire(confident that you know something or that you are right + the flames, light and heat, and often smoke, that are produced when something burns)","sure+fire(chắc chắn + lửa, sa thải)"
surefooted,adjective,[sure+foot],not liable to error in judgment or action,sure+foot(chắc chắn + bàn chân)
surefootedly,adverb,[sure+foot]-ly,"sure+foot(confident that you know something or that you are right + the lowest part of the leg, below the ankle, on which a person or an animal stands) + -ly(adverb of manner / adjective (like))",sure+foot(chắc chắn + bàn chân) + -ly(trạng từ chỉ cách thức / tính từ (giống như))
surefootedness,noun,[sure+foot]-ness,"sure+foot(confident that you know something or that you are right + the lowest part of the leg, below the ankle, on which a person or an animal stands) + -ness(state or quality of (noun))","sure+foot(chắc chắn + bàn chân) + -ness(trạng thái, tính chất (danh từ))"
swearword,noun,[swear+word],profane or obscene expression usually of surprise or anger,"swear+word(thề, chửi thề + từ ngữ)"
sweepstake,verb,[sweep+stake],"sweep+stake(to clean a room, surface, etc. using a broom (= a type of brush on a long handle) + money that somebody invests in a company)","sweep+stake(quét dọn + cổ phần, cọc)"
sweetbread,noun,[sweet+bread],edible glands of an animal,sweet+bread(ngọt ngào + bánh mì)
sweetheart,adjective,[sweet+heart],privileged treatment of a favored person or corporation (sometimes unethically),sweet+heart(ngọt ngào + trái tim)
sweetmeat,noun,[sweet+meat],a sweetened delicacy (as a preserve or pastry),sweet+meat(ngọt ngào + thịt)
swimsuit,noun,[swim+suit],tight fitting garment worn for swimming,"swim+suit(bơi lội + bộ vest, phù hợp)"
switchback,noun,[switch+back],switch+back(a small device that you press or move up and down in order to turn a light or piece of electrical equipment on and off + located behind or at the back of something),"switch+back(công tắc, chuyển đổi + lưng, phía sau)"
switchblade,noun,[switch+blade],a pocketknife with a blade that springs open at the press of a button,"switch+blade(công tắc, chuyển đổi + lưỡi dao)"
switchboard,noun,[switch+board],telephone central where circuits are completed with patchcords,"switch+board(công tắc, chuyển đổi + ban, bảng, tấm ván)"
switchgear,noun,[switch+gear],switch+gear(a small device that you press or move up and down in order to turn a light or piece of electrical equipment on and off + equipment in a vehicle that changes the relation between engine speed (or pedal speed on a bicycle) and the speed of the wheels moving forwards or backwards),"switch+gear(công tắc, chuyển đổi + bánh răng, trang thiết bị)"
switchman,noun,[switch+man],a man who operates railroad switches,"switch+man(công tắc, chuyển đổi + đàn ông)"
switchover,noun,[switch+over],"switch+over(a small device that you press or move up and down in order to turn a light or piece of electrical equipment on and off + across a street, an open space, etc.)","switch+over(công tắc, chuyển đổi + ở trên, hơn)"
swordfish,noun,[sword+fish],large toothless marine food fish with a long swordlike upper jaw,sword+fish(thanh kiếm + cá)
swordsman,noun,[sword+man],someone skilled at fencing,sword+man(thanh kiếm + đàn ông)
swordsmanship,noun,[sword+man]-ship,skill in fencing,"sword+man(thanh kiếm + đàn ông) + -ship(trạng thái, điều kiện, kỹ năng (danh từ))"
swordplay,noun,[sword+play],the act using a sword or similar weapon vigorously and skillfully,sword+play(thanh kiếm + chơi)
swordstick,noun,[sword+stick],sword+stick(a weapon with a long metal blade (= sharp cutting part) and a handle + a thin piece of wood that has fallen or been broken from a tree),"sword+stick(thanh kiếm + que, dính chặt)"
tablecloth,noun,[table+cloth],a covering spread over a dining table,table+cloth(cái bàn + vải)
tableland,noun,[table+land],a relatively flat highland,table+land(cái bàn + đất đai)
tablespoon,noun,[table+spoon],a spoon larger than a dessert spoon,table+spoon(cái bàn + thìa)
tablespoonful,noun,[table+spoon]-ful,as much as a tablespoon will hold,"table+spoon(cái bàn + thìa) + -ful(đầy, có nhiều (tính từ))"
tailback,noun,[tail+back],(American football) the position of the offensive back on a football team who lines up farthest from the line of scrimmage,"tail+back(đuôi + lưng, phía sau)"
tailgate,noun,[tail+gate],a gate at the rear of a vehicle,tail+gate(đuôi + cổng)
taillight,noun,[tail+light],lamp (usually red) mounted at the rear of a motor vehicle,"tail+light(đuôi + ánh sáng, nhẹ)"
tailpiece,noun,[tail+piece],appendage added to extend the length of something,"tail+piece(đuôi + mảnh, miếng)"
tailspin,noun,[tail+spin],rapid descent of an aircraft in a steep spiral,tail+spin(đuôi + quay tròn)
tailwind,noun,[tail+wind],wind blowing in the same direction as the path of a ship or aircraft,tail+wind(đuôi + gió)
takeaway,noun,[take+away],the act of taking the ball or puck away from the team on the offense (as by the interception of a pass),"take+away(lấy, cầm + xa, đi xa)"
takeoff,noun,[take+off],a departure,"take+off(lấy, cầm + tắt, xa khỏi)"
takeover,noun,[take+over],a change by sale or merger in the controlling interest of a corporation,"take+over(lấy, cầm + ở trên, hơn)"
taproom,noun,[tap+room],a room or establishment where alcoholic drinks are served over a counter,"tap+room(vòi nước, chạm nhẹ + căn phòng)"
taproot,noun,[tap+root],something that provides an important central source for growth or development,"tap+root(vòi nước, chạm nhẹ + rễ cây, gốc rễ)"
tapeworm,noun,[tape+worm],ribbonlike flatworms that are parasitic in the intestines of humans and other vertebrates,"tape+worm(băng dính, băng ghi âm + con giun)"
taskmaster,noun,[task+master],someone who imposes hard or continuous work,task+master(nhiệm vụ + bậc thầy)
taxpaying,adjective,[tax+pay],not exempt from paying taxes,tax+pay(thuế + trả tiền)
taxpayer,noun,[tax+pay]-er,"a person who pays tax to the government, especially on the money that they earn",tax+pay(thuế + trả tiền) + -er(người làm việc gì; so sánh hơn)
teabags,unknown,[tea+bag]-z,"tea+bag(the dried leaves (called tea leaves) of the tea bush + a container made of cloth, leather, plastic or paper, used to carry things in, especially when shopping or travelling) + -z(z)",tea+bag(trà + túi) + -z(z)
teabag,noun,[tea+bag],"tea+bag(the dried leaves (called tea leaves) of the tea bush + a container made of cloth, leather, plastic or paper, used to carry things in, especially when shopping or travelling)",tea+bag(trà + túi)
teacake,noun,[tea+cake],any of various small cakes or cookies often served with tea,tea+cake(trà + bánh ngọt)
teacupful,noun,[tea+cup]-ful,as much as a teacup will hold,"tea+cup(trà + cốc) + -ful(đầy, có nhiều (tính từ))"
teacup,noun,[tea+cup],a cup from which tea is drunk,tea+cup(trà + cốc)
teahouse,noun,[tea+house],a restaurant where tea and light meals are available,tea+house(trà + ngôi nhà)
tealeaf,noun,[tea+leaf],"tea+leaf(the dried leaves (called tea leaves) of the tea bush + a flat green part of a plant, growing from a stem or branch or from the root)",tea+leaf(trà + lá cây)
tealeaves,noun,[tea+leave],tea+leave(the dried leaves (called tea leaves) of the tea bush + a period of time when you are allowed to be away from work for a holiday or for a special reason),tea+leave(trà + rời đi)
teapot,noun,[tea+pot],pot for brewing tea,tea+pot(trà + nồi)
tearoom,noun,[tea+room],a restaurant where tea and light meals are available,tea+room(trà + căn phòng)
teaspoonful,noun,[tea+spoon]-ful,as much as a teaspoon will hold,"tea+spoon(trà + thìa) + -ful(đầy, có nhiều (tính từ))"
teaspoon,noun,[tea+spoon],a small spoon used for stirring tea or coffee,tea+spoon(trà + thìa)
teatime,noun,[tea+time],a light midafternoon meal of tea and sandwiches or cakes,tea+time(trà + thời gian)
teammate,noun,[team+mate],a fellow member of a team or group,"team+mate(đội nhóm + bạn đời, bạn bè)"
teamwork,noun,[team+work],cooperative work done by a team (especially when it is effective),team+work(đội nhóm + công việc)
teardrop,noun,[tear+drop],a drop of the clear salty saline solution secreted by the lacrimal glands,"tear+drop(nước mắt, xé rách + rơi, giọt)"
teargas,noun,[tear+gas],a gas that makes the eyes fill with tears but does not damage them,"tear+gas(nước mắt, xé rách + khí ga)"
teenager,noun,[teen+age]-er,a person who is between 13 and 19 years old,"teen+age(tuổi teen + tuổi, thời đại) + -er(người làm việc gì; so sánh hơn)"
teenage,adjective,[teen+age],between 13 and 19 years old; connected with people of this age,"teen+age(tuổi teen + tuổi, thời đại)"
telltale,adjective,[tell+tale],disclosing unintentionally,tell+tale(kể lại + câu chuyện kể)
tenpin,noun,[ten+pin],one of the bottle-shaped pins used in bowling,ten+pin(số mười + ghim)
tenspot,number,[ten+spot],ten+spot(10 + a small round area that has a different colour or feels different from the surface it is on),"ten+spot(số mười + vết đốm, địa điểm)"
tenderfoot,noun,[tender+foot],"an inexperienced person, especially someone inexperienced in outdoor living","tender+foot(mềm mại, dịu dàng + bàn chân)"
tenderheartedly,adverb,[tender+heart]-ly,"tender+heart(kind, gentle and loving + the organ in the chest that sends blood around the body, usually on the left in humans) + -ly(adverb of manner / adjective (like))","tender+heart(mềm mại, dịu dàng + trái tim) + -ly(trạng từ chỉ cách thức / tính từ (giống như))"
tenderheartedness,noun,[tender+heart]-ness,warm compassionate feelings,"tender+heart(mềm mại, dịu dàng + trái tim) + -ness(trạng thái, tính chất (danh từ))"
tenderhearted,adjective,[tender+heart],easily moved by another's distress,"tender+heart(mềm mại, dịu dàng + trái tim)"
textbook,noun,[text+book],a book that teaches a particular subject and that is used especially in schools and colleges,text+book(văn bản + sách)
thanksgiving,noun,[thank+give],a short prayer of thanks before a meal,"thank+give(cảm ơn + cho, tặng)"
theatregoer,noun,[theater+go]-er,someone who attends a theater,theater+go(nhà hát + đi) + -er(người làm việc gì; so sánh hơn)
theatergoing,unknown,[theater+go],theater+go((không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập) + a person’s turn to move or play in a game or an activity),theater+go(nhà hát + đi)
themselves,pronoun,[them+self],used when people or animals performing an action are also affected by it,them+self(họ (túc từ) + bản thân)
thereabout,adverb,[there+about],near that place,"there+about(ở đó + về, khoảng)"
thereafter,adverb,[there+after],after the time or event mentioned,"there+after(ở đó + sau, phía sau)"
thereby,adverb,[there+by],used to introduce the result of the action or situation mentioned,"there+by(ở đó + bởi, bằng)"
therefrom,adverb,[there+from],from that place or from there,there+from(ở đó + từ)
therein,adverb,[there+in],(formal) in or into that thing or place,"there+in(ở đó + trong, vào)"
thereof,adverb,[there+of],from that circumstance or source,there+of(ở đó + của)
thereon,adverb,[there+on],on that,there+on(ở đó + trên)
thereto,adverb,[there+to],to that,there+to(ở đó + đến)
thereunder,adverb,[there+under],under that,there+under(ở đó + ở dưới)
thereupon,adverb,[there+upon],there+upon(used to show that something exists or happens + (không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập)),there+upon(ở đó + trên (trang trọng))
therewith,adverb,[there+with],with that or this or it,there+with(ở đó + với)
thickheaded,adjective,[thick+head],(used informally) stupid,"thick+head(dày, đặc + đầu, người đứng đầu)"
thickset,adjective,[thick+set],planted or growing close together,"thick+set(dày, đặc + đặt, bộ)"
thoroughbred,adjective,[thorough+breed],having a list of ancestors as proof of being a purebred animal,"thorough+breed(kỹ lưỡng + nhân giống, giống loài)"
thoroughfare,noun,[thorough+fare],a public road from one place to another,thorough+fare(kỹ lưỡng + giá vé)
thoroughgoing,adjective,[thorough+go],performed comprehensively and completely,thorough+go(kỹ lưỡng + đi)
threadbare,adjective,[thread+bare],repeated too often,thread+bare(sợi chỉ + trần trụi)
threadlike,adjective,[thread+like],thin in diameter,"thread+like(sợi chỉ + thích, giống như)"
thirteenths,noun,[three+teen]-th,"three+teen(3 + (không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập)) + -th(ordinal number / state (noun, VD: eighth, warmth))","three+teen(số ba + tuổi teen) + -th(số thứ tự / trạng thái (danh từ, VD eighth, warmth))"
thirteens,number,[three+teen],three+teen(3 + (không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập)),three+teen(số ba + tuổi teen)
throwaway,adjective,[throw+away],thrown away,"throw+away(ném + xa, đi xa)"
throwback,adjective,[throw+back],characteristic of an atavist,"throw+back(ném + lưng, phía sau)"
thumbnail,noun,[thumb+nail],the nail of the thumb,"thumb+nail(ngón cái + móng tay, đinh)"
thumbscrew,noun,[thumb+screw],screw designed to be turned with the thumb and fingers,"thumb+screw(ngón cái + ốc vít, vặn)"
tidelands,noun,[tide+land],"tide+land(a regular rise and fall in the level of the sea, caused by the pull of the moon and sun; the flow of water that happens as the sea rises and falls + the surface of the earth that is not sea)",tide+land(thủy triều + đất đai)
tidemark,noun,[tide+mark],indicator consisting of a line at the highwater or low-water limits of the tides,"tide+mark(thủy triều + dấu, đánh dấu)"
tidewater,noun,[tide+water],low-lying coastal land drained by tidal streams,tide+water(thủy triều + nước)
tiebreak,noun,[tie+break],"tie+break(a long, narrow piece of cloth worn around the neck, especially by men, with a knot in front + a short period of time when you stop what you are doing and rest, eat, etc.)","tie+break(cà vạt, buộc + phá vỡ, nghỉ giải lao)"
tiebreaker,noun,[tie+break]-er,overtime play in order to break a tie,"tie+break(cà vạt, buộc + phá vỡ, nghỉ giải lao) + -er(người làm việc gì; so sánh hơn)"
tiepin,noun,[tie+pin],a pin used to hold the tie in place,"tie+pin(cà vạt, buộc + ghim)"
tightrope,noun,[tight+rope],tightly stretched rope or wire on which acrobats perform high above the ground,"tight+rope(chật, chặt + dây thừng)"
timberlands,noun,[timber+land],timber+land(trees that are grown to be used in building or for making things + the surface of the earth that is not sea),timber+land(gỗ xây dựng + đất đai)
timekeeper,noun,[time+keep]-er,a measuring instrument or device for keeping time,time+keep(thời gian + giữ) + -er(người làm việc gì; so sánh hơn)
timepiece,noun,[time+piece],a measuring instrument or device for keeping time,"time+piece(thời gian + mảnh, miếng)"
timesaving,noun,[time+save],"Saving time; as, a timesaving expedient.","time+save(thời gian + tiết kiệm, cứu)"
timeserving,adjective,[time+serve],"taking immediate advantage, often unethically, of any circumstance of possible benefit",time+serve(thời gian + phục vụ)
timeserver,noun,[time+serve]-er,one who conforms to current ways and opinions for personal advantage,time+serve(thời gian + phục vụ) + -er(người làm việc gì; so sánh hơn)
timetable,noun,[time+table],a schedule of times of arrivals and departures,time+table(thời gian + cái bàn)
tintype,noun,[tin+typo],Same as Ferrotype.,"tin+typo(thiếc, hộp thiếc + lỗi đánh máy)"
tipoff,noun,[tip+off],tip+off(a small piece of advice about something practical + used to say that something has been removed or become separated),"tip+off(lời khuyên, đầu mút + tắt, xa khỏi)"
tipstaff,noun,[tip+staff],staff with a metal tip carried as a sign of office by e.g. a bailiff or constable,"tip+staff(lời khuyên, đầu mút + nhân viên)"
tiptoe,adverb,[tip+toe],on tiptoe or as if on tiptoe,"tip+toe(lời khuyên, đầu mút + ngón chân)"
titleholder,noun,[title+hold]-er,"title+hold(the name of a book, poem, painting, piece of music, etc. + the action of holding somebody/something; the way you are holding somebody/something) + -er(person who does; comparative)","title+hold(tiêu đề, chức danh + giữ) + -er(người làm việc gì; so sánh hơn)"
today'll,unknown,[to+day]-ll,to+day(used to show purpose or intention + a period of 24 hours) + -ll(ll),to+day(đến + ngày) + -ll(ll)
today,adverb,[to+day],on this day,to+day(đến + ngày)
tonight,adverb,[to+night],on or during the evening or night of today,to+night(đến + ban đêm)
toehold,noun,[toe+hold],a wrestling hold in which the toe is held and the leg is twisted against the joints,toe+hold(ngón chân + giữ)
toenail,noun,[toe+nail],the nail at the end of a toe,"toe+nail(ngón chân + móng tay, đinh)"
tollgate,noun,[toll+gate],a gate or bar across a toll bridge or toll road which is lifted when the toll is paid,toll+gate(phí cầu đường + cổng)
tollhouse,noun,[toll+house],a booth at a tollgate where the toll collector collects tolls,toll+house(phí cầu đường + ngôi nhà)
toolmaker,noun,[tool+make]-er,someone skilled in making or repairing tools,tool+make(công cụ + làm) + -er(người làm việc gì; so sánh hơn)
toothbrush,noun,[tooth+brush],small brush,"tooth+brush(răng + bàn chải, chải)"
toothpick,noun,[tooth+pick],pick consisting of a small strip of wood or plastic,"tooth+pick(răng + chọn lựa, nhặt)"
toothpowder,noun,[tooth+powder],a dentifrice in the form of a powder,tooth+powder(răng + bột)
topcoat,noun,[top+coat],a heavy coat worn over clothes in winter,"top+coat(đỉnh, trên cùng + áo khoác)"
topmost,adjective,[top+most],at or nearest to the top,"top+most(đỉnh, trên cùng + nhiều nhất)"
topside,noun,[top+side],(usually plural) weather deck,"top+side(đỉnh, trên cùng + bên cạnh)"
topsoil,noun,[top+soil],the layer of soil on the surface,"top+soil(đỉnh, trên cùng + đất)"
touchdown,noun,[touch+down],a score in American football,touch+down(chạm vào + xuống)
touchline,noun,[touch+line],either of the sidelines in soccer or rugby,touch+line(chạm vào + đường kẻ)
touchstone,noun,[touch+stone],a basis for comparison,touch+stone(chạm vào + đá)
townsfolk,noun,[town+folk],the people living in a municipality smaller than a city,"town+folk(thị trấn + người dân, dân gian)"
townsman,noun,[town+man],a resident of a town or city,town+man(thị trấn + đàn ông)
townspeople,noun,[town+people],the people living in a municipality smaller than a city,town+people(thị trấn + con người)
townswoman,noun,[town+woman],"town+woman(a place with many houses, shops, etc. where people live and work. It is larger than a village but smaller than a city. + an adult female human)",town+woman(thị trấn + phụ nữ)
toyshop,noun,[toy+shop],shop where toys are sold,toy+shop(đồ chơi + cửa hàng)
tracksuit,noun,[track+suit],"track+suit(rails (= metal bars) that a train moves along + a set of clothes made of the same cloth, including a jacket and trousers or a skirt)","track+suit(đường ray, theo dõi + bộ vest, phù hợp)"
tradesman,noun,[trade+man],a merchant who owns or manages a shop,trade+man(thương mại + đàn ông)
trademark,noun,[trade+mark],"a name, symbol or design that a company uses for its products and that cannot be used by anyone else","trade+mark(thương mại + dấu, đánh dấu)"
tradespeople,noun,[trade+people],people engaged in trade,trade+people(thương mại + con người)
trainbearer,noun,[train+bear]-er,one who holds up the train of a gown or robe on a ceremonial occasion,"train+bear(tàu hỏa, huấn luyện + gấu, chịu đựng) + -er(người làm việc gì; so sánh hơn)"
trainman,noun,[train+man],an employee of a railroad,"train+man(tàu hỏa, huấn luyện + đàn ông)"
trapdoor,noun,[trap+door],A lifting or sliding door covering an opening in a roof orfloor.,trap+door(cái bẫy + cửa)
trapshooting,noun,[trap+shoot],the sport of shooting at clay pigeons that are hurled upward in such a way as to simulate the flight of a bird,trap+shoot(cái bẫy + bắn)
travelsick,noun,[travel+sick],travel+sick(the act or activity of travelling + physically or mentally ill),travel+sick(du lịch + ốm đau)
treelike,adjective,[tree+like],resembling a tree in form and branching structure,"tree+like(cây cối + thích, giống như)"
treetops,noun,[tree+top],"tree+top(a tall plant that can live a long time. Trees have a thick central wooden trunk from which branches grow, usually with leaves on them + highest in position)","tree+top(cây cối + đỉnh, trên cùng)"
trendsetter,noun,[trend+set]-er,trend+set(a general direction in which a situation is changing or developing + a group of similar things that belong together in some way) + -er(person who does; comparative),"trend+set(xu hướng + đặt, bộ) + -er(người làm việc gì; so sánh hơn)"
tribesman,noun,[tribe+man],someone who lives in a tribe,tribe+man(bộ lạc + đàn ông)
tripwire,noun,[trip+wire],"trip+wire(a journey to a place and back again, especially a short one for pleasure or a particular purpose + metal in the form of thin thread; a piece of this)",trip+wire(chuyến đi + dây điện)
troopships,noun,[troop+ship],"troop+ship(soldiers, especially in large groups + a large boat that carries people or goods by sea)",troop+ship(quân đội + con tàu)
troublemaker,noun,[trouble+make]-er,someone who deliberately stirs up trouble,trouble+make(rắc rối + làm) + -er(người làm việc gì; so sánh hơn)
troubleshooter,noun,[trouble+shoot]-er,a worker whose job is to locate and fix sources of trouble,trouble+shoot(rắc rối + bắn) + -er(người làm việc gì; so sánh hơn)
truelove,noun,[true+love],a person loved by another person,true+love(đúng thật + tình yêu)
trustworthiness,noun,[trust+worth]-y-ness,the trait of deserving trust and confidence,"trust+worth(tin tưởng + đáng giá) + -y(có tính chất; danh từ/tính từ) + -ness(trạng thái, tính chất (danh từ))"
untrustworthiness,noun,un-[trust+worth]-y-ness,the trait of not deserving trust or confidence,"un-(không, ngược lại (phủ định/đảo nghĩa)) + trust+worth(tin tưởng + đáng giá) + -y(có tính chất; danh từ/tính từ) + -ness(trạng thái, tính chất (danh từ))"
trustworthy,adjective,[trust+worth]-y,taking responsibility for one's conduct and obligations,trust+worth(tin tưởng + đáng giá) + -y(có tính chất; danh từ/tính từ)
turnabout,noun,[turn+about],turning in the opposite direction,"turn+about(quay, lượt + về, khoảng)"
turnaround,noun,[turn+around],turning in the opposite direction,"turn+around(quay, lượt + xung quanh)"
turncoat,noun,[turn+coat],a disloyal person who betrays or deserts his cause or religion or political party or friend etc.,"turn+coat(quay, lượt + áo khoác)"
turnkey,noun,[turn+key],"a complete product that is ready to be deployed immediately, without further customization","turn+key(quay, lượt + chìa khóa)"
turnoff,noun,[turn+off],a side road where you can turn off,"turn+off(quay, lượt + tắt, xa khỏi)"
turnout,noun,[turn+out],the number of people who attend a particular event,"turn+out(quay, lượt + ra ngoài)"
turnover,noun,[turn+over],the total amount of goods or services sold by a company during a particular period of time,"turn+over(quay, lượt + ở trên, hơn)"
turntable,noun,[turn+table],a circular horizontal platform that rotates a phonograph record while it is being played,"turn+table(quay, lượt + cái bàn)"
twelvemonth,noun,[twelve+month],a period of time containing 365 (or 366) days,twelve+month(số mười hai + tháng)
twofaced,number,[two+face],"two+face(2 + the front part of the head, where the eyes, nose and mouth are )","two+face(số hai + khuôn mặt, đối mặt)"
typecast,verb,[typo+cast],identify as belonging to a certain type,"typo+cast(lỗi đánh máy + phân vai, đúc khuôn)"
typeface,noun,[typo+face],a specific size and style of type within a type family,"typo+face(lỗi đánh máy + khuôn mặt, đối mặt)"
typology,noun,[typo+log]-y,classification according to general type,"typo+log(lỗi đánh máy + khúc gỗ, nhật ký) + -y(có tính chất; danh từ/tính từ)"
typescript,noun,[typo+script],typewritten matter especially a typewritten copy of a manuscript,typo+script(lỗi đánh máy + kịch bản)
typeset,verb,[typo+set],set in type,"typo+set(lỗi đánh máy + đặt, bộ)"
typesetter,noun,[typo+set]-er,one who sets written material into type,"typo+set(lỗi đánh máy + đặt, bộ) + -er(người làm việc gì; so sánh hơn)"
typewrite,verb,[typo+write],write by means of a keyboard with types,typo+write(lỗi đánh máy + viết)
typewritten,verb,[typo+write]-en,"typo+write((không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập) + to make letters or numbers on a surface, especially using a pen or a pencil) + -en(to make (verb); made of (adjective))",typo+write(lỗi đánh máy + viết) + -en(làm cho (động từ); làm bằng (tính từ))
typewriter,noun,[typo+write]-er,hand-operated character printer for printing written messages one character at a time,typo+write(lỗi đánh máy + viết) + -er(người làm việc gì; so sánh hơn)
uppercut,noun,[up+cut]-er,a swinging blow directed upward (especially at an opponent's chin),up+cut(lên trên + cắt) + -er(người làm việc gì; so sánh hơn)
upland,adjective,[up+land],used of high or hilly country,up+land(lên trên + đất đai)
uppermost,adverb,[up+most]-er,in or into the highest position,up+most(lên trên + nhiều nhất) + -er(người làm việc gì; so sánh hơn)
vicelike,noun,[vice+like],vice+like(criminal activities that involve sex or drugs + the things that you like),"vice+like(phó (chức vụ), thói xấu + thích, giống như)"
videotape,noun,[video+tape],a relatively wide magnetic tape for use in recording visual images and associated sound,"video+tape(video + băng dính, băng ghi âm)"
viewfinder,noun,[view+find]-er,an optical device that helps a user to find the target of interest,"view+find(quan điểm, tầm nhìn + tìm thấy) + -er(người làm việc gì; so sánh hơn)"
viewpoint,noun,[view+point],a way of thinking about a subject,"view+point(quan điểm, tầm nhìn + điểm, chỉ ra)"
walkabout,noun,[walk+about],nomadic excursions into the bush made by an Aborigine,"walk+about(đi bộ + về, khoảng)"
walkin,noun,[walk+in],"walk+in(a journey on foot, usually for pleasure or exercise + into an object, an area or a substance)","walk+in(đi bộ + trong, vào)"
walkout,noun,[walk+out],the act of walking out (of a meeting or organization) as a sign of protest,walk+out(đi bộ + ra ngoài)
walkover,noun,[walk+over],backbends combined with handstands,"walk+over(đi bộ + ở trên, hơn)"
walkways,noun,[walk+way],"walk+way(a journey on foot, usually for pleasure or exercise + very far; by a large amount)","walk+way(đi bộ + con đường, cách thức)"
wallboard,noun,[wall+board],a wide flat board used to cover walls or partitions,"wall+board(bức tường + ban, bảng, tấm ván)"
wallflower,noun,[wall+flower],remains on sidelines at social event,wall+flower(bức tường + hoa)
