root_word,kieu_ket_hop,cong_thuc,vi_du_tu_moi,so_luong_vi_du
screw,Root + Suffix,screw + suffix,"screwier, screwiest, screwy",3
script,Word + Word,script + write,scriptwriter,1
script,Prefix + Root,prefix + script,"ascribe, circumscribe, conscript, describe, inscribe, nondescript, oversubscribed, postscript (+6 từ khác)",14
script,Root + Suffix,script + suffix,"scriptural, scripture",2
script,Prefix + Root + Suffix,prefix + script + suffix,"ascribable, ascription, circumscription, conscription, describable, description, descriptive, descriptively (+13 từ khác)",21
sea,Word + Word,sea + bed,"seabed, seabird, seaboard, seacoast, seafarers, seafaring, seafood, seafront (+15 từ khác)",23
sea,Prefix + Root,prefix + sea,"oversea, undersea",2
sea,Root + Suffix,sea + suffix,seaward,1
seal,Word + Word,seal + skin,sealskin,1
seal,Prefix + Root,prefix + seal,"resealed, unsealed",2
seal,Root + Suffix,seal + suffix,sealer,1
search,Word + Word,search + light,searchlight,1
search,Prefix + Root,prefix + search,research,1
search,Root + Suffix,search + suffix,"searcher, searchingly",2
search,Prefix + Root + Suffix,prefix + search + suffix,"researchable, researcher",2
season,Prefix + Root,prefix + season,unseasoned,1
season,Root + Suffix,season + suffix,"seasonable, seasonably, seasonal, seasonally",4
season,Prefix + Root + Suffix,prefix + season + suffix,unseasonable,1
seat,Prefix + Root,prefix + seat,"reseat, unseat",2
second,Word + Word,second + hand,secondhand,1
second,Prefix + Root,prefix + second,microsecond,1
second,Root + Suffix,second + suffix,"secondarily, seconder, secondly, secondment",4
secret,Prefix + Root,prefix + secret,semisecret,1
secret,Root + Suffix,secret + suffix,secretly,1
secretary,Prefix + Root,prefix + secretary,undersecretary,1
secretary,Root + Suffix,secretary + suffix,secretarial,1
secular,Root + Suffix,secular + suffix,"secularism, secularist, secularization, secularize, secularizer",5
secure,Prefix + Root,prefix + secure,insecure,1
secure,Root + Suffix,secure + suffix,"securely, security",2
secure,Prefix + Root + Suffix,prefix + secure + suffix,"insecurely, insecurity",2
see,Prefix + Root,prefix + see,"foresee, oversee, unseeing",3
see,Root + Suffix,see + suffix,seen,1
see,Prefix + Root + Suffix,prefix + see + suffix,"foreseeable, foreseen, overseen, overseer, unforeseen, unseeingly, unseen",7
seed,Word + Word,seed + bed,"seedbed, seedcake, seedcoat, seedtime",4
seed,Root + Suffix,seed + suffix,"seedier, seediest, seedily, seediness, seedless, seedling, seedy",7
seek,Word + Word,seek + suck,seersucker,1
seek,Root + Suffix,seek + suffix,seeker,1
seem,Prefix + Root,prefix + seem,beseem,1
seem,Root + Suffix,seem + suffix,seemingly,1
segment,Root + Suffix,segment + suffix,"segmental, segmentation",2
seize,Root + Suffix,seize + suffix,seizure,1
select,Root + Suffix,select + suffix,"selection, selective, selectively, selectiveness, selectivity, selector",6
self,Word + Word,self + conscious,"selfeffacing, selfsame, unselfconsciousness",3
self,Root + Suffix,self + suffix,"selfish, selfishly, selfishness, selfless, selflessly, selflessness",6
self,Prefix + Root + Suffix,prefix + self + suffix,"unselfish, unselfishly",2
sell,Word + Word,sell + out,sellout,1
sell,Prefix + Root,prefix + sell,"outsell, oversell, undersell",3
sell,Root + Suffix,sell + suffix,seller,1
send,Root + Suffix,send + suffix,sender,1
senior,Root + Suffix,senior + suffix,seniority,1
sense,Prefix + Root,prefix + sense,nonsense,1
sense,Root + Suffix,sense + suffix,"sensation, sensational, sensationalism, sensationalist, sensationally, senseless, senselessly, senselessness (+18 từ khác)",26
sense,Prefix + Root + Suffix,prefix + sense + suffix,"desensitization, desensitize, extrasensory, hypersensitive, hypersensitivity, insensate, insensibility, insensible (+7 từ khác)",15
sentence,Root + Suffix,sentence + suffix,"sententious, sententiously",2
sequence,Root + Suffix,sequence + suffix,"sequential, sequentially",2
serious,Root + Suffix,serious + suffix,"seriously, seriousness",2
serve,Word + Word,serve + man,serviceman,1
serve,Prefix + Root,prefix + serve,"conserve, deserve, preserve, subserve, undeserved",5
serve,Root + Suffix,serve + suffix,"servant, server, service, serviceability, serviceable, serviceableness, serviceably, servile (+4 từ khác)",12
serve,Prefix + Root + Suffix,prefix + serve + suffix,"conservancy, conservation, conservationist, conservatism, conservative, conservatively, conservatoire, conservatory (+10 từ khác)",18
set,Word + Word,set + back,"setback, setup",2
set,Prefix + Root,prefix + set,"beset, inset, offset, onset, outset, preset, reset, upset",8
set,Root + Suffix,set + suffix,setter,1
settle,Prefix + Root,prefix + settle,"resettle, unsettle",2
settle,Root + Suffix,settle + suffix,"settlement, settler",2
settle,Prefix + Root + Suffix,prefix + settle + suffix,resettlement,1
seven,Word + Word,seven + teen,seventeenths,1
seven,Root + Suffix,seven + suffix,"sevenfold, seventeen, seventeenth, seventh, seventhly, seventieth, seventy",7
several,Root + Suffix,several + suffix,severally,1
severe,Root + Suffix,severe + suffix,"severely, severer, severest, severity",4
sex,Prefix + Root,prefix + sex,"oversexed, undersexed, unisex, unsex",4
sex,Root + Suffix,sex + suffix,"sexier, sexiest, sexily, sexiness, sexism, sexist, sexless, sexual (+4 từ khác)",12
sex,Prefix + Root + Suffix,prefix + sex + suffix,"asexual, asexuality, asexually, bisexual, bisexuality, bisexually, transsexual",7
shade,Root + Suffix,shade + suffix,"shadier, shadiest, shady",3
shadow,Word + Word,shadow + box,shadowbox,1
shadow,Prefix + Root,prefix + shadow,"foreshadow, overshadow",2
shadow,Root + Suffix,shadow + suffix,"shadowier, shadowiest, shadowy",3
shake,Word + Word,shake + down,shakedown,1
shake,Root + Suffix,shake + suffix,"shaken, shaker, shakiest, shakily, shakiness, shaky",6
shake,Prefix + Root + Suffix,prefix + shake + suffix,unshakable,1
shallow,Root + Suffix,shallow + suffix,"shallower, shallowest, shallowly, shallowness",4
shame,Word + Word,shame + face,"shamefaced, shamefacedly",2
shame,Prefix + Root,prefix + shame,ashamed,1
shame,Root + Suffix,shame + suffix,"shameful, shamefully, shamefulness, shameless, shamelessly, shamelessness",6
shame,Prefix + Root + Suffix,prefix + shame + suffix,"ashamedly, unashamedly",2
shape,Prefix + Root,prefix + shape,reshapes,1
shape,Root + Suffix,shape + suffix,"shapeless, shapelessness, shapelier, shapeliness, shapely",5
shape,Prefix + Root + Suffix,prefix + shape + suffix,misshapen,1
share,Word + Word,share + crop,"sharecrop, sharecropper, shareholder",3
share,Root + Suffix,share + suffix,sharer,1
sharp,Word + Word,sharp + shoot,sharpshooter,1
sharp,Root + Suffix,sharp + suffix,"sharpen, sharpener, sharper, sharpest, sharply, sharpness",6
sharp,Prefix + Root + Suffix,prefix + sharp + suffix,unsharpened,1
shatter,Word + Word,shatter + proof,shatterproof,1
shatter,Root + Suffix,shatter + suffix,shatteringly,1
shed,Prefix + Root,prefix + shed,unshed,1
sheep,Word + Word,sheep + dog,"sheepdog, sheepfold, sheepskin",3
sheep,Root + Suffix,sheep + suffix,"sheepish, sheepishly, sheepishness",3
shell,Word + Word,shell + fish,"shellfish, shellshock",2
shelter,Prefix + Root,prefix + shelter,unsheltered,1
shift,Root + Suffix,shift + suffix,"shifters, shiftier, shiftiest, shiftily, shiftiness, shiftless, shiftlessly, shiftlessness (+1 từ khác)",9
shine,Prefix + Root,prefix + shine,outshine,1
shine,Root + Suffix,shine + suffix,"shiner, shinier, shiniest, shininess, shiningly, shiny",6
ship,Word + Word,ship + board,"midshipman, shipboard, shipbuilder, shipbuilding, shipload, shipman, shipmate, shipowner (+2 từ khác)",10
ship,Prefix + Root,prefix + ship,"midship, transship",2
ship,Root + Suffix,ship + suffix,"shipment, shipper",2
ship,Prefix + Root + Suffix,prefix + ship + suffix,transshipment,1
shirt,Word + Word,shirt + front,"shirtfront, shirttail",2
shirt,Prefix + Root,prefix + shirt,undershirt,1
shirt,Root + Suffix,shirt + suffix,"shirtier, shirty",2
shock,Word + Word,shock + wave,shockwave,1
shock,Root + Suffix,shock + suffix,"shocker, shockingly",2
shoe,Word + Word,shoe + black,"shoeblack, shoehorn, shoemaker, shoemaking, shoeshine, shoestring",6
shoe,Prefix + Root,prefix + shoe,overshoe,1
shoot,Prefix + Root,prefix + shoot,"offshoot, overshoot, undershoot",3
shoot,Root + Suffix,shoot + suffix,shooter,1
shop,Word + Word,shop + keep,"shopkeeper, shoplift, shoplifter, shopsoiled",4
shop,Root + Suffix,shop + suffix,shopper,1
shore,Word + Word,shore + line,shoreline,1
shore,Prefix + Root,prefix + shore,"ashore, foreshore, inshore, offshore, onshore",5
short,Word + Word,short + bread,"shortbread, shortcake, shortcoming, shortcut, shortfall, shorthand, shorthorn, shortsighted (+3 từ khác)",11
short,Root + Suffix,short + suffix,"shortage, shorten, shorter, shortest, shortly, shortness, shorty",7
short,Prefix + Root + Suffix,prefix + short + suffix,foreshorten,1
shot,Word + Word,shot + gun,"shotgun, shotshells",2
shot,Prefix + Root,prefix + shot,"overshot, upshot",2
show,Word + Word,show + boat,"showboat, showcase, showdown, showgirl, showman, showmanship, showpiece, showplace (+1 từ khác)",9
show,Root + Suffix,show + suffix,"showier, showiest, showily, showiness, shown, showy",6
shower,Root + Suffix,shower + suffix,"showerier, showery",2
shrink,Root + Suffix,shrink + suffix,shrinkage,1
shut,Word + Word,shut + down,shutdown,1
shut,Root + Suffix,shut + suffix,shutter,1
shy,Word + Word,shy + lock,shylock,1
shy,Root + Suffix,shy + suffix,"shyer, shyest, shyly, shyness, shyster",5
sick,Word + Word,sick + bay,"sickbay, sickbed, sickroom",3
sick,Root + Suffix,sick + suffix,"sicken, sickeningly, sicker, sickest, sickish, sicklier, sickliest, sickly (+1 từ khác)",9
side,Word + Word,side + arm,"sidearms, sideboard, sideburns, sidecar, sidekick, sidelight, sideline, sidelong (+8 từ khác)",16
side,Prefix + Root,prefix + side,"beside, inside, offside, outside, overside, underside, upside",7
side,Root + Suffix,side + suffix,"sideward, sidewise",2
side,Prefix + Root + Suffix,prefix + side + suffix,"insider, outsider",2
sight,Word + Word,sight + see,"sightsee, sightseen, sightseer",3
sight,Prefix + Root,prefix + sight,"foresight, insight, oversight",3
sight,Root + Suffix,sight + suffix,"sightless, sightliness",2
sight,Prefix + Root + Suffix,prefix + sight + suffix,"unsightliness, unsightly",2
sign,Word + Word,sign + board,"signalman, signboard, signpost",3
sign,Prefix + Root,prefix + sign,"undersign, unsigned",2
sign,Root + Suffix,sign + suffix,"signal, signalize, signaller, signally, signatory, signature, signer, significance (+5 từ khác)",13
sign,Prefix + Root + Suffix,prefix + sign + suffix,"cosignatory, insignificance, insignificant, insignificantly",4
silence,Root + Suffix,silence + suffix,silencer,1
silent,Root + Suffix,silent + suffix,silently,1
silk,Word + Word,silk + worm,silkworm,1
silk,Root + Suffix,silk + suffix,"silken, silkier, silkiest, silkiness, silky",5
silly,Root + Suffix,silly + suffix,"sillier, silliest, silliness",3
silver,Word + Word,silver + side,silverside,1
silver,Root + Suffix,silver + suffix,"silverier, silveriest, silvery",3
simple,Root + Suffix,simple + suffix,"simpler, simplest, simplicity, simplification, simplify, simplistic, simply",7
simple,Prefix + Root + Suffix,prefix + simple + suffix,"oversimplification, oversimplify",2
sin,Root + Suffix,sin + suffix,"sinful, sinfully, sinfulness, sinless, sinlessness, sinner",6
sincere,Prefix + Root,prefix + sincere,insincere,1
sincere,Root + Suffix,sincere + suffix,"sincerely, sincerer, sincerest, sincerity",4
sincere,Prefix + Root + Suffix,prefix + sincere + suffix,"insincerely, insincerity",2
sing,Word + Word,sing + song,singsong,1
sing,Root + Suffix,sing + suffix,"singable, singer",2
single,Word + Word,single + hand,singlehandedly,1
single,Root + Suffix,single + suffix,"singleness, singlet, singly, singular, singularity, singularize, singularly",7
sink,Word + Word,sink + hole,sinkhole,1
sink,Root + Suffix,sink + suffix,"sinkable, sinker",2
sink,Prefix + Root + Suffix,prefix + sink + suffix,unsinkable,1
sister,Root + Suffix,sister + suffix,"sisterhood, sisterly",2
sit,Root + Suffix,sit + suffix,sitter,1
situate,Root + Suffix,situate + suffix,situation,1
six,Word + Word,six + gun,"sixgun, sixpenny, sixteenths",3
six,Root + Suffix,six + suffix,"sextillion, sixfold, sixteen, sixteenth, sixth, sixthly, sixtieth, sixty",8
size,Prefix + Root,prefix + size,"outsize, oversize, undersize",3
size,Root + Suffix,size + suffix,sizable,1
sketch,Word + Word,sketch + book,"sketchbook, sketchpad",2
sketch,Root + Suffix,sketch + suffix,"sketcher, sketchier, sketchiest, sketchily, sketchiness, sketchy",6
ski,Word + Word,ski + lift,"skilift, skiway",2
ski,Root + Suffix,ski + suffix,skier,1
skill,Word + Word,skill + full,skillfulness,1
skill,Prefix + Root,prefix + skill,unskilled,1
skill,Root + Suffix,skill + suffix,"skilful, skilfully",2
skin,Word + Word,skin + dive,"skindive, skinfolds, skinhead",3
skin,Prefix + Root,prefix + skin,foreskin,1
skin,Root + Suffix,skin + suffix,"skinful, skinless, skinner, skinnier, skinniest, skinny",6
skirt,Prefix + Root,prefix + skirt,"outskirts, overskirt",2
skull,Word + Word,skull + cap,skullcap,1
sky,Word + Word,sky + dive,"skydiver, skyhook, skylight, skyline, skyrocket, skywave, skywriting",7
sky,Root + Suffix,sky + suffix,skyward,1
slap,Word + Word,slap + happy,"slaphappy, slapstick",2
slave,Prefix + Root,prefix + slave,enslave,1
slave,Root + Suffix,slave + suffix,"slavery, slavey, slavish, slavishly",4
slave,Prefix + Root + Suffix,prefix + slave + suffix,"antislavery, enslavement",2
sleep,Word + Word,sleep + head,"sleepwalk, sleepwalker, sleepyhead",3
sleep,Prefix + Root,prefix + sleep,oversleep,1
sleep,Root + Suffix,sleep + suffix,"sleeper, sleepier, sleepiest, sleepily, sleepiness, sleepless, sleeplessly, sleeplessness (+1 từ khác)",9
slide,Prefix + Root,prefix + slide,backslide,1
slide,Prefix + Root + Suffix,prefix + slide + suffix,backslider,1
slight,Root + Suffix,slight + suffix,"slighter, slightest, slightly, slightness",4
slip,Word + Word,slip + cover,"slipcover, slipover, slipstream, slipway",4
slip,Root + Suffix,slip + suffix,"slippage, slipper, slipperier, slipperiest, slipperiness, slippery, slippy",7
slogan,Root + Suffix,slogan + suffix,sloganeering,1
slope,Prefix + Root,prefix + slope,unsloped,1
slope,Root + Suffix,slope + suffix,slopingly,1
slow,Word + Word,slow + coach,"slowcoach, slowworm",2
slow,Root + Suffix,slow + suffix,"slower, slowest, slowly, slowness",4
small,Word + Word,small + hold,"smallholder, smallholding, smalltime",3
small,Root + Suffix,small + suffix,"smaller, smallest, smallish, smallness",4
smart,Prefix + Root,prefix + smart,outsmart,1
smart,Root + Suffix,smart + suffix,"smarter, smartest, smartly, smartness",4
smash,Root + Suffix,smash + suffix,smasher,1
smell,Root + Suffix,smell + suffix,"smellier, smelliest, smelliness, smelly",4
smile,Prefix + Root,prefix + smile,unsmiling,1
smile,Root + Suffix,smile + suffix,smilingly,1
smile,Prefix + Root + Suffix,prefix + smile + suffix,unsmilingly,1
smoke,Word + Word,smoke + house,"smokehouse, smokescreen",2
smoke,Root + Suffix,smoke + suffix,"smokeless, smoker, smokier, smokiest, smokiness, smoky",6
smoke,Prefix + Root + Suffix,prefix + smoke + suffix,nonsmoker,1
smooth,Word + Word,smooth + bore,smoothbore,1
smooth,Root + Suffix,smooth + suffix,"smoother, smoothest, smoothie, smoothly, smoothness",5
snake,Word + Word,snake + bite,snakebite,1
snake,Root + Suffix,snake + suffix,"snakier, snakiest, snaky",3
snap,Word + Word,snap + shot,snapshot,1
snap,Root + Suffix,snap + suffix,"snapper, snappier, snappiest, snappily, snappish, snappishly, snappishness, snappy",8
snow,Word + Word,snow + ball,"snowball, snowblind, snowblindness, snowbound, snowdrift, snowdrop, snowfall, snowfield (+3 từ khác)",11
snow,Root + Suffix,snow + suffix,"snowier, snowiest, snowiness, snowy",4
soak,Root + Suffix,soak + suffix,soaker,1
soap,Word + Word,soap + box,"soapbox, soapstone",2
soap,Root + Suffix,soap + suffix,"soapier, soapiest, soapiness, soapy",4
soft,Word + Word,soft + ball,"softball, softhearted, softland, softwood",4
soft,Prefix + Root,prefix + soft,oversoft,1
soft,Root + Suffix,soft + suffix,"soften, softener, softer, softest, softish, softly, softness, softy",8
soft,Prefix + Root + Suffix,prefix + soft + suffix,oversoftness,1
soil,Prefix + Root,prefix + soil,subsoil,1
soldier,Word + Word,soldier + like,soldierlike,1
soldier,Root + Suffix,soldier + suffix,"soldierly, soldiery",2
sole,Prefix + Root,prefix + sole,resoled,1
sole,Root + Suffix,sole + suffix,solely,1
solid,Root + Suffix,solid + suffix,"solidification, solidify, solidity, solidly, solidness",5
solid,Prefix + Root + Suffix,prefix + solid + suffix,"consolidate, consolidation",2
solo,Root + Suffix,solo + suffix,"solitaire, solitarily, solitary, solitude, soloist",5
solve,Prefix + Root,prefix + solve,"absolve, dissolve, resolve, unresolved, unsolved",5
solve,Root + Suffix,solve + suffix,"solvable, solvency, solvent, solver",4
solve,Prefix + Root + Suffix,prefix + solve + suffix,"insolvable, insolvency, insolvent, irresolvable, resolvable",5
some,Word + Word,some + body,"somebody, someday, somehow, someone, someplace, something, sometime, somewhat (+1 từ khác)",9
song,Word + Word,song + bag,"songbag, songbird, songbook, songstress",4
song,Root + Suffix,song + suffix,"songful, songster",2
sono,Prefix + Root,prefix + sono,tyson,1
sono,Root + Suffix,sono + suffix,"sonant, sonar, sonic, sonny",4
sono,Prefix + Root + Suffix,prefix + sono + suffix,"consonance, consonant, consonantal, resonance, resonant, resonantly, resonate, resonator (+4 từ khác)",12
soon,Root + Suffix,soon + suffix,"sooner, soonest",2
sorry,Root + Suffix,sorry + suffix,"sorrier, sorriest",2
sort,Prefix + Root,prefix + sort,assort,1
sort,Root + Suffix,sort + suffix,sorter,1
sort,Prefix + Root + Suffix,prefix + sort + suffix,assortment,1
soul,Root + Suffix,soul + suffix,"soulful, soulfully, soulfulness, soulless, soullessly, soullessness",6
sound,Word + Word,sound + proof,"soundproof, soundtrack",2
sound,Prefix + Root,prefix + sound,unsound,1
sound,Root + Suffix,sound + suffix,"sounder, soundest, soundless, soundlessly, soundly, soundness",6
south,Word + Word,south + bound,"southbound, southeast, southeaster, southeasterly, southeastern, southeastward, southwest, southwester (+3 từ khác)",11
south,Root + Suffix,south + suffix,"southerly, southern, southerner, southernisms, southernmost, southward",6
space,Word + Word,space + craft,"spacecraft, spaceship, spacesuit",3
space,Prefix + Root,prefix + space,"backspace, subspace",2
space,Root + Suffix,space + suffix,"spacer, spacious, spaciously, spaciousness, spatial, spatially",6
spain,Root + Suffix,spain + suffix,"spaniard, spanish",2
spare,Prefix + Root,prefix + spare,unsparing,1
spare,Root + Suffix,spare + suffix,"sparely, spareness, sparer, sparest",4
spare,Prefix + Root + Suffix,prefix + spare + suffix,unsparingly,1
spark,Root + Suffix,spark + suffix,sparky,1
speak,Word + Word,speak + ease,speakeasy,1
speak,Prefix + Root,prefix + speak,bespeak,1
speak,Root + Suffix,speak + suffix,"speakable, speaker, speakership",3
speak,Prefix + Root + Suffix,prefix + speak + suffix,"unspeakable, unspeakably",2
special,Prefix + Root,prefix + special,especial,1
special,Root + Suffix,special + suffix,"specialist, specialization, specialize, specially, specialty",5
special,Prefix + Root + Suffix,prefix + special + suffix,especially,1
species,Prefix + Root,prefix + species,"interspecies, subspecies",2
speech,Root + Suffix,speech + suffix,"speechify, speechless, speechlessly, speechlessness",4
speed,Word + Word,speed + boat,"speedboat, speedup, speedway",3
speed,Root + Suffix,speed + suffix,"speedier, speediest, speedily, speediness, speedo, speedy",6
spell,Word + Word,spell + bind,"spellbind, spellbinder, spellbound",3
spell,Prefix + Root,prefix + spell,misspell,1
spell,Root + Suffix,spell + suffix,speller,1
spell,Prefix + Root + Suffix,prefix + spell + suffix,misspelt,1
spend,Prefix + Root,prefix + spend,misspend,1
spend,Root + Suffix,spend + suffix,spender,1
sphere,Prefix + Root,prefix + sphere,hemisphere,1
sphere,Root + Suffix,sphere + suffix,"spherical, spheroid",2
sphere,Prefix + Root + Suffix,prefix + sphere + suffix,hemispherical,1
spice,Root + Suffix,spice + suffix,"spicier, spiciest, spicily, spiciness, spicy",5
spider,Root + Suffix,spider + suffix,spidery,1
spill,Word + Word,spill + over,spillover,1
spill,Prefix + Root,prefix + spill,overspill,1
spill,Root + Suffix,spill + suffix,spilt,1
spin,Word + Word,spin + drift,spindrift,1
spin,Root + Suffix,spin + suffix,"spinner, spinneret",2
spine,Root + Suffix,spine + suffix,"spinal, spineless, spinelessly, spinelessness, spinier, spiniest, spiny",7
spirit,Prefix + Root,prefix + spirit,dispirit,1
spirit,Root + Suffix,spirit + suffix,"spiritless, spiritlessly, spiritlessness, spiritual, spiritualism, spiritualist, spiritualistic, spirituality (+4 từ khác)",12
spirit,Prefix + Root + Suffix,prefix + spirit + suffix,dispiritedly,1
spite,Root + Suffix,spite + suffix,"spiteful, spitefully, spitefulness",3
spoil,Word + Word,spoil + sport,spoilsport,1
spoil,Prefix + Root,prefix + spoil,despoil,1
spoil,Root + Suffix,spoil + suffix,"spoilage, spoiler, spoilt, spoliation",4
spoil,Prefix + Root + Suffix,prefix + spoil + suffix,despoilers,1
sponsor,Prefix + Root,prefix + sponsor,cosponsors,1
sponsor,Root + Suffix,sponsor + suffix,sponsorship,1
spoon,Word + Word,spoon + feed,spoonfeed,1
spoon,Root + Suffix,spoon + suffix,"spooner, spoonful",2
sport,Word + Word,sport + man,"sportsman, sportsmanlike, sportsmanship, sportswoman, sportswriter",5
sport,Root + Suffix,sport + suffix,"sportier, sportiest, sportiness, sportingly, sportive, sportively, sportiveness, sporty",8
spot,Word + Word,spot + light,spotlight,1
spot,Prefix + Root,prefix + spot,unspotted,1
spot,Root + Suffix,spot + suffix,"spotless, spotlessly, spotlessness, spotter, spottier, spottiest, spotty",7
spouse,Prefix + Root,prefix + spouse,espouse,1
spouse,Prefix + Root + Suffix,prefix + spouse + suffix,espousal,1
spread,Prefix + Root,prefix + spread,outspread,1
spread,Root + Suffix,spread + suffix,"spreadable, spreader",2
spring,Word + Word,spring + board,"springboard, springlike, springtime",3
spring,Prefix + Root,prefix + spring,offspring,1
spring,Root + Suffix,spring + suffix,"springier, springiest, springless, springy",4
spy,Word + Word,spy + glass,spyglass,1
square,Root + Suffix,square + suffix,"squarely, squareness, squarer, squarest",4
squeeze,Root + Suffix,squeeze + suffix,squeezer,1
stab,Root + Suffix,stab + suffix,stabber,1
stable,Word + Word,stable + man,stableman,1
stable,Prefix + Root,prefix + stable,unstable,1
stable,Root + Suffix,stable + suffix,"stability, stabilization, stabilize, stabilizer, stabler, stablest, stably",7
stable,Prefix + Root + Suffix,prefix + stable + suffix,instability,1
staff,Prefix + Root,prefix + staff,understaffed,1
stage,Word + Word,stage + coach,stagecoach,1
stage,Prefix + Root,prefix + stage,"interstage, offstage, upstage",3
stage,Root + Suffix,stage + suffix,"stager, stagier, stagily, staginess, stagy",5
stair,Word + Word,stair + case,"staircase, stairway, stairwell",3
stair,Prefix + Root,prefix + stair,"downstair, upstairs",2
stake,Word + Word,stake + hold,"stakeholder, stakeout",2
stall,Prefix + Root,prefix + stall,"forestall, install, reinstall",3
stall,Prefix + Root + Suffix,prefix + stall + suffix,"installation, instalment",2
stance,Prefix + Root,prefix + stance,circumstance,1
stance,Prefix + Root + Suffix,prefix + stance + suffix,"circumstantial, circumstantially",2
stand,Word + Word,stand + by,"standby, standin, standoffish, standoffishness, standpipe, standpoint, standstill",7
stand,Prefix + Root,prefix + stand,"outstanding, upstanding",2
stand,Root + Suffix,stand + suffix,"stander, standeth",2
stand,Prefix + Root + Suffix,prefix + stand + suffix,"bystander, outstandingly",2
standard,Prefix + Root,prefix + standard,"nonstandard, substandard",2
standard,Root + Suffix,standard + suffix,"standardization, standardize",2
star,Word + Word,star + board,"starboard, stardust, starfish, stargazer, stargazing, starlight",6
star,Prefix + Root,prefix + star,"superstar, telstar",2
star,Root + Suffix,star + suffix,"stardom, starless, starlet, starrier, starry",5
stark,Root + Suffix,stark + suffix,"starker, starkest, starkly",3
start,Word + Word,start + up,startups,1
start,Prefix + Root,prefix + start,upstart,1
start,Root + Suffix,start + suffix,starter,1
start,Prefix + Root + Suffix,prefix + start + suffix,nonstarter,1
starve,Root + Suffix,starve + suffix,"starvation, starveling",2
state,Word + Word,state + man,"stateroom, statesman, statesmanlike, statesmanship, statewide",5
state,Prefix + Root,prefix + state,"instate, interstate, misstate, outstate, overstate, reinstate, restate, understate (+1 từ khác)",9
state,Root + Suffix,state + suffix,"statehood, stateless, statelessness, statelier, stateliest, stateliness, stately, statement",8
state,Prefix + Root + Suffix,prefix + state + suffix,"misstatement, overstatement, reinstatement, restatement, understatement",5
statistic,Root + Suffix,statistic + suffix,"statistical, statistically, statistician",3
statue,Root + Suffix,statue + suffix,"statuesque, statuette",2
stay,Prefix + Root,prefix + stay,"outstay, overstay",2
stay,Root + Suffix,stay + suffix,stayer,1
steady,Prefix + Root,prefix + steady,unsteady,1
steady,Root + Suffix,steady + suffix,"steadier, steadiest, steadily, steadiness",4
steady,Prefix + Root + Suffix,prefix + steady + suffix,unsteadily,1
steal,Root + Suffix,steal + suffix,stealer,1
steam,Word + Word,steam + boat,"steamboat, steamroller, steamship",3
steam,Root + Suffix,steam + suffix,"steamer, steamier, steamiest, steamily, steamy",5
steel,Word + Word,steel + make,"steelmaker, steelworker, steelworks, steelyard",4
steel,Root + Suffix,steel + suffix,"steelier, steeliest, steely",3
steep,Root + Suffix,steep + suffix,"steepen, steeper, steepest, steepish, steeply, steepness",6
steer,Word + Word,steer + man,steersman,1
steer,Prefix + Root,prefix + steer,oversteer,1
steer,Root + Suffix,steer + suffix,steerage,1
step,Root + Word,step + sono,stepsons,1
step,Word + Word,step + brother,"stepbrother, stepchild, stepdaughter, stepfather, stepladder, stepmother, steprelationship, stepsister",8
step,Prefix + Root,prefix + step,"instep, overstep",2
step,Root + Suffix,step + suffix,stepwise,1
stick,Word + Word,stick + man,"stickman, stickpin",2
stick,Prefix + Root,prefix + stick,nonstick,1
stick,Root + Suffix,stick + suffix,"sticker, stickier, stickiest, stickily, stickiness, sticky",6
stiff,Root + Suffix,stiff + suffix,"stiffen, stiffener, stiffer, stiffest, stiffly, stiffness",6
still,Word + Word,still + birth,"stillbirth, stillborn, stillroom",3
still,Prefix + Root,prefix + still,instilled,1
still,Root + Suffix,still + suffix,"stiller, stillest, stillness",3
still,Prefix + Root + Suffix,prefix + still + suffix,instillation,1
stimul,Root + Suffix,stimul + suffix,"stimulant, stimulate, stimulation, stimulatory, stimuli",5
stir,Prefix + Root,prefix + stir,bestir,1
stir,Root + Suffix,stir + suffix,"stirrer, stirringly",2
stock,Word + Word,stock + breed,"stockbreeder, stockcar, stockholder, stockpile, stockpot, stockroom, stocktaking, stockyard",8
stock,Prefix + Root,prefix + stock,"overstock, restock, understocked",3
stock,Root + Suffix,stock + suffix,"stockier, stockily, stockiness, stockist, stocky",5
stomach,Root + Suffix,stomach + suffix,stomachful,1
stone,Word + Word,stone + break,"stonebreaker, stonecutter, stoneless, stonewall, stonewaller, stonework",6
stone,Root + Suffix,stone + suffix,"stonier, stoniest, stonily, stony",4
stop,Word + Word,stop + gap,"stopgap, stopover, stopwatch",3
stop,Prefix + Root,prefix + stop,"nonstop, unstop",2
stop,Root + Suffix,stop + suffix,"stoppable, stoppage, stopper",3
store,Word + Word,store + front,"storefront, storehouse, storekeeper, storeroom",4
store,Root + Suffix,store + suffix,storage,1
storm,Word + Word,storm + bound,stormbound,1
storm,Root + Suffix,storm + suffix,"stormier, stormiest, stormily, stormy",4
story,Word + Word,story + book,"storybook, storyline, storyteller",3
straight,Word + Word,straight + away,"straightaway, straightforward, straightforwardly, straightway",4
straight,Root + Suffix,straight + suffix,"straighten, straighter, straightest, straightness",4
strain,Prefix + Root,prefix + strain,"constrain, overstraining, restrain, unrestrained",4
strain,Root + Suffix,strain + suffix,strainer,1
