root_word,meaning_en,meaning_vi
row,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),"hàng, chèo thuyền"
rub,"to move your hand, a cloth, etc., backwards and forwards over a surface while pressing it",chà xát
rubbish,things that you throw away because you no longer want or need them,rác rưởi
rude,having or showing a lack of respect for other people and their feelings,thô lỗ
ruin,the state or process of being destroyed or severely damaged,sự phá hủy
rule,"a statement of what may, must or must not be done in a particular situation or when playing a game","quy tắc, cai trị"
run,an act of running; a period of time spent running or the distance that somebody runs,chạy
rural,connected with or like the countryside,nông thôn
rush,a sudden strong movement or action,vội vàng
sack,to dismiss somebody from a job,"bao tải, sa thải"
sacro,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),thiêng liêng (gốc từ)
sad,unhappy or showing unhappiness,buồn bã
safe,"protected from any danger, harm or loss",an toàn
sail,a sheet of strong cloth which the wind blows against to make a boat or ship travel through the water,"buồm, đi thuyền"
saint,"a person that the Christian Church recognizes as being very holy, because of the way they have lived or died",thánh
sake,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),"lợi ích, mục đích"
sale,an act or the process of selling something,bán hàng
salt,a white substance that is added to food to make it taste better or to preserve it. Salt is obtained from mines and is also found in seawater. It is sometimes called common salt to show that it is different from other chemical salts. Its chemical name is sodium chloride.,muối
same,exactly the one or ones referred to or mentioned; not different,giống nhau
sample,a number of people or things taken from a larger group and used in tests to provide information about the group,mẫu thử
sand,"a substance that consists of very small fine grains of rock. Sand is found on beaches, in deserts, etc.",cát
sauce,a thick liquid that is eaten with food to add taste to it,nước sốt
save,"to keep somebody/something safe from death, harm, loss, etc.","tiết kiệm, cứu"
say,the right to influence something by giving your opinion before a decision is made,nói
scale,"the size or extent of something, especially when compared with something else","quy mô, cân"
scan,"to look quickly but not very carefully at a document, etc.",quét
scandal,behaviour or an event that people think is morally or legally wrong and causes public feelings of shock or anger,tai tiếng
scare,a situation in which a lot of people are anxious or frightened about something,sợ hãi
scatter,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),rải rác
scene,"the place where something happens, especially something unpleasant",cảnh tượng
scheme,a plan or system for doing or organizing something,"kế hoạch, âm mưu"
school,a place where children go to be educated,trường học
scope,the opportunity or ability to do or achieve something,phạm vi
score,"the number of points, goals, etc. scored by each player or team in a game or competition",điểm số
scratch,"a mark, a cut or an injury made by scratching somebody’s skin or the surface of something",trầy xước
scream,"a loud high shout made by somebody who is hurt, frightened, excited, etc.; a loud high noise",la hét
screen,"the flat surface at the front of a television, computer, or other electronic device, on which you see pictures or information",màn hình
screw,"a thin pointed piece of metal like a nail with a raised spiral line (called a thread) along it and a line or cross cut into its head. Screws are turned and pressed into wood, metal, etc. with a screwdriver in order to fasten two things together.","ốc vít, vặn"
script,"a written text of a play, film, broadcast, talk, etc.",kịch bản
sea,the salt water that covers most of the earth’s surface and surrounds its continents and islands,biển
seal,"an official design or mark, stamped on a document to show that it is real and carries the authority of a particular person or organization","con dấu, con hải cẩu"
search,"an attempt to find somebody/something, especially by looking carefully for them/it",tìm kiếm
season,"any of the four main periods of the year: spring, summer, autumn and winter",mùa
seat,"a place where you can sit, for example a chair",chỗ ngồi
second,after one other person or thing in order or importance,"thứ hai, giây"
secret,known about by only a few people; kept hidden from others,bí mật
secretary,"a person who works in an office, working for another person, dealing with mail and phone calls, keeping records, arranging meetings with people, etc.",thư ký
secular,not connected with spiritual or religious matters,thế tục
secure,likely to continue or be successful for a long time,"an toàn, bảo đảm"
see,to become aware of somebody/something by using your eyes,nhìn thấy
seed,"the small hard part produced by a plant, from which a new plant can grow",hạt giống
seek,to look for something/somebody,tìm kiếm
seem,to give the impression of being or doing something,dường như
segment,a part of something that is separate from the other parts or can be considered separately,phân đoạn
seize,to take somebody/something in your hand suddenly and using force,"nắm bắt, chiếm giữ"
select,"to choose somebody/something from a group of people or things, usually according to a system",lựa chọn
self,"the type of person you are, especially the way you normally behave, look or feel",bản thân
sell,to give something to somebody in exchange for money,bán
send,"to make something go or be taken to a place, especially by post, email, radio, etc.",gửi đi
senior,high in rank or status; higher in rank or status than others,"cấp cao, người lớn tuổi"
sense,an understanding about something; an ability to judge something,"giác quan, ý nghĩa"
sentence,"a set of words expressing a statement, a question or an order, usually containing a subject and a verb. In written English sentences begin with a capital letter and end with a full stop/period (.), a question mark (?) or an exclamation mark (!).","câu văn, bản án"
sequence,"a set of events, actions, numbers, etc. which have a particular order and which lead to a particular result",trình tự
serious,bad or dangerous,nghiêm túc
serve,"to give somebody food or drink, for example at a restaurant or during a meal",phục vụ
set,a group of similar things that belong together in some way,"đặt, bộ"
settle,to put an end to an argument or a disagreement,"định cư, giải quyết"
seven,7,số bảy
several,more than two but not very many,vài
severe,extremely bad or serious,nghiêm trọng
sex,the state of being male or female,giới tính
shade,"an area that is dark and cool under or behind something, for example a tree or building, because the sun’s light does not get to it",bóng râm
shadow,"the dark shape that somebody/something’s form makes on a surface, for example on the ground, when they are between the light and the surface",cái bóng
shake,an act of shaking somebody/something,"lắc, rung"
shallow,not having much distance between the top or surface and the bottom,nông cạn
shame,used to say that something is a cause for feeling sad or disappointed,xấu hổ
shape,the form of the outer edges or surfaces of something; an example of something that has a particular form,hình dạng
share,one part of something that is divided between two or more people,chia sẻ
sharp,"having a fine edge or point, especially of something that can cut or make a hole in something",sắc bén
shatter,to suddenly break into small pieces; to make something suddenly break into small pieces,vỡ tan
shed,to get rid of something that is no longer wanted,"nhà kho, đổ (nước mắt)"
sheep,"an animal with a thick coat, kept on farms for its meat (called mutton or lamb) or its wool",con cừu
sheet,a large piece of thin cloth used on a bed to lie on or lie under,"tấm, tờ"
shelf,"a flat board, made of wood, metal, glass, etc., fixed to the wall or forming part of a cupboard, bookcase, etc., for things to be placed on",kệ sách
shell,"the hard outer part of eggs, nuts, some seeds, and some animals","vỏ sò, vỏ đạn"
shelter,"the fact of having a place to live or stay, considered as a basic human need",nơi trú ẩn
shift,a period of time worked by a group of workers who start work as another group finishes,"ca làm việc, thay đổi"
shine,to produce or reflect light; to be bright,tỏa sáng
ship,a large boat that carries people or goods by sea,con tàu
shirt,"a piece of clothing worn on the upper part of the body, made of light cloth, with sleeves and usually with a collar and buttons down the front",áo sơ mi
shock,"a strong feeling of surprise as a result of something happening, especially something unpleasant; the event that causes this feeling",sốc
shoe,one of a pair of objects usually made of leather or plastic that you wear on your feet,giày
shoot,the part that grows up from the ground when a plant starts to grow; a new part that grows on plants or trees,bắn
shop,a building or part of a building where you can buy goods or services,cửa hàng
shore,"the land along the edge of the sea, the ocean or a lake",bờ biển
short,"measuring or covering a small length or distance, or a smaller length or distance than usual",ngắn
shot,the act of firing a gun; the sound this makes,"phát súng, cú đánh"
show,a programme on television or the radio,trình diễn
shower,a piece of equipment producing a flow of water that you stand under to wash yourself; the small room or part of a room that contains a shower,vòi hoa sen
shrink,"to become smaller, especially when washed in water that is too hot; to make clothes, cloth, etc. smaller in this way",co lại
shut,not open,đóng lại
shy,nervous or embarrassed about meeting and speaking to other people,nhút nhát
sick,physically or mentally ill,ốm đau
side,"either of the two halves of a surface, an object or an area that is divided by an imaginary central line",bên cạnh
sight,the ability to see,tầm nhìn
sign,"an event, an action, a fact, etc. that shows that something exists, is happening or may happen in the future","dấu hiệu, ký tên"
silence,a complete lack of noise or sound,sự im lặng
silent,where there is little or no sound; making little or no sound,im lặng
silk,fine soft thread produced by silkworms,lụa
silly,"showing a lack of thought, understanding, or judgement",ngớ ngẩn
silver,shiny grey-white in colour,bạc
simple,not complicated; easy to understand or do,đơn giản
sin,an offence against God or against a religious or moral law,tội lỗi
sincere,showing what you really think or feel,chân thành
sing,to make musical sounds with your voice in the form of a song or tune,hát
single,only one,"độc thân, đơn lẻ"
sink,to go down below the surface or towards the bottom of a liquid or soft substance,"chìm, bồn rửa"
sister,a girl or woman who has the same mother and father as another person,chị/em gái
sit,"to rest your weight on your bottom with your back straight, for example on/in a chair",ngồi
site,"a place where a building, town, etc. was, is or will be located",địa điểm
situate,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),đặt tại
six,6,số sáu
size,how large or small a person or thing is,kích thước
sketch,a simple picture that is drawn quickly and does not have many details,bản phác thảo
ski,connected with the sport of skiing,trượt tuyết
skill,the ability to do something well,kỹ năng
skin,the layer of tissue that covers the body,làn da
skirt,a piece of clothing that hangs from the middle part of the body,váy
skull,the bone structure that forms the head and surrounds and protects the brain,hộp sọ
sky,"the space above the earth that you can see when you look up, where clouds and the sun, moon and stars appear",bầu trời
slap,to hit somebody/something with the flat part of your hand,tát
slave,a person who is owned by another person and is forced to work for and obey them,nô lệ
sleep,"the natural state of rest in which your eyes are closed, your body is not active, and your mind is not conscious",ngủ
slide,"one page of an electronic presentation, that may contain text and images, that is usually viewed on a computer screen or projected onto a larger screen",trượt
slight,very small in degree,nhẹ nhàng
slip,to slide a short distance by accident so that you fall or nearly fall,trượt ngã
slogan,"a word or phrase that is easy to remember, used for example by a political party or in advertising to attract people’s attention or to suggest an idea quickly",khẩu hiệu
slope,a surface or piece of land that slopes (= is higher at one end than the other),độ dốc
slow,"not moving, acting or done quickly; taking a long time; not fast",chậm chạp
small,"not large in size, number, degree, amount, etc.",nhỏ bé
smart,looking clean and neat; well dressed in fashionable and/or formal clothes,thông minh
smash,"to break something, or to be broken, violently and noisily into many pieces",đập vỡ
smell,the quality of something that people and animals sense through their noses,mùi hương
smile,"the expression that you have on your face when you are happy or you think something is funny, in which the corners of your mouth turn upwards",nụ cười
smoke,"the grey, white or black gas that is produced by something burning",khói
smooth,"completely flat and even, without any rough areas or holes",mịn màng
snake,"a reptile with a very long thin body and no legs. There are many types of snake, some of which are poisonous.",con rắn
snap,to break something suddenly with a sharp noise; to be broken in this way,"chụp nhanh, gãy"
snow,small soft white pieces (called flakes) of frozen water that fall from the sky in cold weather; this substance when it is lying on the ground,tuyết
so,to such a great degree,vì vậy
soak,to put something in liquid for a time so that it becomes completely wet; to become completely wet in this way,ngâm nước
soap,a substance that you use with water for washing your body,xà phòng
sock,"a piece of clothing that is worn over the foot, ankle and lower part of the leg, especially inside a shoe",tất
soft,changing shape easily when pressed; not stiff or hard,mềm mại
soil,"the top layer of the earth in which plants, trees, etc. grow",đất
soldier,"a member of an army, especially one who is not an officer",người lính
sole,only; single,"duy nhất, đế giày"
solid,hard; not in the form of a liquid or gas,rắn chắc
solo,"done by one person alone, without anyone helping them",đơn độc
solve,to find a way of dealing with a problem or difficult situation,giải quyết
some,"used with uncountable nouns or plural countable nouns to mean ‘an amount of’ or ‘a number of’, when the amount or number is not given",một vài
song,a short piece of music with words that you sing,bài hát
sono,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),âm thanh (gốc từ)
soon,in a short time from now; a short time after something else has happened,sớm
sorry,feeling sad and ashamed about something that has been done,xin lỗi
sort,a group or type of people or things that are similar in a particular way,"loại, phân loại"
soul,"the spiritual part of a person, believed to exist after death",linh hồn
sound,sensible; that you can rely on and that will probably give good results,âm thanh
south,in or towards the south,phía nam
space,the area outside the earth’s atmosphere where all the other planets and stars are,không gian
spain,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),Tây Ban Nha
spare,available to do what you want with rather than work,dự phòng
spark,"to cause something to start or develop, especially suddenly",tia lửa
speak,to talk to somebody about something; to have a conversation with somebody,nói chuyện
special,not ordinary or usual; different from what is normal,đặc biệt
species,"a group into which animals, plants, etc. that are able to have sex with each other and produce healthy young are divided, smaller than a genus and identified by a Latin name",loài
speech,a formal talk that a person gives to an audience,bài phát biểu
speed,the rate at which somebody/something moves or travels,tốc độ
spell,a short period of time during which something lasts,"đánh vần, phép thuật"
spend,"to give money to pay for goods, services, etc.",chi tiêu
sphere,"a solid figure that is completely round, with every point on its surface at an equal distance from the centre","quả cầu, lĩnh vực"
spice,one of the various types of powder or seed that come from plants and are used in cooking. Spices have a strong taste and smell.,gia vị
spider,a small creature with eight thin legs. Many spiders spin webs to catch insects for food.,con nhện
spill,to flow over the edge of a container by accident; to make liquid do this,làm đổ
spin,a very fast turning movement,quay tròn
spine,the row of small bones that are connected together down the middle of the back,cột sống
spirit,"the part of a person that includes their mind, feelings and character rather than their body",tinh thần
spite,a feeling of wanting to hurt or upset somebody,sự hằn học
split,an argument or disagreement that divides a group of people or makes somebody separate from somebody else,chia tách
spoil,"to change something good into something bad, unpleasant, etc.",làm hỏng
sponsor,"a person or company that pays for a radio or television programme, or for a concert or sporting event, usually in return for advertising",nhà tài trợ
spoon,"a tool that has a handle with a shallow bowl at the end, used for mixing, serving and eating food",thìa
sport,"activity that you do for pleasure and that needs physical effort or skill, usually done in a special area and according to fixed rules",thể thao
spot,a small round area that has a different colour or feels different from the surface it is on,"vết đốm, địa điểm"
spouse,a husband or wife,vợ/chồng
spread,"an increase in the amount or number of something that there is, or in the area that is affected by something",lan rộng
spring,the season between winter and summer when plants begin to grow,"mùa xuân, lò xo"
spy,"a person who tries to get secret information about another country, organization or person, especially somebody who is employed by a government or the police",gián điệp
square,having four straight equal sides and four angles of 90°,"hình vuông, quảng trường"
squeeze,"to press something, especially with your fingers",bóp chặt
stab,"to push a sharp, pointed object, especially a knife, into somebody, killing or injuring them",đâm dao
stable,"fixed or steady; not likely to move, change or fail",ổn định
staff,all the workers employed in an organization considered as a group,nhân viên
stage,a period or state that something/somebody passes through while developing or making progress,"sân khấu, giai đoạn"
stair,a set of steps built between two floors inside a building,cầu thang
stake,money that somebody invests in a company,"cổ phần, cọc"
stall,"a table or small shop with an open front that people sell things from, especially at a market","gian hàng, chết máy"
stance,the opinions that somebody has about something and expresses publicly,lập trường
stand,an attitude towards something or an opinion that you make clear to people,đứng
standard,average or normal rather than having special or unusual features,tiêu chuẩn
star,a large ball of burning gas in space that we see as a point of light in the sky at night,ngôi sao
stark,"unpleasant; real, and impossible to avoid","hoàn toàn, cằn cỗi"
start,the point at which something begins,bắt đầu
starve,to suffer or die because you do not have enough food to eat; to make somebody suffer or die in this way,chết đói
state,provided or controlled by the government of a country,"nhà nước, trạng thái"
statistic,a collection of information shown in numbers,thống kê
statue,"a figure of a person or an animal in stone, metal, etc., usually the same size as in real life or larger",bức tượng
stay,a period of staying; a visit,ở lại
steady,"developing, growing, etc. gradually and in an even and regular way",ổn định
steal,"to take something from a person, shop, etc. without permission and without intending to return it or pay for it",trộm cắp
steam,the hot gas that water changes into when it boils,hơi nước
steel,"a strong, hard metal that is made of a mixture of iron and carbon",thép
steep,"rising or falling quickly, not gradually",dốc đứng
steer,"to control the direction in which a boat, car, etc. moves","lái xe, điều khiển"
step,one of a series of things that you do in order to achieve something,bước chân
stick,a thin piece of wood that has fallen or been broken from a tree,"que, dính chặt"
stiff,difficult to bend or move,cứng đờ
still,not moving; calm and quiet,"vẫn còn, yên tĩnh"
stimul,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),kích thích (gốc từ)
stir,"to move a liquid or substance around, using a spoon or something similar, in order to mix it completely",khuấy động
stock,a supply of goods that is available for sale in a shop,"cổ phiếu, hàng tồn kho"
stomach,the organ inside the body where food goes when you eat it,dạ dày
stone,"a hard solid mineral substance that is found in the ground, often used for building",đá
stop,a place where a bus or train stops regularly for passengers to get on or off,dừng lại
store,a large shop that sells many different types of goods,"cửa hàng, lưu trữ"
storm,"very bad weather with strong winds and rain, and often thunder and lightning",cơn bão
story,a description of events and people that the writer or speaker has invented in order to entertain people,câu chuyện
straight,without a bend or curve; going in one direction only,thẳng
strain,pressure on a system or relationship because great demands are being placed on it,căng thẳng
strange,"unusual or surprising, especially in a way that is difficult to understand",kỳ lạ
stream,"a small, narrow river",dòng suối
street,a public road in a city or town that has houses and buildings on one side or both sides,đường phố
strength,the quality of being physically strong,sức mạnh
stress,pressure or worry caused by problems in somebody’s life or by having too much to do,căng thẳng
stretch,"an area of land or water, especially a long one",kéo dài
strict,that must be obeyed exactly,nghiêm khắc
strike,a period of time when an organized group of employees of a company stops working because of an argument over pay or conditions,"đình công, đánh"
string,"long, thin material used for tying things together, made of several threads that have been twisted together; a piece of string used to fasten or pull something or keep something in place","dây, chuỗi"
strip,"a long narrow piece of paper, metal, cloth, etc.","dải, cởi bỏ"
strive,to try very hard to achieve something,nỗ lực phấn đấu
stroke,"an act of hitting a ball, for example with a bat or racket","cú đánh, đột quỵ"
strong,"having a lot of physical power so that you can lift heavy weights, do hard physical work, etc.",mạnh mẽ
stuff,"used to refer to a substance, material, group of objects, etc. when you do not know the name, when the name is not important or when it is obvious what you are talking about",đồ đạc
stumble,to hit your foot against something while you are walking or running and almost fall,vấp ngã
stun,"to make a person or an animal unconscious for a short time, especially by hitting them on the head",làm choáng váng
stupid,showing a lack of thought or good judgement,ngu ngốc
style,the particular way in which something is done,phong cách
submit,"to give a document, proposal, etc. to somebody in authority so that they can study or consider it","nộp, khuất phục"
subsequent,happening or coming after something else,tiếp theo sau
substance,"a type of solid, liquid or gas that has particular qualities","chất liệu, bản chất"
subtle,not very obvious or easy to notice ,tinh tế
success,the fact that you have achieved something that you want and have been trying to do or get ,thành công
successive,following immediately one after the other,liên tiếp
successor,a person or thing that comes after somebody/something else and takes their/its place,người kế nhiệm
such,used to emphasize the great degree of something,như vậy
suck,"to take liquid, air, etc. into your mouth by using the muscles of your lips","bú, hút"
sudden,happening or done quickly and unexpectedly,đột ngột
suffer,"to be badly affected by a disease, pain, sad feelings, a lack of something, etc.",chịu đựng
sugar,"a sweet substance, often in the form of white or brown crystals, made from the juices of various plants, used in cooking or to make tea, coffee, etc. sweeter",đường
suggest,to put forward an idea or a plan for other people to think about,gợi ý
suit,"a set of clothes made of the same cloth, including a jacket and trousers or a skirt","bộ vest, phù hợp"
sum,an amount of money,tổng số
summer,"the warmest season of the year, coming between spring and autumn",mùa hè
sun,the star that shines in the sky during the day and gives the earth heat and light,mặt trời
superb,excellent; of very good quality,tuyệt vời
superior,better in quality than somebody/something else; greater than somebody/something else,vượt trội
supply,an amount of something that is provided or available to be used,cung cấp
support,approval that you give to somebody/something because you want them to be successful,hỗ trợ
supreme,highest in rank or position,tối cao
sure,confident that you know something or that you are right,chắc chắn
surface,the outside or top layer of something,bề mặt
surge,a sudden increase of a strong feeling,tăng vọt
surprise,"an event, a piece of news, etc. that is unexpected or that happens suddenly",ngạc nhiên
suspect,a person who is suspected of a crime or of having done something wrong,nghi ngờ
swallow,"to make food, drink, etc. go down your throat into your stomach","nuốt, chim én"
swear,"to use rude or offensive language, usually because you are angry","thề, chửi thề"
sweep,"to clean a room, surface, etc. using a broom (= a type of brush on a long handle)",quét dọn
sweet,"containing, or tasting as if it contains, a lot of sugar",ngọt ngào
swim,a period of time during which you swim,bơi lội
swing,a swinging movement or rhythm,đung đưa
switch,a small device that you press or move up and down in order to turn a light or piece of electrical equipment on and off,"công tắc, chuyển đổi"
sword,a weapon with a long metal blade (= sharp cutting part) and a handle,thanh kiếm
symbol,"a person, an object, an event, etc. that represents a more general quality or situation",biểu tượng
symptom,a change in your body or mind that shows that you are not healthy,triệu chứng
system,an organized set of ideas or theories or a particular way of doing something,hệ thống
table,a piece of furniture that consists of a flat top supported by legs,cái bàn
tactic,the particular method you use to achieve something,chiến thuật
tail,"the part that sticks out at the back of the body of a bird, an animal or a fish, which the animal can move from side to side or up and down",đuôi
take,to carry or move something from one place to another,"lấy, cầm"
tale,"a story created using the imagination, especially one that is full of action and adventure",câu chuyện kể
talk,a speech or lecture on a particular subject,nói chuyện
tall,having a greater than average height,cao lớn
tank,a large container for holding liquid or gas,"xe tăng, bể chứa"
tap,a device for controlling the flow of water from a pipe into a bath or sink,"vòi nước, chạm nhẹ"
tape,"a long, narrow piece of material with a sticky substance on one side that is used for sticking things together","băng dính, băng ghi âm"
task,"a piece of work that somebody has to do, especially a hard or unpleasant one",nhiệm vụ
taste,the particular quality that different foods and drinks have that allows you to recognize them when you put them in your mouth,"vị giác, nếm"
tax,money that you have to pay to the government so that it can pay for public services. People pay tax according to their income and businesses pay tax according to their profits. Tax is also often paid on goods and services.,thuế
tea,the dried leaves (called tea leaves) of the tea bush,trà
teach,"to give lessons to students in a school, college, university, etc.; to help somebody learn something by giving information about it",giảng dạy
team,a group of people who play a particular game or sport against another group of people,đội nhóm
tear,a hole that has been made in something by tearing,"nước mắt, xé rách"
teen,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),tuổi teen
tell,to give information to somebody by speaking or writing,kể lại
tempt,"to attract somebody or make somebody want to do or have something, even if they know it is wrong",cám dỗ
ten,10,số mười
tend,to be likely to do something or to happen in a particular way because this is what often or usually happens,có xu hướng
tender,"kind, gentle and loving","mềm mại, dịu dàng"
tent,"a shelter made of a large sheet of canvas, nylon, etc. that is supported by poles and ropes fixed to the ground, and is used especially for camping",lều trại
territory,land that is under the control of a particular country or political leader,lãnh thổ
test,"an examination of somebody’s knowledge or ability, consisting of questions for them to answer or activities for them to perform",bài kiểm tra
text,any form of written material,văn bản
thank,to tell somebody that you are grateful for something,cảm ơn
theater,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),nhà hát
them,"used when referring to people, animals or things as the object of a verb or preposition, or after the verb be",họ (túc từ)
theme,"the subject or main idea in a talk, piece of writing or work of art",chủ đề
there,used to show that something exists or happens,ở đó
thick,having a larger distance between opposite sides or surfaces than other similar objects or than normal,"dày, đặc"
thin,having a smaller distance between opposite sides or surfaces than other similar objects or than normal,"mỏng, gầy"
thing,"an object whose name you do not use because you do not need to or want to, or because you do not know it","vật, thứ"
think,to have a particular idea or opinion about something/somebody; to believe something,suy nghĩ
third,each of three equal parts of something,thứ ba
thorough,done completely; with great attention to detail,kỹ lưỡng
though,used especially at the end of a sentence or clause to add a fact or an opinion that makes the previous statement less strong or less important,mặc dù
thought,something that you think of or remember,"suy nghĩ, ý nghĩ"
thousand,1 000,nghìn
thread,"a thin string of cotton, wool, silk, etc. used for sewing or making cloth",sợi chỉ
threat,"a statement in which you tell somebody that you will punish or harm them, especially if they do not do what you want",mối đe dọa
three,3,số ba
thrill,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),sự hồi hộp
thrive,"to become, and continue to be, successful, strong, healthy, etc.",phát triển mạnh
throat,a passage in the neck through which food and air pass on their way into the body; the front part of the neck,cổ họng
through,from one end or side of something to the other,xuyên qua
throw,to send something from your hand through the air by moving your hand or arm quickly,ném
thumb,"the short, thick finger at the side of the hand, slightly apart from the other four",ngón cái
tide,"a regular rise and fall in the level of the sea, caused by the pull of the moon and sun; the flow of water that happens as the sea rises and falls",thủy triều
tidy,arranged neatly and with everything in order,gọn gàng
tie,"a long, narrow piece of cloth worn around the neck, especially by men, with a knot in front","cà vạt, buộc"
tight,"held or fixed in position securely; difficult to move, open or separate","chật, chặt"
till,until,cho đến khi
timber,trees that are grown to be used in building or for making things,gỗ xây dựng
time,"what is measured in minutes, hours, days, etc.",thời gian
tin,a metal container in which food is sold; the contents of one of these containers,"thiếc, hộp thiếc"
tiny,very small in size or amount,nhỏ xíu
tip,a small piece of advice about something practical,"lời khuyên, đầu mút"
tire,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),"lốp xe, mệt mỏi"
title,"the name of a book, poem, painting, piece of music, etc.","tiêu đề, chức danh"
to,used to show purpose or intention,đến
tobacco,"the dried leaves of the tobacco plant that are used for making cigarettes, smoking in a pipe, etc.",thuốc lá
toe,one of the five small parts that stick out from the foot; any similar part on the foot of an animal or bird,ngón chân
together,with or near to somebody/something else; with each other,cùng nhau
toilet,a large bowl attached to a pipe that you sit on or stand over when you get rid of waste matter from your body,nhà vệ sinh
toll,money that you pay to use a particular road or bridge,phí cầu đường
ton,"a unit for measuring weight, in the UK 2 240 pounds (long ton) and in the US 2 000 pounds (short ton)",tấn
tone,"the quality of somebody’s voice, especially expressing a particular emotion",âm điệu
tool,"an instrument such as a hammer, screwdriver, saw, etc. that you hold in your hand and use for making things, repairing things, etc.",công cụ
tooth,any of the hard white structures in the mouth used for biting food,răng
top,highest in position,"đỉnh, trên cùng"
topic,"a subject that you talk, write or learn about",chủ đề
torture,the act of causing somebody severe pain in order to punish them or make them say or do something,tra tấn
total,being the amount or number after everyone or everything is counted or added together,tổng cộng
touch,the sense that enables you to be aware of things and what they are like when you put your hands and fingers on them,chạm vào
tough,having or causing problems or difficulties,"khó khăn, cứng rắn"
tour,"a journey made for pleasure during which several different towns, countries, etc. are visited",chuyến du lịch
toward,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),hướng về
tower,"a tall narrow building or part of a building, especially of a church or castle",tòa tháp
town,"a place with many houses, shops, etc. where people live and work. It is larger than a village but smaller than a city.",thị trấn
toy,made as a copy of a particular thing and used for playing with,đồ chơi
trace,"a mark, an object or a sign that shows that somebody/something existed or was present",dấu vết
track,rails (= metal bars) that a train moves along,"đường ray, theo dõi"
trade,the activity of buying and selling or of exchanging goods or services between people or countries,thương mại
tradition,"a belief, custom or way of doing something that has existed for a long time among a particular group of people; a set of these beliefs or customs",truyền thống
traffic,the vehicles that are on a road at a particular time,giao thông
tragedy,"a very sad event or situation, especially one that involves death",bi kịch
tragic,"making you feel very sad, usually because somebody has died or suffered a lot",bi thảm
trail,a long line or series of marks that is left by somebody/something,đường mòn
train,"a number of connected coaches or trucks, pulled by an engine or powered by a motor in each one, taking people and goods from one place to another","tàu hỏa, huấn luyện"
trait,a particular quality in your personality,đặc điểm
transfer,"the act of moving somebody/something from one place, group or job to another; an occasion when this happens",chuyển giao
transit,the process of being moved or carried from one place to another,quá cảnh
translate,to express the meaning of speech or writing in a different language,dịch thuật
transmit,"to send an electronic signal, radio or television broadcast, etc.",truyền tải
trap,a piece of equipment for catching animals,cái bẫy
trauma,"a mental condition caused by severe shock, stress or fear, especially when the harmful effects last for a long time",chấn thương tâm lý
travel,the act or activity of travelling,du lịch
treasure,"a collection of valuable things such as gold, silver and jewellery",kho báu
treat,to behave in a particular way towards somebody/something,"đối xử, điều trị"
tree,"a tall plant that can live a long time. Trees have a thick central wooden trunk from which branches grow, usually with leaves on them",cây cối
tremendous,very great,to lớn
trend,a general direction in which a situation is changing or developing,xu hướng
tribe,"a social group in a traditional society consisting of people with the same language, culture, religion, etc., living in a particular area and often having one leader known as a chief ",bộ lạc
tribute,"an act, a statement or a gift that is intended to show your love or respect, especially for a dead person",sự tôn vinh
trick,"something that you do to make somebody believe something that is not true, or to annoy somebody as a joke","thủ thuật, lừa gạt"
trip,"a journey to a place and back again, especially a short one for pleasure or a particular purpose",chuyến đi
triumph,"a great success, achievement or victory",chiến thắng vẻ vang
troop,"soldiers, especially in large groups",quân đội
trophy,an object such as a silver cup that is given as a prize for winning a competition,"cúp, chiến lợi phẩm"
trouble,"a problem, worry, difficulty, etc. or a situation causing this",rắc rối
truck,a large vehicle for carrying heavy loads by road,xe tải
true,connected with facts rather than things that have been invented or guessed,đúng thật
trust,"the belief that somebody/something is good, sincere, honest, etc. and will not try to harm or trick you",tin tưởng
truth,"the true facts about something, rather than the things that have been invented or guessed",sự thật
try,an act of trying to do something,cố gắng
tube,"a long, hollow pipe made of metal, plastic, rubber, etc., through which liquids or gases move from one place to another","ống, tàu điện ngầm"
tune,a series of musical notes that are sung or played in a particular order to form a piece of music,giai điệu
tunnel,"a passage built underground, for example to allow a road or railway to go through a hill, under a river, etc.",đường hầm
turn,the time when somebody in a group of people should or is allowed to do something,"quay, lượt"
twelve,12,số mười hai
twenty,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),số hai mươi
twist,"the action of turning something with your hand, or of turning a part of your body",vặn xoắn
two,2,số hai
typo,(không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập),lỗi đánh máy
ugly,unpleasant to look at,xấu xí
uncle,the brother of your mother or father; the husband of your aunt or uncle,"chú, bác"
under,below something,ở dưới
