component_roots,derived_word,morphology_structure,pattern_PRS,pos,IPA,ipa_status,definition_en,nghia_tieng_viet,source,vi_note,existence_note
sun+set,sunset,[sun+set],0-2-0,adjective,/ˈsənˌsɛt/,real,providing for termination,"sun+set(mặt trời + đặt, bộ)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
sun+shade,sunshade,[sun+shade],0-2-0,noun,/sˈʌnʃeɪd/,real,a canopy made of canvas to shelter people or things from rain or sun,sun+shade(mặt trời + bóng râm),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
sun+shine,sunshiny,[sun+shine]-y,0-2-1,adjective,/ˈsənˌʃaɪni/,real,sun+shine(the star that shines in the sky during the day and gives the earth heat and light + to produce or reflect light; to be bright) + -y(having quality of; noun/adjective),sun+shine(mặt trời + tỏa sáng) + -y(có tính chất; danh từ/tính từ),"compositional (generated, unverified)",công thức ghép (chưa xác thực),
sun+shine,sunshine,[sun+shine],0-2-0,noun,/ˈsənˌʃaɪn/,real,moderate weather,sun+shine(mặt trời + tỏa sáng),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
sun+spot,sunspot,[sun+spot],0-2-0,noun,/ˈsənˌspɑt/,real,a cooler darker spot appearing periodically on the sun's photosphere,"sun+spot(mặt trời + vết đốm, địa điểm)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
sun+stroke,sunstroke,[sun+stroke],0-2-0,noun,/sˈʌnstɹəʊk/,real,sudden prostration due to exposure to the sun or excessive heat,"sun+stroke(mặt trời + cú đánh, đột quỵ)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
sun+trap,suntrap,[sun+trap],0-2-0,noun,/sˈʌntɹæp/,real,a terrace or garden oriented to take advantage of the sun while protected from cold winds,sun+trap(mặt trời + cái bẫy),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
sure+fire,surefire,[sure+fire],0-2-0,adjective,/ʃˈɔːfaɪə/,real,"sure+fire(confident that you know something or that you are right + the flames, light and heat, and often smoke, that are produced when something burns)","sure+fire(chắc chắn + lửa, sa thải)","compositional (generated, unverified)",công thức ghép (chưa xác thực),
sure+foot,surefooted,[sure+foot],0-2-0,adjective,/ʃˈɔːfʊtɪd/,real,not liable to error in judgment or action,sure+foot(chắc chắn + bàn chân),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
sure+foot,surefootedly,[sure+foot]-ly,0-2-1,adverb,/ʃˈʊɹfʊɾᵻdli/,"generated (espeak-ng G2P, algorithmic)","sure+foot(confident that you know something or that you are right + the lowest part of the leg, below the ankle, on which a person or an animal stands) + -ly(adverb of manner / adjective (like))",sure+foot(chắc chắn + bàn chân) + -ly(trạng từ chỉ cách thức / tính từ (giống như)),"compositional (generated, unverified)",công thức ghép (chưa xác thực),
sure+foot,surefootedness,[sure+foot]-ness,0-2-1,noun,/ʃˈʊɹfʊɾᵻdnəs/,"generated (espeak-ng G2P, algorithmic)","sure+foot(confident that you know something or that you are right + the lowest part of the leg, below the ankle, on which a person or an animal stands) + -ness(state or quality of (noun))","sure+foot(chắc chắn + bàn chân) + -ness(trạng thái, tính chất (danh từ))","compositional (generated, unverified)",công thức ghép (chưa xác thực),
swear+word,swearword,[swear+word],0-2-0,noun,/swˈeəwɜːd/,real,profane or obscene expression usually of surprise or anger,"swear+word(thề, chửi thề + từ ngữ)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
sweep+stake,sweepstake,[sweep+stake],0-2-0,verb,/ˈswipˌsteɪk/,real,"sweep+stake(to clean a room, surface, etc. using a broom (= a type of brush on a long handle) + money that somebody invests in a company)","sweep+stake(quét dọn + cổ phần, cọc)","compositional (generated, unverified)",công thức ghép (chưa xác thực),
sweet+bread,sweetbread,[sweet+bread],0-2-0,noun,/swˈiːtbɹɛd/,real,edible glands of an animal,sweet+bread(ngọt ngào + bánh mì),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
sweet+heart,sweetheart,[sweet+heart],0-2-0,adjective,/ˈswitˌhɑɹt/,real,privileged treatment of a favored person or corporation (sometimes unethically),sweet+heart(ngọt ngào + trái tim),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
sweet+meat,sweetmeat,[sweet+meat],0-2-0,noun,/swˈiːtmiːt/,real,a sweetened delicacy (as a preserve or pastry),sweet+meat(ngọt ngào + thịt),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
swim+suit,swimsuit,[swim+suit],0-2-0,noun,/ˈswɪmˌsut/,real,tight fitting garment worn for swimming,"swim+suit(bơi lội + bộ vest, phù hợp)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
switch+back,switchback,[switch+back],0-2-0,noun,/swˈɪtʃbæk/,real,switch+back(a small device that you press or move up and down in order to turn a light or piece of electrical equipment on and off + located behind or at the back of something),"switch+back(công tắc, chuyển đổi + lưng, phía sau)","compositional (generated, unverified)",công thức ghép (chưa xác thực),
switch+blade,switchblade,[switch+blade],0-2-0,noun,/ˈswɪtʃˌbɫeɪd/,real,a pocketknife with a blade that springs open at the press of a button,"switch+blade(công tắc, chuyển đổi + lưỡi dao)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
switch+board,switchboard,[switch+board],0-2-0,noun,/ˈswɪtʃˌbɔɹd/,real,telephone central where circuits are completed with patchcords,"switch+board(công tắc, chuyển đổi + ban, bảng, tấm ván)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
switch+gear,switchgear,[switch+gear],0-2-0,noun,/swˈɪtʃɡiə/,real,switch+gear(a small device that you press or move up and down in order to turn a light or piece of electrical equipment on and off + equipment in a vehicle that changes the relation between engine speed (or pedal speed on a bicycle) and the speed of the wheels moving forwards or backwards),"switch+gear(công tắc, chuyển đổi + bánh răng, trang thiết bị)","compositional (generated, unverified)",công thức ghép (chưa xác thực),
switch+man,switchman,[switch+man],0-2-0,noun,/swˈɪtʃmən/,"generated (espeak-ng G2P, algorithmic)",a man who operates railroad switches,"switch+man(công tắc, chuyển đổi + đàn ông)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
switch+over,switchover,[switch+over],0-2-0,noun,/swˈɪtʃəʊvɐ/,real,"switch+over(a small device that you press or move up and down in order to turn a light or piece of electrical equipment on and off + across a street, an open space, etc.)","switch+over(công tắc, chuyển đổi + ở trên, hơn)","compositional (generated, unverified)",công thức ghép (chưa xác thực),
sword+fish,swordfish,[sword+fish],0-2-0,noun,/ˈsɔɹdˌfɪʃ/,real,large toothless marine food fish with a long swordlike upper jaw,sword+fish(thanh kiếm + cá),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
sword+man,swordsman,[sword+man],0-2-0,noun,/sˈɔːdzmən/,real,someone skilled at fencing,sword+man(thanh kiếm + đàn ông),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
sword+man,swordsmanship,[sword+man]-ship,0-2-1,noun,/sˈɔːdzmənʃˌɪp/,real,skill in fencing,"sword+man(thanh kiếm + đàn ông) + -ship(trạng thái, điều kiện, kỹ năng (danh từ))","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
sword+play,swordplay,[sword+play],0-2-0,noun,/ˈsɔɹdˌpɫeɪ/,real,the act using a sword or similar weapon vigorously and skillfully,sword+play(thanh kiếm + chơi),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
sword+stick,swordstick,[sword+stick],0-2-0,noun,/sˈoːɹdstɪk/,"generated (espeak-ng G2P, algorithmic)",sword+stick(a weapon with a long metal blade (= sharp cutting part) and a handle + a thin piece of wood that has fallen or been broken from a tree),"sword+stick(thanh kiếm + que, dính chặt)","compositional (generated, unverified)",công thức ghép (chưa xác thực),
table+cloth,tablecloth,[table+cloth],0-2-0,noun,/ˈteɪbəɫˌkɫɔθ/,real,a covering spread over a dining table,table+cloth(cái bàn + vải),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
table+land,tableland,[table+land],0-2-0,noun,/tˈeɪbəllənd/,real,a relatively flat highland,table+land(cái bàn + đất đai),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
table+spoon,tablespoon,[table+spoon],0-2-0,noun,/ˈteɪbəɫˌspun/,real,a spoon larger than a dessert spoon,table+spoon(cái bàn + thìa),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
table+spoon,tablespoonful,[table+spoon]-ful,0-2-1,noun,/tˈeɪbəlspˌuːnfəl/,real,as much as a tablespoon will hold,"table+spoon(cái bàn + thìa) + -ful(đầy, có nhiều (tính từ))","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
tail+back,tailback,[tail+back],0-2-0,noun,/tˈeɪlbæk/,real,(American football) the position of the offensive back on a football team who lines up farthest from the line of scrimmage,"tail+back(đuôi + lưng, phía sau)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
tail+gate,tailgate,[tail+gate],0-2-0,noun,/ˈteɪɫˌɡeɪt/,real,a gate at the rear of a vehicle,tail+gate(đuôi + cổng),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
tail+light,taillight,[tail+light],0-2-0,noun,/tˈeɪlaɪt/,"generated (espeak-ng G2P, algorithmic)",lamp (usually red) mounted at the rear of a motor vehicle,"tail+light(đuôi + ánh sáng, nhẹ)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
tail+piece,tailpiece,[tail+piece],0-2-0,noun,/tˈeɪlpiːs/,real,appendage added to extend the length of something,"tail+piece(đuôi + mảnh, miếng)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
tail+spin,tailspin,[tail+spin],0-2-0,noun,/ˈteɪɫˌspɪn/,real,rapid descent of an aircraft in a steep spiral,tail+spin(đuôi + quay tròn),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
tail+wind,tailwind,[tail+wind],0-2-0,noun,/tˈeɪlwɪnd/,real,wind blowing in the same direction as the path of a ship or aircraft,tail+wind(đuôi + gió),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
take+away,takeaway,[take+away],0-2-0,noun,/ˈteɪkəˌweɪ/,real,the act of taking the ball or puck away from the team on the offense (as by the interception of a pass),"take+away(lấy, cầm + xa, đi xa)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
take+off,takeoff,[take+off],0-2-0,noun,/ˈteɪˌkɔf/,real,a departure,"take+off(lấy, cầm + tắt, xa khỏi)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
take+over,takeover,[take+over],0-2-0,noun,/ˈteɪˌkoʊvɝ/,real,a change by sale or merger in the controlling interest of a corporation,"take+over(lấy, cầm + ở trên, hơn)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
tap+room,taproom,[tap+room],0-2-0,noun,/tˈeɪpɹuːm/,real,a room or establishment where alcoholic drinks are served over a counter,"tap+room(vòi nước, chạm nhẹ + căn phòng)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
tap+root,taproot,[tap+root],0-2-0,noun,/tˈeɪpɹuːt/,real,something that provides an important central source for growth or development,"tap+root(vòi nước, chạm nhẹ + rễ cây, gốc rễ)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
tape+worm,tapeworm,[tape+worm],0-2-0,noun,/tˈeɪpwɜːm/,real,ribbonlike flatworms that are parasitic in the intestines of humans and other vertebrates,"tape+worm(băng dính, băng ghi âm + con giun)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
task+master,taskmaster,[task+master],0-2-0,noun,/ˈtæskˌmæstɝ/,real,someone who imposes hard or continuous work,task+master(nhiệm vụ + bậc thầy),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
tax+pay,taxpaying,[tax+pay],0-2-0,adjective,/ˈtækˌspeɪɪŋ/,real,not exempt from paying taxes,tax+pay(thuế + trả tiền),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
tax+pay,taxpayer,[tax+pay]-er,0-2-1,noun,/ˈtækˌspeɪɝ/,real,"a person who pays tax to the government, especially on the money that they earn",tax+pay(thuế + trả tiền) + -er(người làm việc gì; so sánh hơn),Oxford 5000 (verified),,
tea+bag,teabags,[tea+bag]-z,0-2-1,unknown,/tˈiːbæɡz/,real,"tea+bag(the dried leaves (called tea leaves) of the tea bush + a container made of cloth, leather, plastic or paper, used to carry things in, especially when shopping or travelling) + -z(z)",tea+bag(trà + túi) + -z(z),"compositional (generated, unverified)",công thức ghép (chưa xác thực),
tea+bag,teabag,[tea+bag],0-2-0,noun,/tˈiːbæɡ/,real,"tea+bag(the dried leaves (called tea leaves) of the tea bush + a container made of cloth, leather, plastic or paper, used to carry things in, especially when shopping or travelling)",tea+bag(trà + túi),"compositional (generated, unverified)",công thức ghép (chưa xác thực),
tea+cake,teacake,[tea+cake],0-2-0,noun,/tˈiːkeɪk/,real,any of various small cakes or cookies often served with tea,tea+cake(trà + bánh ngọt),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
tea+cup,teacupful,[tea+cup]-ful,0-2-1,noun,/tˈiːkʌpfəl/,"generated (espeak-ng G2P, algorithmic)",as much as a teacup will hold,"tea+cup(trà + cốc) + -ful(đầy, có nhiều (tính từ))","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
tea+cup,teacup,[tea+cup],0-2-0,noun,/ˈtiˌkəp/,real,a cup from which tea is drunk,tea+cup(trà + cốc),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
tea+house,teahouse,[tea+house],0-2-0,noun,/tˈiːhaʊs/,real,a restaurant where tea and light meals are available,tea+house(trà + ngôi nhà),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
tea+leaf,tealeaf,[tea+leaf],0-2-0,noun,/tˈiːliːf/,"generated (espeak-ng G2P, algorithmic)","tea+leaf(the dried leaves (called tea leaves) of the tea bush + a flat green part of a plant, growing from a stem or branch or from the root)",tea+leaf(trà + lá cây),"compositional (generated, unverified)",công thức ghép (chưa xác thực),"""tea leaf"" - lá trà"
tea+leave,tealeaves,[tea+leave],0-2-0,noun,/tˈiːliːvz/,"generated (espeak-ng G2P, algorithmic)",tea+leave(the dried leaves (called tea leaves) of the tea bush + a period of time when you are allowed to be away from work for a holiday or for a special reason),tea+leave(trà + rời đi),"compositional (generated, unverified)",công thức ghép (chưa xác thực),"số nhiều của ""tea leaf"""
tea+pot,teapot,[tea+pot],0-2-0,noun,/ˈtiˌpɑt/,real,pot for brewing tea,tea+pot(trà + nồi),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
tea+room,tearoom,[tea+room],0-2-0,noun,/tˈeəɹuːm/,real,a restaurant where tea and light meals are available,tea+room(trà + căn phòng),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
tea+spoon,teaspoonful,[tea+spoon]-ful,0-2-1,noun,/ˈtiˌspunfəɫ/,real,as much as a teaspoon will hold,"tea+spoon(trà + thìa) + -ful(đầy, có nhiều (tính từ))","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
tea+spoon,teaspoon,[tea+spoon],0-2-0,noun,/ˈtiˌspun/,real,a small spoon used for stirring tea or coffee,tea+spoon(trà + thìa),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
tea+time,teatime,[tea+time],0-2-0,noun,/tˈiːtaɪm/,real,a light midafternoon meal of tea and sandwiches or cakes,tea+time(trà + thời gian),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
team+mate,teammate,[team+mate],0-2-0,noun,/ˈtiˌmeɪt/,real,a fellow member of a team or group,"team+mate(đội nhóm + bạn đời, bạn bè)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
team+work,teamwork,[team+work],0-2-0,noun,/ˈtimˌwɝk/,real,cooperative work done by a team (especially when it is effective),team+work(đội nhóm + công việc),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
tear+drop,teardrop,[tear+drop],0-2-0,noun,/tˈiədɹɒp/,real,a drop of the clear salty saline solution secreted by the lacrimal glands,"tear+drop(nước mắt, xé rách + rơi, giọt)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
tear+gas,teargas,[tear+gas],0-2-0,noun,/tˈiəɡæs/,real,a gas that makes the eyes fill with tears but does not damage them,"tear+gas(nước mắt, xé rách + khí ga)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
teen+age,teenager,[teen+age]-er,0-2-1,noun,/ˈtiˌneɪdʒɝ/,real,a person who is between 13 and 19 years old,"teen+age(tuổi teen + tuổi, thời đại) + -er(người làm việc gì; so sánh hơn)",Oxford 5000 (verified),,
teen+age,teenage,[teen+age],0-2-0,adjective,/ˈtiˌneɪdʒ/,real,between 13 and 19 years old; connected with people of this age,"teen+age(tuổi teen + tuổi, thời đại)",Oxford 5000 (verified),,
tell+tale,telltale,[tell+tale],0-2-0,adjective,/ˈtɛɫˌteɪɫ/,real,disclosing unintentionally,tell+tale(kể lại + câu chuyện kể),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
ten+pin,tenpin,[ten+pin],0-2-0,noun,/tˈɛnpɪn/,real,one of the bottle-shaped pins used in bowling,ten+pin(số mười + ghim),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
ten+spot,tenspot,[ten+spot],0-2-0,number,/tˈɛnspɑːt/,"generated (espeak-ng G2P, algorithmic)",ten+spot(10 + a small round area that has a different colour or feels different from the surface it is on),"ten+spot(số mười + vết đốm, địa điểm)","compositional (generated, unverified)",công thức ghép (chưa xác thực),
tender+foot,tenderfoot,[tender+foot],0-2-0,noun,/tˈɛndəfˌʊt/,real,"an inexperienced person, especially someone inexperienced in outdoor living","tender+foot(mềm mại, dịu dàng + bàn chân)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
tender+heart,tenderheartedly,[tender+heart]-ly,0-2-1,adverb,/tˈɛndɚhˌɑːɹɾᵻdli/,"generated (espeak-ng G2P, algorithmic)","tender+heart(kind, gentle and loving + the organ in the chest that sends blood around the body, usually on the left in humans) + -ly(adverb of manner / adjective (like))","tender+heart(mềm mại, dịu dàng + trái tim) + -ly(trạng từ chỉ cách thức / tính từ (giống như))","compositional (generated, unverified)",công thức ghép (chưa xác thực),
tender+heart,tenderheartedness,[tender+heart]-ness,0-2-1,noun,/tˈɛndɚhˌɑːɹɾᵻdnəs/,"generated (espeak-ng G2P, algorithmic)",warm compassionate feelings,"tender+heart(mềm mại, dịu dàng + trái tim) + -ness(trạng thái, tính chất (danh từ))","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
tender+heart,tenderhearted,[tender+heart],0-2-0,adjective,/tˈɛndɚhˌɑːɹɾᵻd/,"generated (espeak-ng G2P, algorithmic)",easily moved by another's distress,"tender+heart(mềm mại, dịu dàng + trái tim)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
text+book,textbook,[text+book],0-2-0,noun,/ˈtɛkstˌbʊk/,real,a book that teaches a particular subject and that is used especially in schools and colleges,text+book(văn bản + sách),Oxford 5000 (verified),,
thank+give,thanksgiving,[thank+give],0-2-0,noun,/ˌθæŋksˈɡɪvɪŋ/,real,a short prayer of thanks before a meal,"thank+give(cảm ơn + cho, tặng)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
theater+go,theatregoer,[theater+go]-er,0-2-1,noun,/θˈiətɹɪɡˌəʊɐ/,real,someone who attends a theater,theater+go(nhà hát + đi) + -er(người làm việc gì; so sánh hơn),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
theater+go,theatergoing,[theater+go],0-2-0,unknown,/θˈiəɾɚɡˌoʊɪŋ/,"generated (espeak-ng G2P, algorithmic)",theater+go((không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập) + a person’s turn to move or play in a game or an activity),theater+go(nhà hát + đi),"compositional (generated, unverified)",công thức ghép (chưa xác thực),
them+self,themselves,[them+self],0-2-0,pronoun,/ðəmˈsɛɫvz/,real,used when people or animals performing an action are also affected by it,them+self(họ (túc từ) + bản thân),Oxford 5000 (verified),,
there+about,thereabout,[there+about],0-2-0,adverb,/ðeəɹɐbˈaʊt/,real,near that place,"there+about(ở đó + về, khoảng)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
there+after,thereafter,[there+after],0-2-0,adverb,/ðɛˈɹæftɝ/,real,after the time or event mentioned,"there+after(ở đó + sau, phía sau)",Oxford 5000 (verified),,
there+by,thereby,[there+by],0-2-0,adverb,/ˈðɛɹˈbaɪ/,real,used to introduce the result of the action or situation mentioned,"there+by(ở đó + bởi, bằng)",Oxford 5000 (verified),,
there+from,therefrom,[there+from],0-2-0,adverb,/ðeəfɹˈɒm/,real,from that place or from there,there+from(ở đó + từ),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
there+in,therein,[there+in],0-2-0,adverb,/ðɛˈɹɪn/,real,(formal) in or into that thing or place,"there+in(ở đó + trong, vào)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
there+of,thereof,[there+of],0-2-0,adverb,/ˌðɛˈɹəv/,real,from that circumstance or source,there+of(ở đó + của),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
there+on,thereon,[there+on],0-2-0,adverb,/ðɛˈɹɔn/,real,on that,there+on(ở đó + trên),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
there+to,thereto,[there+to],0-2-0,adverb,/ˈðɛɹˌtu/,real,to that,there+to(ở đó + đến),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
there+under,thereunder,[there+under],0-2-0,adverb,/ðɛɹˈʌndɚ/,"generated (espeak-ng G2P, algorithmic)",under that,there+under(ở đó + ở dưới),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
there+upon,thereupon,[there+upon],0-2-0,adverb,/ˌðɛɹəˈpɑn/,real,there+upon(used to show that something exists or happens + (không có định nghĩa trong Oxford 5000 - root này không phải headword độc lập)),there+upon(ở đó + trên (trang trọng)),"compositional (generated, unverified)",công thức ghép (chưa xác thực),
there+with,therewith,[there+with],0-2-0,adverb,/ðeəwˈɪð/,real,with that or this or it,there+with(ở đó + với),"Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
thick+head,thickheaded,[thick+head],0-2-0,adjective,/θˈɪkhɛdᵻd/,"generated (espeak-ng G2P, algorithmic)",(used informally) stupid,"thick+head(dày, đặc + đầu, người đứng đầu)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
thick+set,thickset,[thick+set],0-2-0,adjective,/θˈɪksɛt/,real,planted or growing close together,"thick+set(dày, đặc + đặt, bộ)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
thorough+breed,thoroughbred,[thorough+breed],0-2-0,adjective,/ˈθɝoʊˈbɹɛd/,real,having a list of ancestors as proof of being a purebred animal,"thorough+breed(kỹ lưỡng + nhân giống, giống loài)","Wordset Dictionary (wordset.org, WordNet-based, community-edited)",chưa dịch lại theo định nghĩa Wordset mới - vẫn là công thức ghép cũ,
