tu,pos,nghia_en,nghia_vi,cau_tao,kind,nguon,trong_morphlink,noun_type,noun_so_nhieu,adj_so_sanh_hon,adj_so_sanh_nhat,adj_ghi_chu,verb_hien_tai_don,verb_gerund,verb_qua_khu,verb_pp,so_nhieu_bat_quy_tac,dong_tu_bat_quy_tac,multi_nghia,meaning_vi_source,ipa,ipa_status
widespread,adjective,existing or happening over a large area or among many people,lan rộng trên diện rộng hoặc trong nhiều người,[wide+spread],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,more widespread,most widespread,,,,,,,,,,/ˈwaɪdsˈpɹɛd/,real
widower,noun,a man whose wife is dead especially one who has not remarried,"người đàn ông góa vợ, nhất là chưa tái hôn",[widow]-er,root,Đã có sẵn trong MorphLink (Word),có,N[C],widowers,,,,,,,,,,,,/ˈwɪdoʊɝ/,real
widowhood,noun,the state of being a widow who has not remarried,tình trạng góa bụa (của người vợ chưa tái hôn),[widow]-hood,root,Đã có sẵn trong MorphLink (Word),có,N[C],widowhoods,,,,,,,,,,,,/wˈɪdəʊhˌʊd/,real
widthwise,adverb,in the direction of the width; from side to side,theo chiều rộng; từ bên này sang bên kia,[width]-wise,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/wˈɪdθwaɪz/,real
wifelike,adjective,befitting or characteristic of a wife,mang tính hoặc đúng với vai trò người vợ,[wife+like],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,more wifelike,most wifelike,,,,,,,,,,/wˈaɪflaɪk/,"generated (espeak-ng G2P, algorithmic)"
wifely,adjective,befitting or characteristic of a wife,xứng với hoặc đặc trưng của người vợ,[wife]-ly,root,Đã có sẵn trong MorphLink (Word),có,,,more wifely,most wifely,,,,,,,,,,/wˈaɪfli/,real
wildcat,adjective,(of a mine or oil well) drilled speculatively in an area not known to be productive,(mỏ hoặc giếng dầu) khoan thăm dò nơi chưa biết có dầu,[wild+cat],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,more wildcat,most wildcat,,,,,,,,,,/ˈwaɪɫdˌkæt/,real
wildcatter,noun,an oilman who drills exploratory wells in territory not known to be an oil field,người khoan giếng dầu thăm dò ở vùng chưa xác định có dầu,[wild+cat]-er,compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],wildcatters,,,,,,,,,,,,/ˈwaɪɫdˌkætɝ/,real
wildfire,noun,a raging and rapidly spreading conflagration,đám cháy dữ dội lan rất nhanh,[wild+fire],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],wildfires,,,,,,,,,,,,/ˈwaɪɫdˌfaɪɝ/,real
wildlife,noun,"animals, birds, insects, etc. that are wild and live in a natural environment",động vật hoang dã sống trong môi trường tự nhiên,[wild+life],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],wildlives,,,,,,,,,,,,/ˈwaɪɫdˌɫaɪf/,real
wildly,adverb,to an extreme or greatly exaggerated degree,một cách cực đoan hoặc phóng đại mạnh,[wild]-ly,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/ˈwaɪɫdɫi/,real
wildness,noun,an intractably barbarous or uncultivated state of nature,"trạng thái hoang dã, chưa khai hóa, khó thuần hóa",[wild]-ness,root,Đã có sẵn trong MorphLink (Word),có,N[U],,,,,,,,,,,,,/ˈwaɪɫdnəs/,real
willie,noun,"(informal, chiefly British) a word for penis, especially used by or to children","(khẩu ngữ, chủ yếu Anh Anh) từ chỉ dương vật, thường dùng với hoặc bởi trẻ em",[will]-ie,root,Đã có sẵn trong MorphLink (Word),có,N[C],willies,,,,,,,,,,,,/ˈwɪɫi/,real
willingly,adverb,in a willing manner,một cách sẵn lòng,[will]-ly,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/ˈwɪɫɪŋɫi/,real
willingness,noun,the quality of being happy and ready to do something,"sự sẵn lòng, vui vẻ làm việc gì",[will]-ness,root,Đã có sẵn trong MorphLink (Word),có,N[U],,,,,,,,,,,,,/ˈwɪɫɪŋnəs/,real
willpower,noun,the trait of resolutely controlling your own behavior,"ý chí tự chủ, kiềm chế hành vi của bản thân",[will+power],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],willpowers,,,,,,,,,,,,/ˈwɪɫˌpaʊɝ/,real
willy,adjective,"Same as 1st Willow, 2.",giống cây liễu; mềm dẻo như liễu,[will]-y,root,Đã có sẵn trong MorphLink (Word),có,,,willier,williest,,,,,,,,,,/ˈwɪɫi/,real
windbag,noun,a boring person who talks a great deal about uninteresting topics,người nói dài dòng nhàm chán về chuyện vô vị,[wind+bag],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],windbags,,,,,,,,,,,,/wˈɪndbæɡ/,real
windbreak,noun,hedge or fence of trees designed to lessen the force of the wind and reduce erosion,"hàng rào cây hoặc hàng rào chắn gió, giảm xói mòn",[wind+break],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],windbreaks,,,,,,,,,,,,/wˈɪndbɹeɪk/,real
windbreaker,noun,a kind of heavy jacket (`windcheater' is a British term),áo khoác dày chống gió,[wind+break]-er,compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],windbreakers,,,,,,,,,,,,/wˈɪndbɹeɪkɐ/,real
windcheater,noun,a kind of heavy jacket (`windcheater' is a British term),áo khoác dày chống gió,[wind+cheat]-er,compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],windcheaters,,,,,,,,,,,,/wˈɪndtʃiːtɐ/,real
winder,noun,mechanical device around which something can be wound,thiết bị cơ khí dùng để quấn dây hoặc dây cót,[wind]-er,root,Đã có sẵn trong MorphLink (Word),có,N[C],winders,,,,,,,,,,,,/ˈwaɪndɝ/,real
windfall,noun,a sudden happening that brings good fortune (as a sudden opportunity to make money),vận may bất ngờ (như cơ hội kiếm tiền đột ngột),[wind+fall],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],windfalls,,,,,,,,,,,,/ˈwɪndˌfɔɫ/,real
windily,adverb,in a verbose manner,"một cách dài dòng, nhiều lời",[wind]-y-ly,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/wˈɪndili/,"generated (espeak-ng G2P, algorithmic)"
windiness,noun,boring verbosity,tính dài dòng nhàm chán,[wind]-y-ness,root,Đã có sẵn trong MorphLink (Word),có,N[U],,,,,,,,,,,,,/wˈɪndinəs/,"generated (espeak-ng G2P, algorithmic)"
windjammer,noun,a large sailing ship,tàu buồm lớn,[wind+jam]-er,compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],windjammers,,,,,,,,,,,,/wˈɪndʒæmɐ/,real
windless,adjective,without or almost without wind,không có gió hoặc gần như không gió,[wind]-less,root,Đã có sẵn trong MorphLink (Word),có,,,more windless,most windless,,,,,,,,,,/wˈɪndləs/,real
windmill,noun,generator that extracts usable energy from winds,cối xay gió; máy phát điện dùng sức gió,[wind+mill],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],windmills,,,,,,,,,,,,/ˈwɪndˌmɪɫ/,real
windowless,adjective,having no windows; lacking a window or windows,không có cửa sổ,[window]-less,root,Đã có sẵn trong MorphLink (Word),có,,windowlesses,,,"Tính từ tuyệt đối/phân loại, không dùng dạng so sánh hơn/nhất",,,,,,,,,/ˈwɪndoʊɫəs/,real
windpipe,noun,membranous tube with cartilaginous rings that conveys inhaled air from the larynx to the bronchi,khí quản dẫn không khí từ thanh quản xuống phế quản,[wind+pipe],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],windpipes,,,,,,,,,,,,/wˈɪndpaɪp/,real
windscreen,noun,transparent screen (as of glass) to protect occupants of a vehicle,kính chắn gió của xe,[wind+screen],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],windscreens,,,,,,,,,,,,/wˈɪndskɹiːn/,real
windsock,noun,a truncated cloth cone mounted on a mast,ống vải hình nón cụt gắn trên cột để chỉ hướng gió,[wind+sock],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],windsocks,,,,,,,,,,,,/wˈɪndsɒk/,real
windstorm,noun,a storm consisting of violent winds,cơn bão gió mạnh,[wind+storm],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],windstorms,,,,,,,,,,,,/ˈwɪndˌstɔɹm/,real
windup,noun,a concluding action,hành động kết thúc; phần kết,[wind+up],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],windups,,,,,,,,,,,,/ˈwaɪnˌdəp/,real
windward,adverb,away from the wind,ra xa hướng gió; về phía khuất gió,[wind]-ward,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/ˈwɪndwɝd/,real
windy,adjective,abounding in or exposed to the wind or breezes,nhiều gió; lộ thiên trước gió,[wind]-y,root,Đã có sẵn trong MorphLink (Word),có,,,windier,windiest,,,,,,,,,,/ˈwaɪndi/,real
wineglass,noun,a glass that has a stem and in which wine is served,ly có chân dùng để uống rượu vang,[wine+glass],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],wineglasses,,,,,,,,,,,,/wˈaɪnɡlɑːs/,real
winehead,noun,"(informal, dated) a person who drinks wine heavily; a wine addict","(khẩu ngữ, cũ) người nghiện rượu vang",[wine+head],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],wineheads,,,,,,,,,,,,/wˈaɪnhɛd/,"generated (espeak-ng G2P, algorithmic)"
winepress,noun,a press that is used to extract the juice from grapes,máy ép lấy nước nho,[wine+press],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],winepresses,,,,,,,,,,,,/wˈaɪnpɹɛs/,"generated (espeak-ng G2P, algorithmic)"
wineskin,noun,an animal skin (usually a goatskin) that forms a bag and is used to hold and dispense wine,túi da (thường da dê) dùng đựng và rót rượu vang,[wine+skin],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],wineskins,,,,,,,,,,,,/wˈaɪnskɪn/,"generated (espeak-ng G2P, algorithmic)"
wingback,noun,(American football) the position of the offensive back who lines up behind or outside the end,(bóng bầu dục Mỹ) vị trí hậu vệ cánh tấn công,[wing+back],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],wingbacks,,,,,,,,,,,,/ˈwɪŋˌbæk/,real
winger,noun,(sports) player in wing position,(thể thao) cầu thủ chơi ở cánh,[wing]-er,root,Đã có sẵn trong MorphLink (Word),có,N[C],wingers,,,,,,,,,,,,/ˈwɪŋɝ/,real
wingless,adjective,lacking wings,không có cánh,[wing]-less,root,Đã có sẵn trong MorphLink (Word),có,,,more wingless,most wingless,,,,,,,,,,/wˈɪŋləs/,real
wingman,noun,the pilot who positions his aircraft outside and behind (on the wing of) the leader of a flying formation,phi công bay bên cánh và phía sau trưởng đội hình,[wing+man],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],wingmen,,,,,,,,,,,,/ˈwɪŋmən/,real
wingspan,noun,linear distance between the extremities of an airfoil,sải cánh (khoảng cách giữa hai đầu cánh),[wing+spain],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],wingspans,,,,,,,,,,,,/ˈwɪŋˌspæn/,real
wingspread,noun,linear distance between the extremities of an airfoil,sải cánh (khoảng cách giữa hai đầu cánh),[wing+spread],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],wingspreads,,,,,,,,,,,,/wˈɪŋspɹɛd/,"generated (espeak-ng G2P, algorithmic)"
winless,adjective,having no wins,chưa thắng trận nào,[win+less],compound,Sinh có kiểm soát — trùng MorphLink,có,,,more winless,most winless,,,,,,,,,,/wˈɪnləs/,"generated (espeak-ng G2P, algorithmic)"
winner,noun,"a person, a team, an animal, etc. that wins something","người, đội hoặc động vật thắng cuộc",[win]-er,root,Đã có sẵn trong MorphLink (Word),có,N[C],winners,,,,,,,,,,,,/ˈwɪnɝ/,real
winos,noun,"(informal) a person addicted to drinking alcohol, especially cheap wine, often homeless","(khẩu ngữ) người nghiện rượu, đặc biệt là rượu vang rẻ tiền, thường sống lang thang",[wine]-o,root,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],,,,,,,,,Từ này vốn đã ở dạng số nhiều/tập hợp,,,,/ˈwinoʊs/,real
winsomely,adverb,in an engaging manner,"một cách duyên dáng, dễ mến",[win]-some-ly,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/wˈɪnsʌmli/,"generated (espeak-ng G2P, algorithmic)"
wintertime,noun,the coldest season of the year,"mùa đông, mùa lạnh nhất trong năm",[winter+time],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],wintertimes,,,,,,,,,,,,/ˈwɪntɝˌtaɪm/,real
wintry,adjective,characteristic of or occurring in winter,thuộc mùa đông; mang tính chất mùa đông,[winter]-y,root,Đã có sẵn trong MorphLink (Word),có,,,wintrier,wintriest,,,,,,,,,,/ˈwɪntɹi/,real
wiper,noun,a mechanical device that cleans the windshield,cần gạt nước kính chắn gió,[wipe]-er,root,Đã có sẵn trong MorphLink (Word),có,N[C],wipers,,,,,,,,,,,,/ˈwaɪpɝ/,real
wirecutters,noun,a tool used for cutting wire,dụng cụ dùng để cắt dây kim loại (kìm cắt dây),[wire+cut]-er,compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],,,,,,,,,Từ có vẻ đã ở dạng SỐ NHIỀU sẵn (kết thúc bằng '-s'),,,,/wˈaɪɚkʌɾɚz/,"generated (espeak-ng G2P, algorithmic)"
wireless,adjective,having no wires,"không dây, không dùng dây điện",[wire]-less,root,Đã có sẵn trong MorphLink (Word),có,,,more wireless,most wireless,,,,,,,,,,/ˈwaɪɹɫɪs/,real
wiretaps,noun,devices or acts used to secretly listen to someone's telephone conversations,thiết bị hoặc hành vi nghe lén cuộc gọi điện thoại của ai đó,[wire+tap],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],,,,,,,,,Từ có vẻ đã ở dạng SỐ NHIỀU sẵn (kết thúc bằng '-s'),,,,/ˈwaɪɹˌtæps/,real
wireworm,noun,wormlike larva of various elaterid beetles,ấu trùng dạng giun của các loài bọ cánh cứng họ Elateridae,[wire+worm],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],wireworms,,,,,,,,,,,,/wˈaɪɚwɜːm/,"generated (espeak-ng G2P, algorithmic)"
wiriness,noun,the property of being lean and tough and sinewy,"tính chất gầy chắc, rắn rỏi và nhiều gân",[wire]-y-ness,root,Đã có sẵn trong MorphLink (Word),có,N[U],,,,,,,,,,,,,/wˈaɪɚɹinəs/,"generated (espeak-ng G2P, algorithmic)"
wiry,adjective,(of a person) lean and muscular; (of hair or material) thin but tough and often curly,(về người) gầy nhưng chắc khỏe; (về tóc/vật liệu) mảnh nhưng dai và thường xoăn,[wire]-y,root,Đã có sẵn trong MorphLink (Word),có,,,wirier,wiriest,,,,,,,,"wiry (adj): 1) (về người) gầy nhưng chắc khỏe; 2) (về tóc/vật liệu) mảnh, dai, thường xoăn",,/ˈwɪɹi/,real
wisdom,noun,the ability to make sensible decisions and give good advice because of the experience and knowledge that you have,sự khôn ngoan; khả năng quyết định sáng suốt và đưa lời khuyên hay nhờ kinh nghiệm và kiến thức,[wise]-dom,root,Đã có sẵn trong MorphLink (Word),có,N[C],wisdoms,,,,,,,,,,,,/ˈwɪzdəm/,real
wisecrack,noun,witty remark,"câu nói dí dỏm, lời nhận xét sắc sảo",[wise+crack],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],wisecracks,,,,,,,,,,,,/ˈwaɪzˌkɹæk/,real
wisely,adverb,in a wise manner,một cách khôn ngoan,[wise]-ly,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/ˈwaɪzɫi/,real
wishbone,noun,the furcula of a domestic fowl,xương nĩa (xương lồng ngực hình chữ V của gia cầm),[wish+bone],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],wishbones,,,,,,,,,,,,/ˈwɪʃˌboʊn/,real
wishful,adjective,desiring or striving for recognition or advancement,đầy mong muốn; khao khát được công nhận hoặc thăng tiến,[wish]-ful,root,Đã có sẵn trong MorphLink (Word),có,,,more wishful,most wishful,,,,,,,,,,/ˈwɪʃfəɫ/,real
wishfully,adverb,in a wishful manner,một cách đầy mong muốn,[wish]-ful-ly,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/ˈwɪʃfəɫi/,real
withdraw,verb,to take money out of a bank account,rút tiền khỏi tài khoản ngân hàng,[with+draw],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,,,,withdraws,withdrawing,withdrew,withdrawn,,"past:withdrew, pp:withdrawn, 3rd:withdraws",,,/wɪðˈdɹɔ/,real
withdrawal,noun,the act of taking an amount of money out of your bank account,việc rút một khoản tiền khỏi tài khoản ngân hàng,[with+draw]-al,compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],withdrawals,,,,,,,,,,,,/wɪðˈdɹɔəɫ/,real
withdrawn,adjective,tending to reserve or introspection,"khép kín, hướng nội, ít giao tiếp",[with+draw]-n,compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,more withdrawn,most withdrawn,,,,,,,,,,/wɪðˈdɹɔn/,real
withhold,verb,hold back,"giữ lại, không cho; kìm lại",[with+hold],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,,,,withholds,withholding,withheld,withheld,,,,,/wɪθˈhoʊɫd/,real
within,preposition,before a particular period of time has passed; during a particular period of time,trong vòng; trước khi hết một khoảng thời gian nhất định; trong suốt một khoảng thời gian,[with+in],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,,,,,,,,,,,,/wɪˈðɪn/,real
without,preposition,"not having, experiencing or showing something","không có, không trải qua hoặc không thể hiện điều gì",[with+out],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,,,,,,,,,,,,/wɪˈðaʊt/,real
withstand,verb,stand up or offer resistance to somebody or something,"chống chịu, đứng vững trước ai hoặc điều gì",[with+stand],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,,,,withstands,withstanding,withstood,withstood,,,,,/wɪθˈstænd/,real
witless,adjective,(of especially persons) lacking sense or understanding or judgment,"(nhất là về người) thiếu trí tuệ, không biết suy xét",[wit]-less,root,Đã có sẵn trong MorphLink (Word),có,,,more witless,most witless,,,,,,,,,,/ˈwɪtɫəs/,real
witlessly,adverb,in a foolish or stupid way; without intelligence,"một cách ngu ngốc, thiếu suy nghĩ",[wit]-less-ly,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/wˈɪtləsli/,"generated (espeak-ng G2P, algorithmic)"
witlessness,noun,the quality of being foolish or lacking intelligence,tính chất ngu ngốc hoặc thiếu trí tuệ,[wit]-less-ness,root,Đã có sẵn trong MorphLink (Word),có,N[U],,,,,,,,,,,,,/wˈɪtləsnəs/,real
witter,verb,(British informal) to talk for a long time about unimportant things,(khẩu ngữ Anh) nói huyên thuyên dài dòng về những chuyện không quan trọng,[wit]-er,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/ˈwɪtɝ/,real
witticism,noun,a message whose ingenuity or verbal skill or incongruity has the power to evoke laughter,"lời nói dí dỏm, câu đùa khéo léo có sức gây cười",[wit]-ism,root,Đã có sẵn trong MorphLink (Word),có,N[C],witticisms,,,,,,,,,,,,/wˈɪtɪsˌɪzəm/,real
wittily,adverb,in a clever and facetious manner,"một cách dí dỏm, thông minh và hài hước",[wit]-y-ly,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/ˈwɪtəɫi/,real
wittiness,noun,a message whose ingenuity or verbal skill or incongruity has the power to evoke laughter,sự dí dỏm; tính chất gây cười nhờ lời nói khéo léo,[wit]-y-ness,root,Đã có sẵn trong MorphLink (Word),có,N[U],,,,,,,,,,,,,/wˈɪtɪnəs/,"generated (espeak-ng G2P, algorithmic)"
wittingly,adverb,with full knowledge and deliberation,"một cách có chủ ý, biết rõ và cố ý",[wit]-ly,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/ˈwɪtɪŋɫi/,real
witty,adjective,combining clever conception and facetious expression,dí dỏm; kết hợp ý tưởng thông minh với cách nói hài hước,[wit]-y,root,Đã có sẵn trong MorphLink (Word),có,,,wittier,wittiest,,,,,,,,,,/ˈwɪti/,real
womanhood,noun,the status of a woman,"địa vị, tư cách của người phụ nữ",[woman]-hood,root,Đã có sẵn trong MorphLink (Word),có,N[C],womanhoods,,,,,,,,,,,,/ˈwʊmənˌhʊd/,real
womanish,adjective,having characteristics associated with women and considered undesirable in men,mang đặc điểm gắn với phụ nữ và bị coi là không đáng có ở đàn ông,[woman]-ish,root,Đã có sẵn trong MorphLink (Word),có,,,more womanish,most womanish,,,,,,,,,,/wˈʊmənɪʃ/,real
womanize,verb,have amorous affairs,quan hệ tình ái với nhiều phụ nữ,[woman]-ize,root,Đã có sẵn trong MorphLink (Word),có,,,,,,womanizes,womanizing,womanized,womanized,,,,,/ˈwʊməˌnaɪz/,real
womanizer,noun,a man who likes many women and has short sexual relationships with them,đàn ông thích nhiều phụ nữ và chỉ quan hệ tình dục ngắn hạn với họ,[woman]-ize-er,root,Đã có sẵn trong MorphLink (Word),có,N[C],womanizers,,,,,,,,,,,,/ˈwʊməˌnaɪzɝ/,real
womankind,noun,women as distinguished from men,phụ nữ nói chung (phân biệt với đàn ông),[woman+kind],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],womankinds,,,,,,,,,,,,/wˈʊməŋkˌaɪnd/,real
womanlike,adjective,resembling a woman,giống như phụ nữ,[woman+like],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,,,more womanlike,most womanlike,,,,,,,,,,/wˈʊmənlˌaɪk/,"generated (espeak-ng G2P, algorithmic)"
womanliness,noun,the trait of being womanly,tính nữ tính; phẩm chất của người phụ nữ,[woman]-ly-ness,root,Đã có sẵn trong MorphLink (Word),có,N[U],,,,,,,,,,,,,/wˈʊmənlinəs/,real
womanly,adjective,befitting or characteristic of a woman especially a mature woman,"xứng hợp hoặc đặc trưng của phụ nữ, nhất là phụ nữ trưởng thành",[woman]-ly,root,Đã có sẵn trong MorphLink (Word),có,,,more womanly,most womanly,,,,,,,,,,/wˈʊmənli/,real
wonderful,adjective,"very good, pleasant or a lot of fun","tuyệt vời, rất hay, dễ chịu hoặc rất vui",[wonder]-ful,root,Đã có sẵn trong MorphLink (Word),có,,,more wonderful,most wonderful,,,,,,,,,,/ˈwəndɝfəɫ/,real
wonderfully,adverb,(used as an intensifier) extremely well,(dùng để nhấn mạnh) cực kỳ tốt; một cách tuyệt vời,[wonder]-ful-ly,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/ˈwəndɝfəɫi/,real
wonderfulness,noun,admirable excellence,sự tuyệt vời đáng ngưỡng mộ,[wonder]-ful-ness,root,Đã có sẵn trong MorphLink (Word),có,N[U],,,,,,,,,,,,,/ˈwəndɝfəɫnəs/,real
wonderingly,adverb,in a curious and questioning manner,"một cách tò mò, đầy thắc mắc",[wonder]-ly,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/wˈʌndəɹɪŋli/,real
wonderland,noun,an imaginary realm of marvels or wonders,xứ sở kỳ diệu; thế giới tưởng tượng đầy điều kỳ lạ,[wonder+land],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],wonderlands,,,,,,,,,,,,/ˈwəndɝˌɫænd/,real
wonderment,noun,the feeling aroused by something strange and surprising,"cảm giác ngạc nhiên, kinh ngạc trước điều lạ lùng",[wonder]-ment,root,Đã có sẵn trong MorphLink (Word),có,N[C],wonderments,,,,,,,,,,,,/ˈwəndɝmənt/,real
wondrous,adverb,(used as an intensifier) extremely well,(dùng để nhấn mạnh) cực kỳ tốt; kỳ diệu,[wonder]-ious,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/ˈwəndɹəs/,real
wondrously,adverb,(used as an intensifier) extremely well,(dùng để nhấn mạnh) cực kỳ tốt; một cách kỳ diệu,[wonder]-ious-ly,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/wˈʌndɹəsli/,real
woodblock,noun,"a block of wood used for printing a design, or as a percussion instrument","khối gỗ dùng để in hình, hoặc dùng làm nhạc cụ gõ",[wood+block],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],woodblocks,,,,,,,,,,,,/wˈʊdblɒk/,real
woodcarver,noun,makes decorative wooden panels,người chạm khắc gỗ trang trí,[wood+carve]-er,compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],woodcarvers,,,,,,,,,,,,/ˈwʊdˌkɑɹvɝ/,real
woodcraft,noun,skill in carving or fashioning objects from wood,kỹ năng chạm khắc hoặc chế tác đồ vật từ gỗ,[wood+craft],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],woodcrafts,,,,,,,,,,,,/wˈʊdkɹɑːft/,real
woodcut,noun,engraving consisting of a block of wood with a design cut into it,bản khắc gỗ; hình khắc trên khối gỗ,[wood+cut],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],woodcuts,,,,,,,,,,,,/wˈʊdkʌt/,real
woodcutter,noun,cuts down trees and chops wood as a job,người đốn cây và chặt củi làm nghề,[wood+cut]-er,compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],woodcutters,,,,,,,,,,,,/wˈʊdkʌtɐ/,real
wooden,adjective,made of wood,bằng gỗ,[wood]-en,root,Đã có sẵn trong MorphLink (Word),có,,,,,Tính từ tuyệt đối/không phân cấp — không có dạng so sánh,,,,,,,,,/ˈwʊdən/,real
woodenly,adverb,without grace,"một cách cứng nhắc, vụng về, thiếu duyên",[wood]-en-ly,root,Đã có sẵn trong MorphLink (Word),có,,,,,,,,,,,,,,/wˈʊdənli/,"generated (espeak-ng G2P, algorithmic)"
woodenness,noun,the quality of being wooden and awkward,"tính cứng nhắc, vụng về như gỗ",[wood]-en-ness,root,Đã có sẵn trong MorphLink (Word),có,N[U],,,,,,,,,,,,,/wˈʊdənnəs/,"generated (espeak-ng G2P, algorithmic)"
woodgraining,noun,a texture like that of wood,vân gỗ; kết cấu giống vân gỗ,[wood+grain],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],woodgrainings,,,,,,,,,,,,/wˈʊdɡɹeɪnɪŋ/,"generated (espeak-ng G2P, algorithmic)"
woodland,noun,land that is covered with trees and shrubs,đất rừng; vùng đất phủ cây và cây bụi,[wood+land],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],woodlands,,,,,,,,,,,,/ˈwʊdˌɫænd/,real
woodman,noun,makes things out of wood,người làm đồ bằng gỗ; người làm việc với gỗ,[wood+man],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],woodmen,,,,,,,,,,,,/ˈwʊdmən/,real
woodpile,noun,a pile or stack of wood to be used for fuel,đống củi xếp để dùng làm nhiên liệu,[wood+pile],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],woodpiles,,,,,,,,,,,,/ˈwʊdpaɪɫ/,real
woodshed,noun,a shed for storing firewood or garden tools,nhà kho chứa củi hoặc dụng cụ làm vườn,[wood+shed],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],woodsheds,,,,,,,,,,,,/ˈwʊdˌʃɛd/,real
woodside,noun,the edge or border of a wood or forest,khu vực nằm ở rìa hoặc bìa rừng,[wood+side],compound,Đã có sẵn trong app (không qua pipeline affix_formation),có,N[C],woodsides,,,,,,,,,,,,/ˈwʊdˌsaɪd/,real
