root,pos,nghia_en,nghia_vi,la_goc_rang_buoc,bien_the,nguon_phan_loai
oral,adjective,spoken rather than written; relating to the mouth,"bằng miệng, thuộc về miệng",không,,Root gốc
it,pronoun,used to refer to a thing previously mentioned,nó,không,,Root gốc
jacket,noun,an outer garment covering the upper body,áo khoác,không,,Root gốc
jet,noun,a fast stream of liquid/gas forced out of a narrow opening; a jet-propelled aircraft,"tia (nước, khí) phun mạnh; máy bay phản lực",không,ject,Root gốc
journey,noun,an act of travelling from one place to another,"hành trình, chuyến đi",không,,Root gốc
enterprise,noun,a business organization; a bold or difficult undertaking,"doanh nghiệp, sự táo bạo",không,,Root gốc
scan,verb,to look at quickly or examine systematically,"quét, rà soát",không,,Root gốc
scream,verb,to cry out loudly and sharply,"hét lên, la hét",không,,Root gốc
discours,,"an uncertain fragment linked to Latin 'discursus/discurrere' (to run to and fro), underlying 'discourse/discursive'","chạy qua lại, bàn luận (liên quan đến 'discourse/discursive')",có,,chưa chắc chắn - cần rà tay
disk,noun,"a flat, thin, round object or storage medium",đĩa,không,,Root gốc
evident,adjective,clearly seen or understood; obvious,"rõ ràng, hiển nhiên",không,,Root gốc
exceed,verb,to go beyond a limit or amount,vượt quá,không,,Root gốc
exert,verb,"to apply or use force, ability, or influence","sử dụng sức lực, gắng sức",không,,Root gốc
shelf,noun,a flat surface for storing objects,"kệ, giá đỡ",không,,Root gốc
shelter,noun,a place giving protection from weather or danger,"nơi trú ẩn, chỗ che chở",không,,Root gốc
deprive,verb,to prevent someone from having or enjoying something,"tước đoạt, tước bỏ",không,,Root gốc
descend,verb,to move downward,"đi xuống, hạ xuống",không,,Root gốc
desk,noun,a piece of furniture with a flat surface for writing/work,bàn làm việc,không,,Root gốc
destroy,verb,to put an end to by damaging beyond repair,phá hủy,không,,Root gốc
deteriorate,verb,to become progressively worse,"xấu đi, suy giảm",không,,Root gốc
devise,verb,to plan or invent by careful thought,"nghĩ ra, sáng chế, lập kế hoạch",không,,Root gốc
spark,noun,a small fiery particle; something that starts an event,tia lửa,không,,Root gốc
conceal,verb,to hide or keep secret,che giấu,không,,Root gốc
distance,noun,the amount of space between two points,khoảng cách,không,,Root gốc
distant,adjective,far away in space or time,"xa xôi, xa cách",không,,Root gốc
divorce,verb,to legally end a marriage,"ly hôn, ly dị",không,,Root gốc
seize,verb,to take hold of suddenly and forcibly,"chiếm giữ, tóm lấy",không,,Root gốc
senior,adjective,"higher in rank, age, or status","cao cấp, cấp trên, lớn tuổi hơn",không,,Root gốc
several,adjective,more than two but not very many,"vài, một số",không,,Root gốc
silent,adjective,not making or accompanied by sound,"im lặng, yên lặng",không,,Root gốc
default,noun,a preset option; failure to fulfill an obligation,"mặc định, sự vỡ nợ",không,,Root gốc
delete,verb,to remove or erase,xóa bỏ,không,,Root gốc
costume,noun,a set of clothes in a particular style,"trang phục, y phục",không,,Root gốc
cottage,noun,"a small house, typically in the countryside","nhà tranh, nhà nhỏ",không,,Root gốc
courtesy,noun,polite behavior; a courteous act,phép lịch sự,không,,Root gốc
soak,verb,to leave immersed in liquid for a period,ngâm,không,,Root gốc
sock,noun,a knitted garment covering the foot,"tất, vớ",không,,Root gốc
rival,noun,a person or thing competing with another,đối thủ,không,,Root gốc
rod,noun,a thin straight bar or stick,"que, gậy, cần",không,,Root gốc
role,noun,the function assumed or part played by someone,vai trò,không,,Root gốc
romance,noun,a feeling of love and excitement; a love affair,chuyện tình lãng mạn,không,,Root gốc
entity,noun,a thing with distinct and independent existence,thực thể,không,,Root gốc
essay,noun,a short piece of writing on a particular subject,"bài luận, tiểu luận",không,,Root gốc
eternal,adjective,lasting forever; without beginning or end,"vĩnh cửu, vĩnh hằng",không,,Root gốc
evidence,noun,facts or information indicating whether something is true,bằng chứng,không,,Root gốc
collapse,verb,to fall down or fail suddenly,sụp đổ,không,,Root gốc
column,noun,a vertical pillar; a vertical division of a page or list,"cột (trụ, cột báo)",không,,Root gốc
fascinate,verb,to attract and hold the attention of someone strongly,"làm mê hoặc, cuốn hút mạnh mẽ",không,,Root gốc
result,noun,something that happens or follows as a consequence of an action or event,"kết quả, hậu quả",không,,Root gốc
retail,noun,"the sale of goods to the public, usually in small quantities",việc bán lẻ hàng hóa,không,,Root gốc
retire,verb,"to leave one's job and cease working, usually because of age","nghỉ hưu, về hưu",không,,Root gốc
return,verb,to come or go back to a place or state,"quay trở lại, trở về",không,,Root gốc
reward,noun,"a thing given in recognition of effort, service, or achievement",phần thưởng,không,,Root gốc
engine,noun,a machine with moving parts that converts power into motion,"động cơ, máy móc",không,,Root gốc
enhance,verb,"to intensify, increase, or further improve the quality of something","nâng cao, cải thiện, tăng cường",không,,Root gốc
consecutive,adjective,following one after another without interruption,"liên tiếp, kế tiếp nhau",không,,Root gốc
convenience,noun,"the state of being suitable, easy to use, or not causing trouble","sự thuận tiện, tiện lợi",không,,Root gốc
spider,noun,a small eight-legged arachnid that spins webs,con nhện,không,,Root gốc
spy,noun,a person who secretly collects and reports information for a government or organization,"gián điệp, người do thám",không,,Root gốc
squeeze,verb,to apply pressure to something from two or more sides,"bóp, ép, siết chặt",không,,Root gốc
stab,verb,to wound or pierce with a pointed weapon,"đâm, chọc thủng",không,,Root gốc
rubbish,noun,waste material that is discarded; trash,"rác, đồ bỏ đi",không,,Root gốc
rural,adjective,relating to or characteristic of the countryside,thuộc về nông thôn,không,,Root gốc
sample,noun,a small part or quantity intended to show what the whole is like,"mẫu, mẫu vật",không,,Root gốc
efficiency,noun,the state of achieving maximum output with minimum wasted effort or resources,"hiệu suất, hiệu quả",không,,Root gốc
elbow,noun,the joint between the forearm and the upper arm,khuỷu tay,không,,Root gốc
else,adverb,"in addition to, or other than, what has already been mentioned",khác (nữa),không,,Root gốc
emphasis,noun,special importance or significance given to something,sự nhấn mạnh,không,,Root gốc
endorse,verb,to declare one's public approval or support of something,"chứng thực, ủng hộ, xác nhận",không,,Root gốc
fuel,noun,a material burned to produce heat or power,nhiên liệu,không,,Root gốc
fulfil,verb,to bring to completion or reality; to achieve something promised or expected,"hoàn thành, thực hiện",không,,Root gốc
raid,noun,a sudden attack on an enemy or a place by armed forces or the police,"cuộc đột kích, cuộc tấn công bất ngờ",không,,Root gốc
rape,noun,the crime of forcing someone to have sexual intercourse without their consent,"tội hiếp dâm, cưỡng hiếp",không,,Root gốc
ray,noun,a narrow beam of light or other radiation,tia (sáng),không,,Root gốc
reckon,verb,to calculate or estimate; to consider or think,"tính toán, cho rằng",không,,Root gốc
recommend,verb,to suggest that someone or something is good or suitable for a purpose,"giới thiệu, đề xuất, khuyên dùng",không,,Root gốc
flavor,noun,the distinctive taste of a food or drink,hương vị,không,,Root gốc
steal,verb,"to take something without permission or legal right, without intending to return it","ăn cắp, đánh cắp",không,,Root gốc
stomach,noun,the internal organ in which digestion of food takes place,dạ dày,không,,Root gốc
strength,noun,the quality or state of being physically strong,sức mạnh,không,,Root gốc
champion,noun,a person who has defeated all rivals to win first place in a competition,nhà vô địch,không,,Root gốc
channel,noun,"a course through which water, information, or resources flow or pass","kênh (dẫn, truyền hình, thông tin)",không,,Root gốc
from,preposition,indicating the point of origin or starting point of an action or movement,"từ (một nơi, thời điểm nào đó)",không,,Root gốc
frustrate,verb,to prevent someone from accomplishing something; to cause dissatisfaction,"làm thất vọng, cản trở",không,,Root gốc
fry,verb,to cook food in hot fat or oil,"chiên, rán",không,,Root gốc
fade,verb,"to gradually diminish in brightness, color, or strength; to disappear slowly","phai nhạt, mờ dần, tàn lụi",không,,Root gốc
fake,adjective,not genuine; made to look like something real in order to deceive,"giả, giả mạo",không,,Root gốc
compel,verb,to force or oblige someone to do something,"ép buộc, bắt buộc",không,,Root gốc
chunk,noun,"a thick, solid piece of something","khối, miếng (to)",không,,Root gốc
city,noun,a large and important town,thành phố,không,,Root gốc
climb,verb,to go up a surface using one's hands and feet,"leo, trèo",không,,Root gốc
cling,verb,to hold on tightly to someone or something,"bám chặt, bám víu",không,,Root gốc
clue,noun,a piece of evidence or information that helps solve a problem or mystery,"manh mối, đầu mối",không,,Root gốc
feature,noun,a distinctive attribute or characteristic of something,"đặc điểm, tính năng",không,,Root gốc
refuge,noun,shelter or protection from danger or trouble,"nơi ẩn náu, nơi lánh nạn",không,,Root gốc
release,verb,"to set free, let go, or make available to the public","thả ra, phát hành, giải phóng",không,,Root gốc
reluctant,adjective,unwilling and hesitant to do something,"miễn cưỡng, không sẵn lòng",không,,Root gốc
remain,verb,to continue to exist; to stay in the same place or state,"còn lại, ở lại, vẫn còn",không,,Root gốc
rescue,verb,to save someone or something from danger or harm,"cứu, giải cứu",không,,Root gốc
respond,verb,to say something or react in reply to something said or done,"phản hồi, đáp lại",không,,Root gốc
facilitate,verb,to make an action or process easier,"tạo điều kiện thuận lợi, hỗ trợ",không,,Root gốc
gamble,verb,to risk money or something of value on an uncertain outcome,"đánh bạc, cờ bạc, liều lĩnh",không,,Root gốc
gap,noun,a break or opening in something; an empty space between two things,"khoảng trống, khoảng cách",không,,Root gốc
garden,noun,"a piece of ground used for growing plants, flowers, or vegetables",khu vườn,không,,Root gốc
gender,noun,"the state of being male or female, especially with reference to social and cultural roles",giới tính,không,,Root gốc
giant,noun,"a being of great size and strength, especially in myths and stories",người khổng lồ,không,,Root gốc
glance,verb,to take a brief or hurried look at something,"liếc nhìn, nhìn thoáng qua",không,,Root gốc
punk,noun,a member of the punk subculture; a follower of punk rock music and style,người theo phong trào/nhạc punk,không,,Root gốc
queen,noun,a female monarch who rules a country,nữ hoàng,không,,Root gốc
campaign,noun,an organized course of action undertaken to achieve a particular goal,chiến dịch,không,,Root gốc
canal,noun,an artificial waterway used for transportation or irrigation,kênh đào,không,,Root gốc
cancel,verb,to decide that a planned event will not take place; to call off,hủy bỏ,không,,Root gốc
canvas,verb,"to solicit votes, opinions, or support from people; to examine thoroughly","vận động, thăm dò ý kiến",không,,Root gốc
captain,noun,"the leader of a team, ship, or aircraft","thuyền trưởng, đội trưởng",không,,Root gốc
guess,verb,to estimate or suppose something without certain knowledge,"đoán, phỏng đoán",không,,Root gốc
fund,noun,"a sum of money saved, allocated, or invested for a particular purpose","quỹ, tiền vốn",không,,Root gốc
gallon,noun,a unit of measure for liquid volume,gallon (đơn vị đo dung tích),không,,Root gốc
stumble,verb,to trip and almost fall while walking or running,"vấp ngã, loạng choạng",không,,Root gốc
subsequent,adjective,coming after something else in time; following,"tiếp theo sau, kế tiếp",không,,Root gốc
successive,adjective,following one after another without interruption,"liên tiếp, kế tiếp nhau",không,,Root gốc
successor,noun,a person or thing that follows and takes the place of another,"người/vật kế nhiệm, kế thừa",không,,Root gốc
such,determiner,of the type or degree previously mentioned or implied,"như vậy, như thế",không,,Root gốc
superb,adjective,excellent; first-rate; impressive,"tuyệt vời, xuất sắc",không,,Root gốc
superior,adjective,"higher in rank, status, or quality","cao cấp hơn, ưu việt hơn",không,,Root gốc
supply,verb,to provide someone or something with what is needed,cung cấp,không,,Root gốc
flourish,verb,to grow or develop successfully; to thrive,"phát triển mạnh mẽ, hưng thịnh",không,,Root gốc
fluid,noun,"a substance that flows freely, such as a liquid or gas",chất lỏng,không,,Root gốc
forbid,verb,to refuse to allow something; to prohibit,"cấm, ngăn cấm",không,,Root gốc
charter,verb,"to hire an aircraft, ship, or vehicle for exclusive use; to grant an official document of rights",thuê bao (phương tiện); cấp hiến chương,không,,Root gốc
chase,verb,to pursue someone or something in order to catch them,"đuổi theo, rượt đuổi",không,,Root gốc
cheat,verb,to act dishonestly or unfairly in order to gain an advantage,"gian lận, lừa dối",không,,Root gốc
choose,verb,to select one thing or person out of a number of possibilities,"chọn, lựa chọn",không,,Root gốc
strive,verb,to make great efforts to achieve or obtain something,"cố gắng, nỗ lực",không,,Root gốc
principle,noun,a fundamental truth or rule that guides behavior or reasoning,nguyên tắc,không,,Root gốc
prior,adjective,existing or coming before in time or order,"trước, có trước",không,,Root gốc
privilege,noun,a special right or advantage granted to a particular person or group,đặc quyền,không,,Root gốc
program,noun,"a planned series of events, or a set of instructions for a computer",chương trình,không,,Root gốc
golf,noun,a sport in which players hit a small ball into a series of holes,môn golf,không,,Root gốc
grab,verb,to seize something suddenly and roughly,"chộp lấy, tóm lấy",không,,Root gốc
grasp,verb,to seize and hold firmly; to understand fully,"nắm chặt, nắm bắt, hiểu rõ",không,,Root gốc
grid,noun,a framework of crossed bars or lines; a network for distribution,"lưới, mạng lưới",không,,Root gốc
bullet,noun,a small metal projectile fired from a gun,viên đạn,không,,Root gốc
bury,verb,to place a dead body in the ground; to cover from view,"chôn, chôn cất",không,,Root gốc
harvest,noun,the process or period of gathering agricultural crops,"vụ thu hoạch, mùa gặt",không,,Root gốc
haunt,verb,"of a ghost, to visit a place or person regularly","ám (ma), ám ảnh",không,,Root gốc
heal,verb,to become or make healthy again; to make well,"chữa lành, hồi phục",không,,Root gốc
premier,adjective,"first in importance, order, or position","hàng đầu, đứng đầu",không,,Root gốc
presence,noun,the state or fact of being present in a place,sự hiện diện,không,,Root gốc
previous,adjective,existing or occurring before something else in time,"trước đó, trước kia",không,,Root gốc
surface,noun,the outside or topmost layer of an object,bề mặt,không,,Root gốc
surprise,noun,an unexpected or astonishing event or piece of information,"sự ngạc nhiên, bất ngờ",không,,Root gốc
suspect,verb,to believe something to be true or likely without proof,nghi ngờ,không,,Root gốc
swallow,verb,to cause food or drink to pass down the throat,nuốt,không,,Root gốc
task,noun,"a piece of work to be done, especially one done regularly or as a duty","nhiệm vụ, công việc",không,,Root gốc
bring,verb,to take or carry someone or something to a place,"mang, đem đến",không,,Root gốc
bubble,noun,a thin sphere of liquid enclosing air or gas,"bong bóng, bọt khí",không,,Root gốc
budget,noun,an estimate of income and expenditure for a set period,ngân sách,không,,Root gốc
former,adjective,having previously been a particular thing; earlier in time,"trước đây, cũ",không,,Root gốc
fragile,adjective,easily broken or damaged; delicate,"dễ vỡ, mong manh",không,,Root gốc
cargo,noun,"goods carried on a ship, aircraft, or vehicle",hàng hóa (được chuyên chở),không,,Root gốc
carrot,noun,an orange root vegetable,củ cà rốt,không,,Root gốc
cartoon,noun,"a simple drawing, often humorous or satirical; an animated film","tranh biếm họa, phim hoạt hình",không,,Root gốc
castle,noun,"a large fortified building, typically dating from medieval times",lâu đài,không,,Root gốc
cater,verb,"to provide food and drink, especially for a social event","cung cấp thức ăn, phục vụ tiệc",không,,Root gốc
cave,noun,"a natural underground hollow, often opening onto a hillside",hang động,không,,Root gốc
hap,noun,"chance or luck (archaic term, root of 'happen', 'happy')","may mắn, cơ may (từ cổ)",không,,chưa chắc chắn - cần rà tay
idea,noun,a thought or suggestion formed in the mind,ý tưởng,không,,Root gốc
image,noun,a representation of the external form of a person or thing,hình ảnh,không,,Root gốc
incentive,noun,a thing that motivates or encourages someone to do something,"động lực, sự khích lệ",không,,Root gốc
petrol,noun,"a liquid fuel derived from petroleum, used to power vehicles",xăng,không,,Root gốc
pill,noun,a small round tablet of medicine to be swallowed whole,viên thuốc,không,,Root gốc
pilot,noun,a person who operates the flying controls of an aircraft,phi công,không,,Root gốc
heel,noun,the back part of the human foot below the ankle,gót chân,không,,Root gốc
hobby,noun,an activity done regularly for pleasure in one's leisure time,"sở thích, thú vui",không,,Root gốc
plunge,verb,to jump or dive quickly and forcefully into something,"lao xuống, nhào xuống",không,,Root gốc
plus,preposition,with the addition of; used to indicate a positive amount or increase,"cộng, thêm (vào)",không,,Root gốc
pool,noun,"a small, contained area of still water, especially one for swimming","hồ bơi, vũng nước",không,,Root gốc
praise,verb,to express warm approval or admiration of someone or something,"khen ngợi, ca ngợi",không,,Root gốc
guitar,noun,a stringed musical instrument played by plucking or strumming,đàn guitar,không,,Root gốc
gym,noun,a place equipped for doing physical exercise; short for gymnasium,phòng tập gym,không,,Root gốc
halt,verb,to bring or come to an abrupt stop,"dừng lại, ngừng lại",không,,Root gốc
boost,verb,"to increase, raise, or improve something","thúc đẩy, tăng cường",không,,Root gốc
borrow,verb,to take and use something belonging to someone else with the intention of returning it,"mượn, vay",không,,Root gốc
bottom,noun,the lowest point or part of something,"đáy, phần dưới cùng",không,,Root gốc
branch,noun,a part of a tree that grows out from the trunk; a division of an organization,"cành cây, chi nhánh",không,,Root gốc
bike,noun,a bicycle or motorcycle,"xe đạp, xe máy",không,,Root gốc
him,pronoun,used as the object of a verb or preposition to refer to a male person or animal previously mentioned,"anh ấy, nó (tân ngữ, giống đực)",không,,Root gốc
hire,verb,"to employ someone for wages, or to rent something for temporary use","thuê, mướn",không,,Root gốc
his,pronoun,used to indicate that something belongs to or is associated with a male person previously mentioned,của anh ấy,không,,Root gốc
grip,verb,to take and keep a firm hold of something,"nắm chặt, siết chặt",không,,Root gốc
buy,verb,to obtain something by paying money for it,"mua, trả tiền để có được vật gì",không,,Root gốc
bye,interjection,an expression said when leaving or parting from someone,"lời tạm biệt, chào khi chia tay",không,,Root gốc
cabinet,noun,a cupboard with shelves or drawers for storage or display,tủ có ngăn kéo hoặc kệ để đồ,không,,Root gốc
them,pronoun,"used to refer to people or things previously mentioned, as the object of a verb or preposition","họ, chúng (dùng làm tân ngữ)",không,,Root gốc
third,adjective,coming after the second in order; one of three equal parts,thứ ba,không,,Root gốc
though,conjunction,despite the fact that; however,"mặc dù, tuy nhiên",không,,Root gốc
thrive,verb,"to grow, develop, or succeed vigorously","phát triển mạnh mẽ, thịnh vượng",không,,Root gốc
patrol,noun,to keep watch over an area by moving around it regularly,"tuần tra, đi tuần",không,,Root gốc
peak,noun,the pointed top of a mountain or the highest point of something,"đỉnh, chóp, điểm cao nhất",không,,Root gốc
peasant,noun,"a poor smallholder or agricultural worker, especially in the past",nông dân (thời xưa),không,,Root gốc
pepper,noun,"a hot-tasting spice made from the dried berries of a plant, or the plant itself","hạt tiêu, ớt",không,,Root gốc
personnel,noun,the people employed in an organization or engaged in an activity,"nhân sự, nhân viên",không,,Root gốc
petition,noun,"a formal written request signed by many people, appealing to authority","đơn thỉnh cầu, đơn kiến nghị",không,,Root gốc
hotel,noun,an establishment providing paid lodging and meals for travelers,khách sạn,không,,Root gốc
behind,preposition,at or toward the rear of something; further back than,"ở phía sau, đằng sau",không,,Root gốc
instant,noun,a precise moment in time; happening immediately,"khoảnh khắc, tức thời",không,,Root gốc
insult,verb,to speak or act in a way that shows disrespect or offends someone,"sỉ nhục, xúc phạm",không,,Root gốc
intermediate,adjective,"coming between two things in place, time, or order; not advanced","trung gian, ở mức trung bình",không,,Root gốc
intrigue,verb,to arouse the curiosity or interest of someone; secret scheming,khơi gợi tò mò; âm mưu,không,,Root gốc
invoke,verb,to cite or appeal to as an authority; to call upon,"viện dẫn, cầu viện, khẩn cầu",không,,Root gốc
island,noun,a piece of land surrounded entirely by water,hòn đảo,không,,Root gốc
pastor,noun,a minister in charge of a Christian church or congregation,mục sư,không,,Root gốc
patience,noun,"the capacity to accept delay, trouble, or suffering without becoming annoyed",sự kiên nhẫn,không,,Root gốc
together,adverb,with or near each other; in company,"cùng nhau, cùng với nhau",không,,Root gốc
toilet,noun,"a fixture used for urination and defecation, or the room containing it","nhà vệ sinh, bồn cầu",không,,Root gốc
torture,noun,the act of causing severe physical or mental pain to someone,"sự tra tấn, hành hạ",không,,Root gốc
bay,noun,an area or compartment set apart for a particular purpose (e.g. a loading bay); also a wide inlet of the sea,"khoang, gian, khu vực riêng biệt; hoặc vịnh biển",không,,Root gốc
bean,noun,the edible seed or seed pod of various leguminous plants,hạt đậu,không,,Root gốc
beer,noun,an alcoholic drink made from fermented malted grain flavored with hops,bia,không,,Root gốc
before,preposition,earlier than a particular time or event,"trước, trước khi",không,,Root gốc
begin,verb,to start doing or happening; to come into existence,bắt đầu,không,,Root gốc
height,noun,the measurement of someone or something from base to top,"chiều cao, độ cao",không,,Root gốc
her,pronoun,"used to refer to a female previously mentioned, as the object of a verb or preposition","cô ấy, chị ấy (tân ngữ)",không,,Root gốc
bizarre,adjective,"very strange or unusual, especially in a striking way","kỳ quặc, kỳ lạ",không,,Root gốc
blade,noun,"the flat, sharp cutting part of a knife, tool, or weapon","lưỡi (dao, kiếm)",không,,Root gốc
blend,verb,to mix different things together thoroughly,"pha trộn, hòa trộn",không,,Root gốc
through,preposition,moving in one side and out of the other side of something,"xuyên qua, qua",không,,Root gốc
timber,noun,wood prepared for use in building or carpentry,gỗ xây dựng,không,,Root gốc
tobacco,noun,a plant whose leaves are dried and processed for smoking,"cây thuốc lá, thuốc lá",không,,Root gốc
indigenous,adjective,originating or occurring naturally in a particular place; native,"bản địa, bản xứ",không,,Root gốc
insert,verb,to place or fit something into something else,"chèn vào, đưa vào",không,,Root gốc
instance,noun,an example or single occurrence of something,"trường hợp, ví dụ cụ thể",không,,Root gốc
legend,noun,a traditional story regarded as historical but not verified; a caption,truyền thuyết,không,,Root gốc
leisure,noun,free time not occupied by work or duties,thời gian rảnh rỗi,không,,Root gốc
lemon,noun,"a yellow, oval citrus fruit with acidic juice",quả chanh vàng,không,,Root gốc
lesbian,noun,a homosexual woman,người đồng tính nữ,không,,Root gốc
notion,noun,a conception of or belief about something; an idea,"khái niệm, ý niệm",không,,Root gốc
knee,noun,the joint between the thigh and the lower leg,đầu gối,không,,Root gốc
ladder,noun,"a structure of two long sides crossed by rungs, used for climbing",cái thang,không,,Root gốc
our,pronoun,belonging to or associated with the speaker and others,của chúng ta,không,,Root gốc
panic,noun,a sudden feeling of uncontrollable fear or anxiety,"sự hoảng loạn, hoảng sợ",không,,Root gốc
parish,noun,"a small administrative district, especially one having its own church",giáo xứ,không,,Root gốc
participate,verb,to take part in an activity or event,tham gia,không,,Root gốc
incur,verb,to become subject to something unwelcome as a result of one's own behavior,"gánh chịu, chuốc lấy (hậu quả xấu)",không,,Root gốc
index,noun,"an alphabetical list of names or subjects, or a number indicating a level or rate","mục lục, chỉ số",không,,Root gốc
trail,noun,"a path, track, or series of marks left by something; to follow behind","đường mòn; theo dấu, kéo lê",không,,Root gốc
trauma,noun,a deeply distressing or disturbing experience; a physical injury,chấn thương (tâm lý hoặc thể chất),không,,Root gốc
tremendous,adjective,"very great in amount, scale, or intensity","to lớn, ghê gớm",không,,Root gốc
attitude,noun,a settled way of thinking or feeling about someone or something,thái độ,không,,Root gốc
auction,noun,a public sale in which goods are sold to the highest bidder,cuộc đấu giá,không,,Root gốc
august,adjective,respected and impressive; grand or dignified,"oai nghiêm, đường bệ",không,,Root gốc
kidnap,verb,"to abduct someone and hold them captive, typically for ransom",bắt cóc,không,,Root gốc
kitchen,noun,a room where food is prepared and cooked,nhà bếp,không,,Root gốc
bend,verb,to shape or move something into a curve; to change direction,"uốn cong, bẻ cong",không,,Root gốc
bent,adjective,"curved or having a bend, not straight","cong, bị bẻ cong",không,,Root gốc
bet,verb,to risk money or something valuable on the outcome of an uncertain event,"cá cược, đặt cược",không,,Root gốc
better,adjective,of a more excellent or higher standard than another,tốt hơn,không,,Root gốc
tower,noun,"a tall, narrow building or structure, often part of a larger building",tòa tháp,không,,Root gốc
toy,noun,an object for a child to play with,đồ chơi,không,,Root gốc
traffic,noun,vehicles or pedestrians moving along roads or routes,giao thông,không,,Root gốc
tragedy,noun,an event causing great suffering and distress; a serious drama with an unhappy ending,"bi kịch, thảm kịch",không,,Root gốc
abandon,verb,to give up completely; to desert someone or something,"từ bỏ, bỏ rơi",không,,Root gốc
yell,verb,"to shout loudly, especially in anger, pain, or excitement","la hét, hét lớn",không,,Root gốc
a,determiner,used before a singular noun to refer to a single but unspecified thing,một (mạo từ không xác định),không,,chưa chắc chắn - cần rà tay
adult,noun,a person or animal that is fully grown or developed,người trưởng thành,không,,Root gốc
ad,noun,an advertisement (informal),quảng cáo (từ viết tắt thân mật),không,,Root gốc
your,determiner,belonging to or associated with the person being addressed,"của bạn, của anh/chị",không,,Root gốc
acre,noun,"a unit of land area, equal to 4,840 square yards",mẫu Anh (đơn vị diện tích đất),không,,Root gốc
amid,preposition,surrounded by; in the middle of,"giữa, ở giữa",không,,Root gốc
village,noun,"a small community or settlement, smaller than a town","làng, thôn",không,,Root gốc
virtual,adjective,"almost or nearly as described but not completely so, especially via computer simulation","gần như, ảo (qua máy tính)",không,,Root gốc
wage,noun,"a fixed regular payment earned for work, especially manual or unskilled labor","tiền lương, tiền công",không,,Root gốc
wander,verb,to walk or move around without a fixed purpose or direction,"đi lang thang, đi lạc",không,,Root gốc
want,verb,to have a desire for something; to wish for,"muốn, mong muốn",không,,Root gốc
alone,adjective,having no other people present; by oneself,"một mình, cô đơn",không,,Root gốc
along,preposition,moving or extending in a constant direction beside or through something,dọc theo,không,,Root gốc
advance,verb,"to move forward, or to make progress in development","tiến lên, tiến bộ",không,,Root gốc
morning,noun,"the early part of the day, from sunrise until noon",buổi sáng,không,,Root gốc
mum,noun,"mother, used informally, especially in British English",mẹ (cách gọi thân mật),không,,Root gốc
loom,noun,a machine used for weaving thread or yarn into cloth,"khung dệt, khung cửi",không,,Root gốc
lose,verb,to be deprived of or fail to keep something; to fail to win,"mất, thua",không,,Root gốc
at,preposition,"used to indicate a specific place, position, or point in time","ở, tại",không,,Root gốc
vertical,adjective,at a right angle to the horizontal; straight up and down,thẳng đứng,không,,Root gốc
vice,noun,a tool with two jaws for gripping and holding an object firmly (British spelling of vise),"cái êtô, dụng cụ kẹp chặt",không,,Root gốc
video,noun,"recorded visual images, especially with sound, or the technology for recording and displaying them","video, hình ảnh ghi lại",không,,Root gốc
latter,adjective,referring to the second of two things just mentioned; nearer the end,"cái sau, vế sau",không,,Root gốc
launch,verb,"to send something forth or start something, such as a rocket, ship, or project","phóng, ra mắt, khởi động",không,,Root gốc
league,noun,a group of sports teams competing against each other; an association of people or nations,"giải đấu, liên đoàn, đồng minh",không,,Root gốc
least,adjective,"smallest in amount, extent, or degree","ít nhất, nhỏ nhất",không,,Root gốc
melt,verb,"to become liquid, typically because of heat",tan chảy,không,,Root gốc
merchant,noun,"a person who buys and sells goods, especially in large quantities","thương nhân, nhà buôn",không,,Root gốc
mere,adjective,nothing more or better than what is specified; simple,"chỉ là, đơn thuần",không,,Root gốc
monk,noun,a member of a male religious community living under vows,"thầy tu, nhà sư (nam)",không,,Root gốc
core,noun,the central or most essential part of something,"lõi, phần cốt lõi",không,,Root gốc
corner,noun,"the point where two edges, sides, or streets meet",góc,không,,Root gốc
dig,verb,"to break up and move earth, especially with a tool or the hands","đào, xới đất",không,,Root gốc
diminish,verb,"to make or become smaller or less in size, importance, or intensity","giảm bớt, thu nhỏ",không,,Root gốc
dinner,noun,"the main meal of the day, eaten in the evening or at midday","bữa tối, bữa ăn chính",không,,Root gốc
shower,noun,"a brief fall of rain, or a device/enclosure for washing under a spray of water",cơn mưa rào; vòi sen,không,,Root gốc
shrink,verb,to become or make smaller in size or amount,"co lại, teo nhỏ",không,,Root gốc
silence,noun,the complete absence of sound; the state of not speaking,"sự im lặng, sự yên tĩnh",không,,Root gốc
crucial,adjective,"decisive or critical, especially in the success or failure of something","quan trọng, then chốt",không,,Root gốc
cruise,verb,"to sail or travel at a steady, leisurely pace, especially for pleasure","đi du ngoạn (bằng tàu), dạo chơi",không,,Root gốc
cue,noun,a signal for action; a word or gesture prompting an actor to speak or act,"tín hiệu, gợi ý",không,,Root gốc
cult,noun,"a system of religious veneration, or a group with excessive devotion to a person or idea","giáo phái, tín ngưỡng cực đoan",không,,Root gốc
dad,noun,"father, used informally","bố, cha (cách gọi thân mật)",không,,Root gốc
dairy,noun,"milk and the products made from it, or a place where these are produced",sản phẩm từ sữa; trại bò sữa,không,,Root gốc
damage,noun,"physical harm that makes something less valuable, useful, or effective","thiệt hại, hư hại",không,,Root gốc
cope,verb,to deal effectively with something difficult,"đối phó, xoay xở, ứng phó",không,,Root gốc
